user_id,avg_memory,wall_clock,system_time,blanks,avg_RAM,language,cloc,nbr_file_in,compiled,swap_main_memory,exit_code,comments,nbr_file_out,nbr_page_faults,exe_size,compiler_version,max_RAM,user_time
vici,0,0.00,0.00,99,0,C++,82,0,0,0,0,1,0,0,39360,-,2620,0.00
victorxu,0,2.76,0.00,14,0,Java,105,0,0,0,0,24,72,0,3336,-,69816,2.76
vinamilk,0,0.05,0.00,142,0,C++,101,0,0,0,0,1,0,0,40912,-,2828,0.04
voover,0,0.05,0.00,9,0,C++,79,0,0,0,0,2,0,0,53768,-,2876,0.04
vsb,-,-,-,12,-,Java,144,-,1,-,-1,4,-,-,-,-,-,-
wata,0,0.36,0.02,10,0,Java,117,384,0,0,0,0,64,0,4192,-,59760,0.33
watashi,0,0.05,0.00,12,0,C++,81,0,0,0,0,1,0,0,85824,-,2488,0.04
wclee2265,0,0.00,0.00,97,0,C++,66,0,0,0,0,0,0,0,53176,-,2620,0.00
wcwswswws,0,0.00,0.00,112,0,C++,106,0,0,0,0,2,0,0,53872,-,2352,0.00
weiszago,0,0.00,0.00,126,0,C++,88,0,0,0,134,8,0,0,88784,-,2612,0.00
wenxp,0,0.17,0.00,113,0,C++,111,0,0,0,0,2,0,0,40560,-,2916,0.08
whoami,0,0.00,0.00,127,0,C++,119,0,0,0,0,0,0,0,65264,-,2232,0.00
winger,0,0.04,0.00,27,0,Java,152,0,0,0,0,0,64,0,2459,-,21592,0.04
woodpecker112358,0,0.00,0.00,0,0,C++,106,0,0,0,0,5,0,0,68848,-,2400,0.00
wooyaggo,0,0.00,0.00,84,0,C++,51,0,0,0,0,12,0,0,53296,-,2568,0.00
wuyiqi,0,0.00,0.00,50,0,C++,48,0,0,0,0,0,0,0,39760,-,2628,0.00
x1Mike7x,0,0.01,0.00,19,0,Python,84,8,0,0,0,0,0,0,3403,2.7,6788,0.00
xcwgf666,0,0.06,0.00,16,0,C++,57,0,0,0,0,0,0,0,49320,-,2904,0.05
xdlove,0,0.00,0.00,4,0,C++,97,0,1,0,127,1,0,0,-,-,1432,0.00
xiaodao,-,-,-,706,-,C++,462,-,0,-,-15,64,-,-,43320,-,-,-
xjcl,-,-,-,26,-,Python,59,-,0,-,1,9,-,-,-,3.5,-,-
xxabzcvbxacz,0,0.07,0.00,134,0,C++,93,0,0,0,0,13,0,0,48160,-,2580,0.06
yanekk,0,0.11,0.00,7,0,C++,80,0,0,0,0,0,0,0,52464,-,3188,0.10
yangff,0,0.00,0.00,83,0,C++,64,0,0,0,0,0,0,0,53480,-,2344,0.00
ynasu,-,-,-,8,-,C++,70,-,0,-,-15,0,-,-,94544,-,-,-
yosupot,0,0.08,0.00,9,0,C++,126,0,0,0,0,10,0,0,72584,-,2904,0.08
youbo,0,0.20,0.00,112,0,C++,112,0,0,0,0,0,0,0,76976,-,2692,0.19
yplusplus,-,-,-,10,-,C++,111,-,1,-,-1,1,-,-,-,-,-,-
ysbae,-,-,-,8,-,C++,95,-,1,-,-1,2,-,-,-,-,-,-
yukihana0416,0,0.05,0.00,203,0,C++,154,0,0,0,0,5,0,0,39064,-,3016,0.04
yuukiAsuna,0,0.00,0.00,52,0,C++,53,0,0,0,0,0,8,0,39632,-,2632,0.00
