user_id,penalty,points,rank
CrossLife,8591,37,908
Cruiser,3187,23,1761
Crussi,1867,11,2754
Curs0r,7455,52,218
CuteCube,5006,25,1343
Cwind,5413,23,2096
Cxx,8838,12,2625
CyberZHG,3982,36,1007
DBZX,7838,23,2332
DKDC,2649,11,2849
DNI,8745,23,2395
DVH312,8485,37,896
DXY,8881,50,439
Dagoth,5460,38,519
Dalimil,4840,23,2038
DamianS,8575,71,68
DaniJVaz,6447,65,89
Daniell,6385,27,1253
DanilC,8973,52,285
Danlark,6845,37,769
DarinTay,8872,50,438
Dariost,4533,23,1980
DarkKnight.,8550,36,1151
Darko,7425,51,324
Darsein,8442,50,419
David.Zhou,8147,25,1472
DavidNilsson,4394,23,1955
DavidS,9522,27,1298
Davira,8739,12,2621
DayBit,3180,11,2929
DeathAngel,5839,23,2145
Debuger.,5602,23,2118
Deeles,9962,23,2434
DeexPP,7279,25,1428
Dejko,4120,38,490
Delfad0r,8138,37,873
DeltaFlight,7982,23,2339
DenXX,8011,37,861
Dener,8018,52,241
Der.Baer,8243,38,612
DerrickT,4501,38,499
Devine38,1144,11,2666
Devushka,5717,38,528
Dhruvch,1593,11,2728
Diddi,7048,24,1557
Diego1149,8550,37,904
DiegoCR,5248,25,1349
Dimitar,6516,23,2216
Diptesh1ce3,5632,23,2121
Diusrex,7892,37,852
Dmytro,3505,23,1807
Dovgaluk,9279,52,294
Dpsipher,6983,37,783
Dr.AKonAR,6343,38,544
DrBubbles,9501,38,659
DrMonky,8920,23,2406
Dragon.,1413,11,2702
Dreamer23,8181,36,1126
DriukAlex,8667,38,630
Dstbstr,7437,25,1438
DukeBG,7418,12,2579
Duxar,8522,36,1149
Dyian,6805,38,557
DylanN,7204,23,2281
EMarci,7518,37,816
Eason,6567,23,2223
East,2987,11,2906
Edvard,8921,65,125
Effilry,3013,11,2908
Efyx,8049,12,2595
EgorKulikov,8651,100,24
EiLx2,2633,23,1684
Eihab,8436,12,2608
Eklavya,2535,11,2836
ElT3D,7249,12,2573
Elouan,3882,11,3011
Elshiko,4398,23,1957
Empress,4934,23,2052
Empty007,6313,36,1052
Enchom,7932,65,102
Encircle,4953,25,1342
EniaCK,6995,51,318
Epiq,6765,36,1063
Eric.W,7783,27,1270
EricStansifer,7879,100,19
Erona,3357,11,2950
Errichto.old,4437,38,496
EvgeniSergeev,8844,50,436
EvgeniusASPX,7291,38,574
FCB1234,1588,11,2727
FIIAurelian,8046,37,864
FJYsmall,4704,23,2011
Factorial,4449,36,1010
Fariskhi,4136,23,1913
Farsid,3778,23,1859
FatMinMin,3200,23,1763
Fata1ist,6152,37,731
Fatality2412,3570,25,1316
Fcdkbear,7481,65,93
Fdg,7128,50,372
Fedux,7794,25,1451
Felix13,8908,25,1523
Fenxy,8454,23,2376
FerranAlet,8286,71,65
FerroMrkva,4091,23,1909
FewSlkess,8445,23,2374
FilipV,4807,38,506
Filyan,1565,23,1586
FireFry,7508,37,814
First4196,8834,38,638
Fj.,5810,25,1372
Fjafjan,3691,11,2993
FlandreScarlet,5650,23,2125
FlorianF,4563,25,1333
FoolForCS,3992,23,1891
Fory,5706,37,708
FredWang,8593,24,1567
FreePizza,6035,23,2167
FrelonQuai,4040,11,3029
Furko,3092,37,669
Futurizing,9042,50,447
FxF,9141,37,976
Ganindu,8790,29,1232
Gareve,8651,37,922
GarySham,6178,23,2190
GaryYe,7726,37,834
Gassa,6197,100,8
GavinVS,2957,12,2474
Gdragon007,6339,25,1387
GeKa,3576,23,1825
Gennady.Korotkevich,9898,100,30
Gezort,6824,38,558
Giles,9139,37,974
Gilthans,6826,23,2246
Ginzaner,6571,52,186
Giove,8951,81,53
Gleb,5839,36,1036
GlebsHP,7256,100,14
GnsP,7514,23,2309
Gnurdux,8958,36,1179
Goblin911,9013,38,648
GokuSSG,3385,11,2955
Golovanov399,5438,38,517
Goofy57,5713,38,527
GordeevAlex,6957,52,199
Gotzillaz,4704,23,2011
GreatCornholio,4036,38,486
Greatlemer,8071,29,1230
GregD,5690,13,2446
Gregor,6294,23,2200
Grig,3031,23,1739
GuessEver,8628,37,917
Guineapig,7505,23,2308
Guliash,5634,23,2123
Gullesnuffs,7990,65,105
Gyosh,4598,23,1992
HIR180,7166,51,320
HKGupta,3131,11,2922
Hachimori,9363,36,1198
Haghani,5905,36,1040
HallStattMia,6961,52,200
Hamoksha,1609,11,2732
Han.Chiang,7369,25,1433
HanV,8452,51,338
Handojo1,6852,37,771
Hasan0540,2384,38,479
HazzaPi,4030,11,3028
Heart.Blue,5136,37,694
Heba.Gamal,2463,11,2826
Helgui,2926,23,1721
HenrikRueping,9336,52,297
HenryMonkey,8937,27,1289
HenryYang,2964,23,1726
Hephaestos,8909,38,642
HexTree,8719,37,930
Hikari42,9466,50,455
Hodduc,8111,52,243
Hogan,8363,37,887
HolkinPV,2268,23,1641
Hongbo,6677,38,554
Honour,3267,23,1771
Hory,8450,23,2375
HowardCheng,5117,23,2065
Htedsv,8262,23,2362
Huangry,9270,37,981
Hunyadym,9501,38,659
Hurricane,8321,23,2366
HustYY,9017,50,446
I.dont.have.girlfriend,8990,65,129
I.love.Hoang.Yen,9273,81,56
I3MNIX,5152,23,2071
IAmWave,9442,36,1204
IITianUG,1600,11,2730
IJMP320,1763,11,2745
INVIsible,8807,27,1284
Icemore,2970,23,1728
IcyBlue,8663,50,429
IdoLivneh,5428,38,516
Ignat,7625,52,225
