user_id,syatem_time,wall_clock,system_time,blanks,avg_memory,compiler_version,language,cloc,nbr_file_in,compiled,swap_main_memory,avg_RAM,exit_code,comments,nbr_file_out,nbr_page_faults,exe_size,max_RAM,user_time
ahri,0.00,0.00,0.00,8,0,-,C++,42,0,0,0,0,0,6,0,0,10984,2644,0.00
azukun,0.00,0.01,0.00,5,0,-,C#,84,0,0,0,0,0,7,0,0,-,16848,0.01
Erop,0.00,0.00,0.00,6,0,-,C++,42,0,0,0,0,0,0,0,0,8872,2608,0.00
yaoch,0.00,0.00,0.00,8,0,-,C++,27,0,1,0,0,127,3,0,0,-,1348,0.00
Agu1729,0.00,0.00,0.00,3,0,-,C++,23,0,0,0,0,0,0,0,0,11712,2484,0.00
ACMonster,0.00,0.00,0.00,5,0,-,C++,75,0,0,0,0,0,1,0,0,8848,2568,0.00
younis,0.03,0.43,0.01,0,0,-,C++,24,0,0,0,0,0,0,137152,0,7824,2340,0.42
ashish1610,0.00,0.04,0.00,0,0,-,C++,60,0,0,0,0,0,5,0,0,15216,2460,0.04
alex1770,0.00,0.00,0.00,1,0,2.7,Python,7,0,0,0,0,0,0,0,0,-,6444,0.00
polyneikez,-,-,-,8,-,-,C++,34,-,1,-,-,-1,0,-,-,-,-,-
Volkyoe,0.00,0.00,0.00,0,0,-,C++,28,0,0,0,0,0,2,0,0,7832,2272,0.00
ImBarD,3.03,4.26,3.16,5,0,-,C++,59,0,0,0,0,0,0,137232,0,11440,2476,1.09
jackyliuxx,0.00,0.00,0.00,0,0,-,C++,20,0,0,0,0,0,0,0,0,10904,2508,0.00
skdudn321,0.00,0.00,0.00,6,0,-,C,30,0,0,0,0,0,0,0,0,7696,2232,0.00
Guineapig,0.00,0.00,0.00,11,0,-,C++,33,0,0,0,0,0,3,0,0,10856,2628,0.00
CristianZ,0.00,0.04,0.00,3,0,-,java,25,0,0,0,0,1,4,64,0,-,21400,0.04
Chomtana,0.00,0.00,0.00,6,0,-,C++,47,0,0,0,0,0,4,0,0,17760,2652,0.00
Bloodnaix,3.12,4.30,3.28,7,0,-,C++,66,0,0,0,0,0,0,137248,0,12448,2556,1.02
heaparray,0.00,0.00,0.00,17,0,3.5,Python,55,0,1,0,0,2,2,0,0,-,7216,0.00
Hezhu,0.00,0.00,0.00,2,0,-,C++,19,0,0,0,0,0,0,0,0,7392,2436,0.00
htamas,0.00,0.00,0.00,2,0,3.5,Python,4,0,0,0,0,2,1,0,0,-,7224,0.00
dummymon,0.00,0.01,0.00,4,0,2.7,Python,50,0,0,0,0,0,0,0,0,-,6312,0.01
suiyuan2009,0.00,0.00,0.00,3,0,-,C++,34,0,0,0,0,0,1,944,0,9936,2664,0.00
xulusko,0.00,0.00,0.00,2,0,2.7,Python,5,0,0,0,0,0,0,0,0,-,6416,0.00
math10,0.00,0.00,0.00,4,0,-,C++,90,0,0,0,0,0,21,0,0,12448,2584,0.00
kaori,0.00,0.00,0.00,3,0,-,C++,23,0,0,0,0,0,1,0,0,10640,2548,0.00
tobywashere,0.00,0.00,0.00,2,0,-,C++,26,0,0,0,0,0,0,0,0,10632,2592,0.00
makieu,0.00,0.00,0.00,5,0,-,C++,27,0,0,0,0,0,0,0,0,10672,2628,0.00
iamnoobi,0.00,0.00,0.00,11,0,-,C++,68,0,0,0,0,0,0,8,0,22512,2500,0.00
gultai4ukr,0.00,0.00,0.00,4,0,-,C++,31,0,0,0,0,0,0,0,0,13296,2380,0.00
jxwuyi,0.00,0.00,0.00,3,0,-,C++,41,0,0,0,0,0,0,0,0,12816,2484,0.00
calvinleenyc,0.00,0.00,0.00,3,0,-,C++,48,0,0,0,0,0,1,8,0,11024,2464,0.00
kagamiz,0.00,0.00,0.00,9,0,-,C++,22,0,0,0,0,0,0,0,0,9608,2516,0.00
nxphuc,-,-,-,10,-,-,C++,49,-,4,-,-,-1,7,-,-,-,-,-
huzecong,0.00,0.00,0.00,7,0,-,C++,66,0,0,0,0,0,1,0,0,10240,2512,0.00
Sydriax,-,-,-,2,-,-,C++,20,-,1,-,-,-1,0,-,-,-,-,-
Ariza,0.00,0.00,0.00,2,0,-,C++,43,0,0,0,0,0,2,0,0,10200,2640,0.00
Pouf,0.00,0.00,0.00,7,0,3.5,Python,33,0,0,0,0,2,0,0,0,-,7264,0.00
Shaon,-,-,-,22,-,-,C++,70,-,4,-,-,-1,2,-,-,-,-,-
QuantumCaffeine,0.00,0.00,0.00,4,0,2.7,Python,16,0,0,0,0,0,2,8,0,-,6380,0.00
ivancastel94,0.00,0.00,0.00,0,0,-,C++,31,0,0,0,0,0,0,0,0,12480,2468,0.00
Taizo,0.00,0.00,0.00,6,0,3.5,Python,16,0,1,0,0,2,3,0,0,-,7224,0.00
