user_id,blanks,comments,language,cloc,avg_memory,wall_clock,system_time,compiler_version,nbr_file_in,compiled,swap_main_memory,avg_RAM,exit_code,nbr_file_out,nbr_page_faults,exe_size,max_RAM,user_time
asvikr,4,0,C++,37,0,0.00,0.00,-,0,0,0,0,136,8,0,11256,2476,0.00
at1,8,4,C++,42,0,0.00,0.00,-,0,0,0,0,0,0,0,10112,2584,0.00
athoscouto,3,0,C++,14,0,0.00,0.00,-,0,0,0,0,0,0,0,9336,2712,0.00
aurinegro,8,0,C++,59,0,0.00,0.00,-,0,0,0,0,0,0,0,10072,2560,0.00
avakar,2,0,Python,14,0,0.00,0.00,2.7,0,0,0,0,0,0,0,-,6424,0.00
avelino2013,1,0,C++,13,0,0.00,0.00,-,0,0,0,0,0,0,0,9344,2580,0.00
averm,10,9,Java,52,0,0.04,0.00,-,0,0,0,0,0,64,0,-,21428,0.03
avi28,0,0,C,20,0,0.00,0.00,-,0,0,0,0,127,0,0,7112,1380,0.00
aviaryan,6,3,C++,25,0,0.00,0.00,-,0,0,0,0,136,0,0,11424,2332,0.00
avoronov,4,0,C++,22,0,0.00,0.00,-,0,0,0,0,0,0,0,10016,2572,0.00
avv,11,2,C++,47,0,0.00,0.00,-,0,0,0,0,0,0,0,10440,2476,0.00
ayemos,20,3,Java,76,0,0.04,0.00,-,0,0,0,0,0,64,0,-,21540,0.04
ayon,21,1,C++,50,0,0.00,0.00,-,0,0,0,0,0,1328,0,8768,2708,0.00
ayusha,0,0,C++,17,0,0.00,0.00,-,0,0,0,0,0,0,0,9960,2488,0.00
azlhust,3,0,C++,16,0,0.00,0.00,-,0,0,0,0,0,0,0,7664,2204,0.00
b123,11,5,C#,61,0,0.00,0.00,-,0,0,0,0,1,0,0,-,12884,0.00
babu008,1,0,C++,24,0,0.00,0.00,-,0,0,0,0,0,0,0,10960,2496,0.00
backsider,0,3,C++,38,0,0.00,0.00,-,0,0,0,0,0,0,0,10264,2484,0.00
bakesz,8,9,Java,34,0,0.04,0.00,-,0,0,0,0,1,64,0,-,21836,0.04
balee,3,0,Java,22,0,0.08,0.01,-,0,0,0,0,0,64,0,-,25092,0.06
bananaphone,4,0,Python,19,0,0.00,0.00,2.7,0,0,0,0,0,0,0,-,6428,0.00
baneling100,5,2,C++,12,0,0.00,0.00,-,0,0,0,0,0,0,0,7392,2364,0.00
