user_id,avg_memory,wall_clock,system_time,blanks,language,compiler_version,cloc,nbr_file_in,compiled,swap_main_memory,avg_RAM,exit_code,comments,nbr_file_out,nbr_page_faults,exe_size,compile_error_msg,run_error_msg,max_RAM,user_time
0x42,0,0.04,0.00,54,Java,-,128,0,1,0,0,1,2,72,0,3651,Unknown error,java.io.FileNotFoundException:,23648,0.03
2rf,0,0.06,0.02,25,Java,-,147,0,0,0,0,1,0,72,0,3699,-,java.io.FileNotFoundException:,24060,0.03
357,0,0.01,0.00,3,C,-,50,0,0,0,0,139,0,0,0,9496,-,-,1380,0.00
ACube,0,0.79,0.02,178,C++,-,124,0,0,0,0,0,0,0,0,39112,-,-,65732,0.76
AHdoc,-,-,-,27,C++,-,102,-,0,-,-,-15,1,-,-,30728,-,Timeout,-,-
Action,-,-,-,2,C#,-,110,-,0,-,-,1,0,-,-,5120,-,: System.IO.FileNotFoundException,-,-
AekdyCoin,0,0.00,0.00,154,C++,-,148,0,1,0,0,127,2,0,0,-,Unknown error,Command not found,1344,0.00
Aerodonkey,-,-,-,15,C++,-,131,-,1,-,-,-1,0,-,-,-,Unknown error,-,-,-
Akim,0,0.00,0.00,11,C++,-,84,0,1,0,0,127,0,0,0,-,Unknown error,Command not found,1344,0.00
Aksenov239,0,0.06,0.01,46,Java,-,135,0,0,0,0,1,0,72,0,3893,-,java.io.FileNotFoundException:,28076,0.04
AlTimin,0,0.00,0.00,6,C++,-,75,0,0,0,0,0,0,0,0,25344,-,-,2448,0.00
AlanC,0,0.00,0.00,104,C++,-,64,0,1,0,0,127,0,0,0,-,Unknown error,Command not found,1424,0.00
AliakseiCharnevich,0,0.00,0.00,92,C++,-,91,0,0,0,0,134,0,0,0,26984,-,underflow error reading the file,2564,0.00
Amtrix,0,0.00,0.00,105,C++,-,84,0,1,0,0,127,1,0,0,-,Unknown error,Command not found,1344,0.00
AndreySiunov,-,-,-,186,C++,-,157,-,1,-,-,-1,2,-,-,-,Unknown error,-,-,-
AnhDT,0,0.10,0.00,17,Java,-,153,0,0,0,0,0,0,80,0,4986,-,-,57148,0.09
AppleCplus,0,0.00,0.00,151,C++,-,108,0,1,0,0,127,2,0,0,-,Unknown error,Command not found,1384,0.00
ArcadiaPerson,0,0.01,0.00,9,Python,2.7,88,8,0,0,0,0,0,8,0,3166,-,-,6756,0.00
Arterm,0,0.00,0.00,104,C++,-,64,0,0,0,0,0,0,0,0,13048,-,-,7188,0.00
Artifere,0,0.64,0.01,34,C++,-,74,0,0,0,0,0,1,137248,0,12400,-,-,6664,0.62
Artix,0,0.00,0.00,159,C++,-,106,0,1,0,0,127,5,0,0,-,Unknown error,Command not found,1348,0.00
Azizkhan,-,-,-,127,C++,-,99,-,0,-,-,-15,6,-,-,30048,-,Timeout,-,-
BNieuwenhuizen,0,0.00,0.00,10,C++,-,93,0,0,0,0,0,4,0,0,53296,-,-,2640,0.00
BertLeung,0,0.00,0.00,2,C++,-,7,0,0,0,0,0,0,0,0,6792,-,-,1932,0.00
Bidhan,0,0.00,0.00,177,C++,-,118,0,1,0,0,127,33,0,0,-,Unknown error,Command not found,1416,0.00
Binnie,-,-,-,7,Python,2.7,49,-,0,-,-,1,2,-,-,1987,-,File or Dir not found,-,-
Bobik,0,0.00,0.00,9,C++,-,91,0,0,0,0,134,2,0,0,58520,-,Assertion failed,2484,0.00
Breakun,-,-,-,89,C++,-,83,-,1,-,-,-1,0,-,-,-,reference is ambiguous,-,-,-
BudgieInWA,0,0.08,0.01,8,Java,-,60,0,0,0,0,0,9,72,0,2516,-,-,25616,0.07
Burunduk1,0,0.00,0.00,119,C++,-,96,0,1,0,0,127,10,0,0,-,Unknown error,Command not found,1380,0.00
CatalinT,0,0.00,0.00,50,C++,-,214,0,1,0,0,127,18,0,0,-,Unknown error,Command not found,1380,0.00
Charlene,-,-,-,15,C++,-,99,-,1,-,-,-1,8,-,-,-,not declared,-,-,-
Chumblespuzz,0,0.08,0.01,21,Java,-,87,0,0,0,0,1,0,72,0,2170,-,java.util.NoSuchElementException,27816,0.05
ConanKudo247,0,0.00,0.00,156,C++,-,125,0,0,0,0,0,5,0,0,27976,-,-,2344,0.00
Crush,-,-,-,163,C++,-,116,-,1,-,-,-1,1,-,-,-,not declared,-,-,-
DStepanenko,0,0.00,0.00,146,C++,-,95,0,1,0,0,127,0,0,0,-,Unknown error,Command not found,1432,0.00
Dagon,0,0.00,0.00,10,C++,-,111,0,1,0,0,127,10,0,0,-,Unknown error,Command not found,1348,0.00
DamianS,0,1.72,0.00,118,C++,-,105,0,0,0,0,0,7,0,0,40072,-,-,2564,1.29
DarLam,0,0.06,0.01,24,Java,-,222,0,0,0,0,1,0,72,0,5168,-,java.lang.ArrayIndexOutOfBoundsException:,23656,0.04
DarinTay,0,0.00,0.00,160,C++,-,121,0,0,0,0,0,9,0,0,65784,-,-,2936,0.00
Darko,0,0.04,0.00,11,Java,-,96,0,0,0,0,1,4,72,0,2455,-,java.lang.NullPointerException,25784,0.03
Dener,0,0.02,0.00,126,C++,-,88,0,0,0,0,0,0,0,0,25104,-,-,6300,0.02
DmitryEgorov,0,0.00,0.00,88,C++,-,71,0,0,0,0,134,1,0,0,16720,-,Assertion failed,6556,0.00
Dovgaluk,0,0.00,0.00,158,C++,-,122,0,0,0,0,0,6,0,0,55704,-,-,2492,0.00
Egaeus,0,0.08,0.01,5,Java,-,59,8,1,0,0,0,0,80,0,2666,Unknown error,-,26560,0.06
Eledven,0,0.00,0.00,222,C++,-,172,0,0,0,0,255,2,0,0,41944,-,Unknown,2620,0.00
EmK,0,0.00,0.00,122,C++,-,95,0,0,0,0,0,1,0,0,30280,-,-,2756,0.00
Fata1ist,0,0.01,0.00,149,C++,-,106,0,0,0,0,0,0,0,0,26536,-,-,6592,0.01
Fcdkbear,0,0.00,0.00,156,C++,-,135,0,1,0,0,127,10,0,0,-,Unknown error,Command not found,1376,0.00
Fdg,-,-,-,96,C++,-,78,-,0,-,-,-15,1,-,-,10920,-,Timeout,-,-
FerroMrkva,0,0.00,0.00,69,C++,-,51,0,1,0,0,127,6,0,0,-,Unknown error,Command not found,1376,0.00
Fixman,-,-,-,27,C++,-,109,-,1,-,-,-1,2,-,-,-,not declared,-,-,-
Floris,0,0.04,0.00,7,Java,-,51,0,0,0,0,1,0,72,0,2298,-,java.io.FileNotFoundException:,23644,0.03
Fumiya,0,0.00,0.00,57,C++,-,51,0,0,0,0,0,0,0,0,24744,-,-,2784,0.00
GBV,0,0.00,0.00,137,C++,-,124,0,0,0,0,0,3,0,0,38888,-,-,2748,0.00
GGed,0,0.00,0.00,86,C++,-,73,0,1,0,0,127,1,0,0,-,Unknown error,Command not found,1384,0.00
GeKa,0,0.00,0.00,65,C++,-,53,0,1,0,0,127,1,0,0,-,Unknown error,Command not found,1428,0.00
GetMeng,-,-,-,11,Java,-,126,-,1,-,-,-1,3,-,-,-,package does not exist,-,-,-
GlebsHP,0,0.02,0.00,106,C++,-,81,0,0,0,0,0,2,0,0,15456,-,-,2460,0.00
Goofy57,-,-,-,12,C++,-,99,-,0,-,-,-15,20,-,-,13096,-,Timeout,-,-
Gustavostor,0,0.00,0.00,77,C++,-,66,0,1,0,0,127,2,0,0,-,Unknown error,Command not found,1276,0.00
HaifengJin,0,0.00,0.00,7,C++,-,81,0,0,0,0,0,2,0,0,10168,-,-,2644,0.00
Hamition,0,0.00,0.00,13,C++,-,143,0,1,0,0,127,10,0,0,-,Unknown error,Command not found,1384,0.00
Hamzawy,0,0.00,0.00,136,C++,-,107,0,1,0,0,127,7,0,0,-,Unknown error,Command not found,1428,0.00
Hanaban,0,0.00,0.00,9,C++,-,55,0,0,0,0,0,3,0,0,33120,-,-,2660,0.00
Hanafy,0,0.04,0.00,5,Java,-,56,0,0,0,0,1,0,72,0,1908,-,java.io.FileNotFoundException:,23624,0.04
Hephaestos,-,-,-,97,C++,-,82,-,0,-,-,-15,5,-,-,39080,-,Timeout,-,-
Hewr,0,0.10,0.07,94,C++,-,77,0,0,0,0,0,1,0,0,14024,-,-,424352,0.02
HiltonLange,-,-,-,21,C#,-,121,-,1,-,-,-1,7,-,-,-,: The type or namespace name `GCJBase' could not be found. Are you missing an as,-,-,-
Hohol,0,0.04,0.00,37,Java,-,257,0,0,0,0,255,6,72,0,4422,-,java.lang.NullPointerException,25928,0.03
IP314,0,0.00,0.00,16,C++,-,140,0,0,0,0,0,0,0,0,63176,-,-,2504,0.00
IgelSK,0,0.00,0.00,59,C++,-,158,0,1,0,0,127,11,0,0,-,Unknown error,Command not found,1344,0.00
Imsbuno,-,-,-,100,C++,-,70,-,1,-,-,-1,0,-,-,-,No such file or directory,-,-,-
IvanRomanov,-,-,-,20,Java,-,138,-,0,-,-,1,1,-,-,5034,-,java.io.IOException:,-,-
Ixanezis,0,0.00,0.00,27,C++,-,85,0,0,0,0,0,10,0,0,57144,-,-,2656,0.00
JaapB,-,-,-,18,Java,-,134,-,1,-,-,-1,0,-,-,-,package does not exist,-,-,-
JacoCronje,0,0.00,0.00,8,C++,-,101,0,1,0,0,127,1,0,0,-,Unknown error,Command not found,1440,0.00
Jami,0,0.00,0.00,116,C++,-,93,0,1,0,0,127,1,0,0,-,Unknown error,Command not found,1276,0.00
Jarvis57,0,0.00,0.00,94,C++,-,74,0,0,0,0,0,0,0,0,15984,-,-,7404,0.00
Jens,0,0.04,0.00,17,Java,-,116,0,1,0,0,1,6,72,0,4404,Unknown error,java.io.FileNotFoundException:,25872,0.03
JmJ,0,0.09,0.00,13,C++,-,90,0,0,0,0,0,16,0,0,42024,-,-,2528,0.09
Jokser,0,0.04,0.00,20,Java,-,122,0,0,0,0,1,18,72,0,3416,-,java.lang.NullPointerException,23600,0.04
Jonasz,0,0.00,0.00,18,C++,-,102,0,1,0,0,127,1,0,0,-,Unknown error,Command not found,1396,0.00
Jonick,-,-,-,115,C++,-,100,-,0,-,-,-15,0,-,-,49840,-,Timeout,-,-
KalininN,0,0.00,0.00,23,C++,-,116,0,1,0,0,127,2,0,0,-,Unknown error,Command not found,1344,0.00
KamranM,-,-,-,153,C++,-,94,-,1,-,-,-1,1,-,-,-,No such file or directory,-,-,-
KenjiH,0,0.00,0.00,141,C++,-,89,0,1,0,0,127,2,0,0,-,Unknown error,Command not found,1432,0.00
Kepnu4,-,-,-,121,C++,-,71,-,1,-,-,-1,3,-,-,-,No such file or directory,-,-,-
Kingder,0,0.00,0.00,161,C++,-,126,0,1,0,0,127,8,0,0,-,Unknown error,Command not found,1372,0.00
KirillB,-,-,-,137,C++,-,90,-,0,-,-,-15,1,-,-,13200,-,Timeout,-,-
Kostroma,0,0.00,0.00,194,C++,-,138,0,1,0,0,127,11,0,0,-,Unknown error,Command not found,1440,0.00
Kouprin,0,0.00,0.00,17,C++,-,92,0,0,0,0,0,8,0,0,37488,-,-,2692,0.00
KrK,0,0.00,0.00,78,C++,-,67,0,0,0,0,0,0,0,0,15864,-,-,6556,0.00
Krig,-,-,-,19,C++,-,160,-,1,-,-,-1,3,-,-,-,reference is ambiguous,-,-,-
Kriiii,0,0.00,0.00,88,C++,-,69,0,1,0,0,127,0,0,0,-,Unknown error,Command not found,1272,0.00
Kristofer,0,0.07,0.00,32,Java,-,240,0,0,0,0,1,6,72,0,4936,-,java.lang.RuntimeException:,23812,0.06
KungA,0,0.08,0.02,218,C++,-,113,0,0,0,0,0,1,936,0,33064,-,-,2508,0.06
Kutso,0,0.00,0.00,118,C++,-,83,0,0,0,0,0,0,0,0,24800,-,-,2416,0.00
L1048596,-,-,-,6,C++,-,88,-,1,-,-,-1,5,-,-,-,not declared,-,-,-
LAWEL,0,0.00,0.00,63,C++,-,55,0,0,0,0,0,0,0,0,27872,-,-,2536,0.00
LXYXYNT,0,0.00,0.00,73,C++,-,63,0,0,0,0,0,0,0,0,24616,-,-,2820,0.00
LeoYu,-,-,-,87,C++,-,70,-,0,-,-,-15,7,-,-,10240,-,Timeout,-,-
LinKin,0,0.00,0.00,126,C++,-,90,0,1,0,0,127,2,0,0,-,Unknown error,Command not found,1276,0.00
LinesPrower,0,0.00,0.00,570,C++,-,790,0,1,0,0,127,4,0,0,-,Unknown error,Command not found,1416,0.00
LoliFarmer,0,0.00,0.00,2,C++,-,76,0,1,0,0,127,1,0,0,-,Unknown error,Command not found,1376,0.00
Lutyj,0,0.00,0.00,24,C++,-,79,0,1,0,0,127,0,0,0,-,Unknown error,Command not found,1428,0.00
MKLOL,0,0.00,0.00,8,C++,-,95,0,0,0,0,0,4,0,0,12392,-,-,7232,0.00
Maksud,0,0.00,0.00,252,C++,-,144,0,1,0,0,127,24,0,0,-,Unknown error,Command not found,1376,0.00
Mamick,0,0.05,0.01,5,Java,-,78,0,0,0,0,0,0,72,0,2524,-,-,25976,0.04
MarioYC,-,-,-,23,C++,-,77,-,1,-,-,-1,1,-,-,-,reference is ambiguous,-,-,-
MarsChenly,0,0.00,0.00,101,C++,-,66,0,0,0,0,0,6,0,0,10024,-,-,2712,0.00
Martial,0,3.42,0.00,3,C++,-,55,0,0,0,0,0,0,0,0,33120,-,-,8344,3.42
