user_id,blanks,coments,language,cloc
edemo,56,4,Python,218
BNieuwenhuizen,33,47,C++,181
yarrr,24,2,java,88
Sharph,1,2,C++,29
Balajiganapathi,24,2,C++,87
JohnSmith,16,9,C++,71
tokoharu,25,13,C++,102
natsugiri,23,2,C++,91
AngryBacon,24,2,C++,81
hpmv,19,6,Python,153
Jonasz,48,25,Python,318
demidenko,30,5,C++,273
wook,18,3,C++,80
strapahuulius,17,0,C++,52
romanandreev,8,3,C++,53
netkuba,8,0,C++,83
devjoe,22,0,Python,92
tmt514,24,2,C++,87
AlvinChow,7,0,C++,71
krijgertje,32,22,C++,166
ogiekako,18,5,java,134
maciejk,12,0,C++,116
squahtx,16,7,C++,71
STEP5,7,3,C++,66
SeeBees,23,2,java,91
Soultaker,19,0,C,92
fiver,29,22,C#,162
Binnie,29,1,Python,282
Sfairat,31,40,C++,203
Miceren,2,0,C++,43
otacon,3,0,Python,37
ashmelev,9,0,C++,77
YOBA,16,6,Python,179
vedg,4,0,C++,46
TankEngineer,25,22,C++,189
Lunarmony,15,3,C++,101
tkociumaka,24,2,C++,88
royf,33,63,Python,165
l521530,16,0,C++,178
dreamoon,13,1,C++,91
mikhailOK,12,0,java,99
hamadu,11,3,java,68
barryd,30,5,Python,273
xiaowuc1,12,0,java,116
abryant,4,0,java,128
vlada,60,25,Python,193
Lukasz16a,35,2,C++,141
csegura,2,0,C++,43
Tenyoku,18,5,C++,126
chEEtah,4,0,C++,128
doudouille,7,17,C++,360
jchen314,7,0,java,71
nirhershko,7,17,Python,360
pieguy,17,0,C++,52
MauricioC,29,22,C++,162
sdya,22,5,C++,146
gojira,9,0,C++,77
Maryann,22,6,C#,141
olalia,47,25,C++,309
cgy4ever,28,0,C++,123
bmerry,12,0,C++,113
davidv,10,0,C++,74
Snuke,14,0,C++,113
paulliu,25,22,java,189
CatalinT,18,5,C++,126
levlam,9,3,C++,53
Huziwara,4,0,C++,46
SnapDragon,11,3,C++,48
kyuridenamida,29,1,C++,276
surwdkgo,28,16,C++,114
vot,11,0,java,113
Nicolas16,11,0,C++,113
Griffon,19,0,java,92
sohelH,19,6,C++,153
GGed,15,11,C++,73
indifferent,13,1,C#,91
Tellmarch,14,11,java,73
woodpecker112358,60,25,C++,193
Fcdkbear,25,13,C++,102
KennyHORROR,10,0,C++,74
jkud,1,4,Python,60
jxwuyi,5,8,C++,101
mugurelionut,12,0,C++,113
SmartSchizo,32,22,C++,166
kennyChiu,1,4,C++,60
d6d0d1a8,9,0,C++,63
dolphinigle,12,0,C++,99
Xhark,22,0,C++,92
Alexander86,18,5,C++,134
ryuuga,28,0,Python,123
meret,11,3,C++,68
pivizz,31,40,C#,203
