user_id,penalty,points,rank
.PEIN.,91084,90,1577
.dP.,76664,90,1233
00500005,26681,90,225
0b00101010,31242,90,301
0x42,77360,66,2189
0xffff,56297,66,2046
10561066,45562,66,1986
112atn323,18517,90,128
116,81976,60,2779
178855371157,83916,66,2268
1ed,87521,90,1497
200,56424,90,737
24HourPhysicist,88288,66,2313
29.agag,84894,79,1809
2wsx2wsx2wsx,74145,90,1162
317070,62025,90,873
357,38992,71,1859
37ae912,26093,66,1910
3bdelra7man,90973,66,2334
3of7,95132,90,1660
40R15T3,61743,79,1775
4ameleon,73080,90,1142
4iron,51464,66,2007
4rias,82726,66,2249
551100kk,26831,90,228
8163264128,8441,55,2979
88844452999,61783,90,865
9charles,97139,60,2909
9mat,96348,60,2902
A.Grishchenko,59026,90,793
A.Leiferov,79785,90,1307
A.M.R.,87029,66,2297
A.S.,61933,90,871
ACMaster,40351,60,2544
ACMonster,43244,90,486
ADEpt,90937,90,1573
AEtheReal,32015,90,314
AK93,76932,90,1237
AMV,59659,90,811
ARechitsky,42804,90,482
AVictor,32530,90,322
Aad,84021,90,1410
Adac,57930,90,771
AdamJB,95251,66,2384
Agentchuck,96217,90,1688
AhmadMamdouh,59610,90,805
Ahmadburghol,97743,66,2427
Ahmed.Alstaty,88957,90,1533
Ahmed.Ossama,58992,90,791
AhmedFathyAly,77544,90,1247
Aironefly,59382,66,2070
Ajlohr,34130,90,352
Aksenov239,70491,90,1074
Al.Cash,5749,90,10
Alamin,60577,90,831
Alan.Chang,95123,90,1659
AlanC,21076,90,161
Aleksander94,59654,60,2624
AleksovskiStefan,91029,90,1576
Alex.Baranau,34060,90,350
Alex.CHS,12775,90,56
AlexAlvarez,16126,90,101
AlexAntonov,85481,66,2280
AlexGorilla,60785,90,836
AlexTolstov,88636,60,2825
AlexVistyazh,93140,90,1618
AlexWang1993,11055,55,3025
Alexander.Motin,94386,90,1644
Alexander86,36940,90,393
Alexsrear,49753,90,598
Alextrovert,88112,66,2312
Almog,74512,60,2723
AlonBalon,96745,90,1705
Aman.Parmar,75915,90,1209
Amirnasr,45092,74,1833
Amitoj,85970,90,1457
Amtep,48466,90,570
Anardael,48091,90,565
Anarivu,39834,60,2542
Anastasko,53778,90,680
AndresR,56678,90,744
AndresRCB,90213,90,1552
AndreuMayo,76218,90,1218
Andrew.Moskalchuk,85785,66,2283
Andrew510,25289,60,2492
AndrewNguyen,58231,66,2066
AndreySiunov,46905,60,2572
AndyBloch,83117,90,1392
AngryBacon,50257,90,607
Anikushin,43593,60,2560
Anilm3,74482,66,2162
Ankit.Verma,82206,66,2245
Annie,51580,90,639
Anomandaris,69871,90,1052
Anta0,51542,66,2008
AntalViktor,54161,90,687
AntiForest,86841,90,1477
Anton.Hulikau,56453,66,2047
Anton.Lunyov,35413,90,372
Antrax,79626,90,1304
Anubhav2017,77321,66,2187
Apo,60358,90,827
AppleCplus,54366,60,2598
AraShaun,6992,55,2953
Aramdooli,94194,60,2877
ArcherShot,11396,90,48
Archimedean,75530,90,1202
Arcturus,49851,90,599
Arorua,45105,90,520
ArtemRox,53137,66,2021
Arti1990,88030,90,1508
Atefeh,53526,79,1766
Atol,34993,60,2525
Augustyn,69741,90,1047
Aussiroth,26174,90,221
AveDeRojo,82962,66,2251
Avitella,66459,90,964
AxiomOfChoice,96895,60,2907
Aztrorisk,35845,90,379
B4dT0bi,88564,66,2317
BD777,95783,66,2393
BNieuwenhuizen,69770,90,1048
BSBandme,48583,90,575
Babouche,70303,90,1070
Balajiganapathi,47793,90,560
Baronov,97656,66,2425
BarsukAlexey,92545,66,2355
Batsh,51372,90,633
BaykaJIak,57677,90,768
Bebe,14702,74,1825
Beez,10230,55,3010
BelaRacz,87046,90,1483
BellyWhite,68333,60,2683
Bence,32062,60,2517
Bench,80081,60,2766
BeniBela,73642,90,1152
Benni007,82002,66,2241
BennyCarina,39630,90,440
Berba,27482,90,237
Bfahy,97768,66,2428
Bigmac,15338,66,1878
BlackHole,64783,90,926
BlazWin,60998,90,843
Blinken,87224,66,2300
Boats,67249,66,2114
BobobUnicorn,69702,66,2131
Bossle,5443,55,2935
Bowen.G,40808,66,1962
BrOkEN,67078,90,974
Bradrin,81761,90,1346
Breakun,49952,60,2583
BreathOfZen,31711,90,309
Brebo,43493,90,492
BrettAM,78972,66,2210
Brian.P,74539,90,1181
BrianKuo,34580,90,358
Bucic,92864,60,2862
BudAlNik,52425,90,656
BudgieInWA,20269,60,2476
Bugloon,62931,90,887
Burlakov.Nick,47409,90,555
Burunduk1,74528,60,2724
BwaKell,28007,90,248
CHZ,77448,66,2190
CLDP,14235,90,74
CS.Ferng,36588,66,1946
CTH,91135,90,1578
Caasar,63083,90,891
Cacau,19109,66,1887
Calamitates,88054,90,1509
Callum,53166,66,2023
Calvuxi,66930,90,971
Capp,37878,90,409
Carber,45599,90,522
Carbon.Brother,45120,60,2568
CatalinT,79897,90,1310
Catch,53303,90,676
CattMan,6378,55,2945
Caust1c,68415,60,2687
Celicath,8253,90,23
Cesa,86125,90,1461
ChCat,44519,90,509
Chaithanya,35443,60,2526
Champ8644,41065,60,2545
Chance,92079,90,1595
ChanhHua,51052,90,627
Chendy,49674,79,1761
Chethan.SL,64790,60,2656
ChevalierMalFet,23904,90,197
Chewbacca,51273,90,630
ChienYu,55118,90,711
ChillyWilly,69711,90,1045
Chip.Whaley,15367,90,88
Chirag.Bansal,71835,90,1111
Chonchon,89157,66,2320
Chriky,85337,60,2803
ChrisDz,54745,90,700
ChrisFlash,22297,90,179
ChrisJ,68337,90,1004
ChrisOlson,26885,79,1744
ChrisShobes,97479,90,1722
Chuchox.Jaraday,95441,66,2388
Cire,30310,90,291
Clapika,18208,66,1886
Claydrian,97814,90,1728
Clouds,61886,60,2640
CodeGreg,90628,65,2462
CodingCookie,83605,90,1403
Colt.Z,93721,90,1626
ComputerDruid,29124,90,265
ConanKudo247,75173,90,1192
Conejo,94641,66,2378
Conf1ict,78623,90,1279
Corea,5631,66,1865
CounterLogicKid,74010,90,1160
Cowboy,72149,90,1121
Cratus,90278,90,1553
CrazyGhost,55618,79,1769
Crazycolorz5,84232,60,2794
Crazyfox667,59641,90,809
Cricycle,30757,90,295
CristiB,78431,90,1269
CristianFluture,75330,90,1194
Crossfade,71651,90,1106
Crush,57010,60,2611
Csirke,90555,90,1559
Cthaeghya,57207,90,757
Cucazer,88031,60,2819
Cumber,94619,60,2884
Cupcake,85994,90,1458
Cxx,86712,90,1475
CyberEwok,47989,60,2575
Cyker,96844,66,2410
Cypi,46133,90,528
DARKDUCK,93749,66,2368
DAle,8744,90,25
DBZX,71120,90,1090
DCLXVI,71615,60,2705
DEGwer,56327,60,2607
DNI,66076,66,2105
DVH312,95760,90,1672
Daishisan,94321,60,2880
Dalves,77671,90,1253
Damago,91075,74,1849
DancingSoul,57781,65,2450
DaniJVaz,63658,90,904
DaniTunes,91172,60,2845
Danstahr,90513,90,1557
Darek,82932,90,1384
DarkNick,67935,66,2118
DarkScope,38513,74,1830
Darko,27785,66,1916
Darsein,45845,79,1758
Darth,68593,90,1010
DasMoeh,96320,66,2400
DavidG,93034,66,2362
DayBit,88942,90,1532
DeCowboy,13462,90,65
Death.knight.DK,35563,90,374
Deebo,79517,60,2762
Deedy367,84452,79,1808
Defier2014,79355,66,2214
Deller,94768,60,2886
Delta003,96255,66,2399
Demasi,9683,66,1870
Dembel,26739,90,227
DemoVersion,80968,66,2229
Denis.P,67148,90,976
Descent,56533,90,742
Destrictor,85521,90,1447
DiedriK,93182,60,2865
DiegoAE,83111,90,1391
DiegoRoque,29433,90,270
Diggsey,54376,90,689
DimkaDA,95085,60,2893
DinoZavP,94923,90,1657
DirkGently,33671,90,343
DmitryKlenov,81778,90,1347
DmitryT,84160,66,2272
