user_id,blanks,coments,language,cloc
edemo,48,25,Python,318
BNieuwenhuizen,2,0,C++,43
yarrr,7,0,java,71
Sharph,7,3,Python,66
Balajiganapathi,9,0,C++,77
JohnSmith,7,0,C++,71
tokoharu,12,0,C++,113
natsugiri,22,5,Python,146
AngryBacon,19,6,C++,153
hpmv,1,4,Python,60
Jonasz,3,0,Python,37
demidenko,4,0,C++,46
wook,60,25,C++,193
strapahuulius,8,3,C++,53
romanandreev,32,22,C++,166
netkuba,16,0,C++,178
devjoe,30,5,Python,273
tmt514,9,0,C++,77
AlvinChow,25,22,java,189
krijgertje,17,0,C++,52
ogiekako,23,2,java,91
maciejk,12,0,C++,116
squahtx,24,2,C++,87
STEP5,31,40,C++,203
SeeBees,4,0,java,128
Soultaker,22,0,Python,92
fiver,29,22,C#,162
Binnie,11,3,Python,48
Sfairat,14,0,C++,113
Miceren,18,5,C++,126
otacon,29,22,Python,162
ashmelev,16,9,C++,71
YOBA,5,8,Python,101
vedg,25,13,C++,102
TankEngineer,18,5,C++,134
olalia,60,25,Python,193
csegura,18,5,C++,126
royf,24,2,Python,81
l521530,24,2,C++,87
mikhailOK,14,11,java,73
hamadu,24,2,java,88
barryd,28,0,Python,123
xiaowuc1,11,3,java,68
abryant,7,17,Python,360
vlada,29,1,Python,282
tkociumaka,11,3,C++,68
Tenyoku,10,0,C++,74
chEEtah,23,2,C++,91
doudouille,33,47,C++,181
jchen314,15,11,java,73
nirhershko,33,63,Python,165
pieguy,4,0,C++,128
MauricioC,7,17,C++,360
sdya,35,2,C++,141
gojira,16,7,C++,71
Maryann,8,0,C++,83
watashi,13,1,C#,91
Lunarmony,19,0,java,92
cgy4ever,16,6,Python,179
bmerry,17,0,C++,52
davidv,2,0,C++,43
Snuke,28,0,C++,123
paulliu,12,0,java,116
CatalinT,1,2,C++,29
levlam,32,22,C++,166
Huziwara,25,13,C++,102
SnapDragon,1,4,C++,60
kyuridenamida,9,3,C++,53
surwdkgo,22,0,C++,92
vot,18,5,java,134
Nicolas16,25,22,C++,189
Griffon,19,0,java,92
sohelH,30,5,C++,273
GGed,11,0,C++,113
indifferent,31,40,C#,203
Tellmarch,11,0,java,113
woodpecker112358,29,1,C++,276
Fcdkbear,12,0,C++,113
KennyHORROR,24,2,C++,88
jkud,56,4,Python,218
jxwuyi,18,3,C++,80
mugurelionut,4,0,C++,46
SmartSchizo,10,0,C++,74
dreamoon,15,3,C++,101
d6d0d1a8,12,0,java,99
dolphinigle,13,1,Python,91
Xhark,47,25,C++,309
Alexander86,12,0,java,99
ryuuga,9,0,Python,63
meret,28,16,Python,114
pivizz,19,6,C#,153
