user_id,blanks,coments,language,cloc
jinzhao,5,0,C++,29
flowlight0,20,30,C++,137
Bobik,2,0,Python,105
iwiwi,3,0,C++,53
winger,27,0,java,140
dmute,5,0,C++,66
shangjingbo,7,0,C++,52
agutowski,19,1,C++,136
RiaD,10,0,C++,117
satashun,172,7,C++,987
PavelSavchenkov,15,0,C++,146
AISarkin,4,0,C++,29
gustav,14,1,C++,64
Yarin,2,22,java,3
JAPLJ,7,0,C++,56
Solaris3,6,0,C++,70
zzc0817,2,22,C++,3
ikatanic,17,0,C++,104
kolesov93,27,0,C++,152
Anta0,7,4,C++,52
blmarket,41,6,C++,324
krijgertje,10,0,C++,79
eatmore,12,0,java,84
dancho,14,0,C++,132
ifsmirnov,14,12,C++,228
clrs97,12,57,C++,174
GordeevAlex,21,5,C++,161
whoami,15,0,C++,146
NGG,7,1,Python,53
zerokugi,20,2,C++,131
Endagorion,2,4,C++,53
avolchek,5,5,C++,68
sugim48,10,0,C++,88
zimpha,24,2,C++,124
eduardische,11,0,C++,38
andrewzta,37,0,Python,71
Gullesnuffs,2,24,C++,12
glapul,1,0,C++,36
Ahyangyi,13,0,C++,70
tkociumaka,12,0,C++,135
LeBron,10,0,C++,58
a142857a,2,16,C++,78
antonkovsharov,13,0,java,97
Dembel,9,8,C++,81
TKnigge,13,0,C++,89
simonlindholm,8,5,C++,193
omeometo,17,5,C++,121
pashka,13,0,java,70
rowdark,13,0,C++,97
DEGwer,11,0,C++,89
ACube,3,0,C++,97
hellman,5,0,Python,60
subscriber,8,5,C++,193
bmerry,4,2,C++,121
fhlasek,13,0,C++,89
hansonw,9,0,Python,72
Enchom,9,0,C++,76
ush,1,10,C++,72
XraY,10,0,C++,88
yosupot,12,57,C++,174
aquamongoose,33,1,C++,193
jcvb,8,22,C++,104
IvL,11,5,C++,120
KalininN,14,1,C++,107
Snuke,3,22,C++,26
darnley,7,5,java,121
gfarina,18,2,Python,97
cubelover,41,6,C++,324
peterderivaz,4,1,Python,61
dotory1158,12,0,C++,65
ballonguy,7,5,C++,121
sundar95,5,0,C++,72
Burunduk1,27,0,C++,140
Tyg3R,3,24,C++,3
Zlobober,43,20,C++,215
aid,14,0,C++,132
Erop,3,0,C++,50
retrograd,26,0,C++,146
Ra16bit,3,12,C++,39
SeyedParsa,2,0,C++,69
ImBarD,10,0,C++,89
vepifanov,19,1,C++,136
HellKitsune123,2,24,C++,12
Muali,27,0,C++,152
GGed,172,7,C++,987
azure97,2,0,C++,69
kawatea,2,16,C++,78
tomconerly,1,0,java,36
pasin30055,8,2,C++,78
xcwgf666,3,24,C++,3
nwin,15,0,Python,45
iskim,4,0,C++,38
jthread,10,8,C#,62
tczajka,17,0,C++,105
jakubr,12,0,C++,135
teleport,4,2,C++,121
wata,9,0,java,49
Chendy,2,0,C++,80
ftiasch,11,5,C++,120
koratel,10,0,C++,117
burunduk3,16,0,Python,48
jpsbur,13,0,Python,100
piob,13,5,C++,103
vici,9,0,C++,49
apiad,38,6,C++,245
Lewin,10,0,java,79
meret,33,17,C++,177
ffao,12,0,C++,84
EgorKulikov,38,6,java,245
kostyaby,14,1,C++,107
