user_id,avg_memory,wall_clock,system_time,blanks,language,compiler_version,cloc,nbr_file_in,compiled,swap_main_memory,avg_RAM,exit_code,comments,nbr_file_out,nbr_page_faults,exe_size,compile_error_msg,run_error_msg,max_RAM,user_time
2rf,0,0.14,0.01,25,Java,-,147,0,0,0,0,0,0,80,0,3699,-,-,58052,0.12
ACube,-,-,-,178,C++,-,124,-,0,-,-,-15,0,-,-,39112,-,Timeout,-,-
AHdoc,-,-,-,27,C++,-,102,-,0,-,-,-15,1,-,-,30728,-,Timeout,-,-
Aksenov239,0,0.04,0.00,46,Java,-,135,0,0,0,0,1,0,72,0,3893,-,java.io.FileNotFoundException:,28120,0.04
Amtrix,0,0.00,0.00,106,C++,-,86,0,1,0,0,127,0,0,0,-,Unknown error,Command not found,1380,0.00
AppleCplus,0,0.00,0.00,151,C++,-,108,0,1,0,0,127,2,0,0,-,Unknown error,Command not found,1424,0.00
Artix,0,0.00,0.00,159,C++,-,106,0,1,0,0,127,5,0,0,-,Unknown error,Command not found,1432,0.00
Azizkhan,-,-,-,127,C++,-,99,-,0,-,-,-15,6,-,-,30048,-,Timeout,-,-
BNieuwenhuizen,0,0.00,0.00,10,C++,-,93,0,0,0,0,0,4,0,0,53296,-,-,2496,0.00
Bobik,0,0.01,0.00,9,C++,-,91,0,0,0,0,134,2,0,0,58520,-,Assertion failed,2884,0.00
Breakun,-,-,-,89,C++,-,83,-,1,-,-,-1,0,-,-,-,reference is ambiguous,-,-,-
BudgieInWA,0,0.09,0.00,8,Java,-,60,0,0,0,0,0,9,72,0,2516,-,-,27616,0.08
Burunduk1,0,0.00,0.00,135,C++,-,118,0,1,0,0,127,10,0,0,-,Unknown error,Command not found,1384,0.00
Chumblespuzz,0,0.10,0.01,20,Java,-,87,0,0,0,0,1,0,72,0,2170,-,java.util.NoSuchElementException,28968,0.08
Crush,-,-,-,163,C++,-,116,-,1,-,-,-1,1,-,-,-,not declared,-,-,-
DamianS,-,-,-,118,C++,-,105,-,0,-,-,-15,7,-,-,40072,-,Timeout,-,-
DarLam,0,0.05,0.02,24,Java,-,222,0,0,0,0,1,0,72,0,5168,-,java.lang.ArrayIndexOutOfBoundsException:,23828,0.03
Darko,0,0.06,0.01,17,Java,-,131,0,0,0,0,1,8,72,0,3292,-,java.lang.NullPointerException,25772,0.04
Dener,0,0.01,0.00,137,C++,-,97,0,0,0,0,0,0,0,0,10208,-,-,4604,0.00
DmitryEgorov,0,0.00,0.00,94,C++,-,77,0,0,0,0,134,1,0,0,17168,-,Assertion failed,6600,0.00
Dovgaluk,0,0.00,0.00,158,C++,-,122,0,0,0,0,0,6,0,0,55296,-,-,2796,0.00
Eledven,0,0.00,0.00,233,C++,-,183,0,0,0,0,255,2,0,0,63432,-,Unknown,2656,0.00
EmK,0,0.00,0.00,131,C++,-,104,0,0,0,0,0,1,0,0,25752,-,-,2780,0.00
Fata1ist,0,0.03,0.00,149,C++,-,106,0,0,0,0,0,0,0,0,26536,-,-,6556,0.01
Fdg,-,-,-,96,C++,-,78,-,0,-,-,-15,1,-,-,10920,-,Timeout,-,-
Fixman,-,-,-,27,C++,-,109,-,1,-,-,-1,2,-,-,-,not declared,-,-,-
Fumiya,0,0.00,0.00,57,C++,-,51,0,0,0,0,0,0,0,0,24744,-,-,2640,0.00
GGed,0,0.00,0.00,120,C++,-,105,0,1,0,0,127,1,0,0,-,Unknown error,Command not found,1416,0.00
GetMeng,-,-,-,11,Java,-,126,-,1,-,-,-1,3,-,-,-,package does not exist,-,-,-
GlebsHP,0,0.00,0.00,106,C++,-,81,0,0,0,0,0,2,0,0,15456,-,-,2572,0.00
Hewr,0,0.12,0.10,94,C++,-,77,0,0,0,0,0,1,0,0,14024,-,-,424344,0.02
HiltonLange,-,-,-,26,C#,-,167,-,1,-,-,-1,11,-,-,-,: The type or namespace name `GCJBase' could not be found. Are you missing an as,-,-,-
IP314,0,0.01,0.00,16,C++,-,140,0,0,0,0,0,0,0,0,63176,-,-,2784,0.00
IgelSK,0,0.00,0.00,59,C++,-,158,0,1,0,0,127,11,0,0,-,Unknown error,Command not found,1392,0.00
Imsbuno,-,-,-,100,C++,-,70,-,1,-,-,-1,0,-,-,-,No such file or directory,-,-,-
IvanRomanov,-,-,-,20,Java,-,138,-,0,-,-,1,1,-,-,5034,-,java.io.IOException:,-,-
Ixanezis,0,0.00,0.00,27,C++,-,85,0,0,0,0,0,10,0,0,57144,-,-,2616,0.00
Jens,0,0.04,0.00,20,Java,-,137,0,1,0,0,1,9,72,0,4370,Unknown error,java.io.FileNotFoundException:,25972,0.03
JmJ,-,-,-,26,C++,-,135,-,0,-,-,-15,34,-,-,23760,-,Timeout,-,-
Jokser,0,0.05,0.01,23,Java,-,124,0,0,0,0,1,55,72,0,3478,-,java.lang.NullPointerException,23828,0.03
Jonick,-,-,-,119,C++,-,104,-,0,-,-,-15,0,-,-,49840,-,Timeout,-,-
KalininN,0,0.00,0.00,23,C++,-,116,0,1,0,0,127,2,0,0,-,Unknown error,Command not found,1436,0.00
Kepnu4,-,-,-,121,C++,-,71,-,1,-,-,-1,3,-,-,-,No such file or directory,-,-,-
Kostroma,0,0.00,0.00,194,C++,-,138,0,1,0,0,127,11,0,0,-,Unknown error,Command not found,1372,0.00
Kouprin,0,0.00,0.00,17,C++,-,92,0,0,0,0,0,8,0,0,37488,-,-,2732,0.00
Krig,-,-,-,19,C++,-,160,-,1,-,-,-1,3,-,-,-,reference is ambiguous,-,-,-
Kriiii,0,0.00,0.00,88,C++,-,69,0,1,0,0,127,0,0,0,-,Unknown error,Command not found,1424,0.00
Kutso,-,-,-,125,C++,-,90,-,0,-,-,-15,0,-,-,24800,-,Timeout,-,-
LeoYu,-,-,-,87,C++,-,70,-,0,-,-,-15,7,-,-,10240,-,Timeout,-,-
LinesPrower,0,0.00,0.00,570,C++,-,812,0,1,0,0,127,4,0,0,-,Unknown error,Command not found,1428,0.00
Lutyj,0,0.00,0.00,24,C++,-,79,0,1,0,0,127,0,0,0,-,Unknown error,Command not found,1392,0.00
MarioYC,-,-,-,27,C++,-,92,-,1,-,-,-1,3,-,-,-,reference is ambiguous,-,-,-
Mastojun,0,0.00,0.00,144,C++,-,107,0,1,0,0,127,1,0,0,-,Unknown error,Command not found,1416,0.00
MauricioC,-,-,-,20,C++,-,69,-,1,-,-,-1,0,-,-,-,reference is ambiguous,-,-,-
Merkurev,-,-,-,161,C++,-,120,-,1,-,-,-1,0,-,-,-,not declared,-,-,-
MichaelLevin,0,0.00,0.00,231,C++,-,205,0,1,0,0,127,2,0,0,-,Unknown error,Command not found,1440,0.00
Moskupols,0,0.00,0.00,170,C++,-,124,0,0,0,0,0,2,0,0,60280,-,-,2528,0.00
Nedy88,0,0.00,0.00,11,C++,-,123,0,0,0,0,0,0,0,0,63048,-,-,2696,0.00
ONP,0,0.00,0.00,147,C++,-,122,0,1,0,0,127,19,0,0,-,Unknown error,Command not found,1432,0.00
Opu,0,0.37,0.15,150,C++,-,120,0,0,0,0,0,1,944,0,11072,-,-,133932,0.10
PavelKunyavskiy,0,0.00,0.00,163,C++,-,113,0,1,0,0,127,1,0,0,-,Unknown error,Command not found,1396,0.00
PavelKuznetsov,-,-,-,35,C#,System.Numerics,220,-,0,-,-,1,0,-,-,9728,-,: System.IO.FileNotFoundException,-,-
Pompon,0,0.02,0.00,12,C++,-,42,0,0,0,0,0,1,0,0,24984,-,-,2644,0.00
Progbeat,0,0.00,0.00,147,C++,-,122,0,0,0,0,0,5,0,0,63192,-,-,2492,0.00
Psyho,0,0.00,0.00,118,C++,-,100,0,1,0,0,127,1,0,0,-,Unknown error,Command not found,1428,0.00
RalfKistner,-,-,-,19,Python,2.7,48,-,0,-,-,-15,10,-,-,1729,-,Timeout,-,-
ReiraCofage,-,-,-,10,C++,-,89,-,0,-,-,-15,8,-,-,9928,-,Timeout,-,-
Ridowan,0,0.00,0.00,18,C++,-,138,0,1,0,0,127,18,0,0,-,Unknown error,Command not found,1416,0.00
RoBa,-,-,-,4,C++,-,51,-,1,-,-,-1,10,-,-,-,not declared,-,-,-
Ryannnnnnn,0,0.00,0.00,139,C++,-,119,0,1,0,0,127,6,0,0,-,Unknown error,Command not found,1384,0.00
Saeed,0,0.01,0.01,23,C++,-,154,0,0,0,0,0,6,0,0,43968,-,-,2640,0.00
Sammarize,0,0.26,0.06,16,Java,-,68,0,0,0,0,1,6,72,0,3023,-,java.lang.NullPointerException,61048,0.20
Seemann,0,0.04,0.00,13,Java,-,163,0,0,0,0,0,0,72,0,1405,-,-,23492,0.03
SergeyFedorov,-,-,-,157,C++,-,120,-,1,-,-,-1,3,-,-,-,reference is ambiguous,-,-,-
SergeyMelnikov,0,0.17,0.02,7,Java,-,76,0,0,0,0,0,3,72,0,2600,-,-,94084,0.14
SergeyWeiss,0,0.05,0.00,13,Java,-,106,32,0,0,0,1,1,72,0,3385,-,java.lang.ArrayIndexOutOfBoundsException:,23836,0.04
Seyaua,0,0.02,0.00,116,C++,-,88,0,0,0,0,0,1,0,0,25184,-,-,6456,0.02
Skird,0,0.00,0.00,11,C++,-,84,0,1,0,0,127,0,0,0,-,Unknown error,Command not found,1392,0.00
SmartSchizo,-,-,-,133,C++,-,101,-,1,-,-,-1,0,-,-,-,reference is ambiguous,-,-,-
Smitty,0,0.14,0.00,63,Java,-,104,0,0,0,0,1,0,72,0,3904,-,java.lang.StackOverflowError,32912,0.12
Soultaker,0,0.00,0.00,85,C++,-,542,0,0,0,0,134,63,0,0,154432,-,Assertion failed,2548,0.00
Steps09,0,0.00,0.00,109,C++,-,74,0,0,0,0,0,0,0,0,25880,-,-,2640,0.00
SurendraM,0,0.00,0.00,7,C++,-,112,0,0,0,0,0,3,0,0,77792,-,-,3648,0.00
Swrrt,0,0.00,0.00,76,C++,-,76,0,1,0,0,127,0,0,0,-,Unknown error,Command not found,1372,0.00
TankEngineer,0,0.00,0.00,82,C++,-,73,0,1,0,0,127,3,0,0,-,Unknown error,Command not found,1372,0.00
Tellmarch,-,-,-,26,Java,-,117,-,1,-,-,-1,13,-,-,-,package does not exist,-,-,-
Toby,0,0.06,0.01,16,C++,-,82,0,0,0,0,0,23,0,0,25856,-,-,6828,0.05
Tomi,0,0.00,0.00,11,C++,-,70,0,0,0,0,47,3,0,0,32984,-,Unknown,2148,0.00
TripleManiac,0,0.00,0.00,135,C++,-,133,0,1,0,0,127,2,0,0,-,Unknown error,Command not found,1432,0.00
VUAcoder,-,-,-,217,C++,-,169,-,1,-,-,-1,20,-,-,-,not declared,-,-,-
Vasyl,0,0.00,0.00,149,C++,-,114,0,1,0,0,127,1,0,0,-,Unknown error,Command not found,1432,0.00
Vitaliy,0,0.00,0.00,10,C,-,97,0,0,0,0,139,1,0,0,9792,-,-,1428,0.00
VladBelous,0,0.00,0.00,32,C++,-,101,0,0,0,0,0,20,0,0,80776,-,-,2616,0.00
WJMZBMR,0,0.17,0.04,18,C++,-,122,0,0,0,0,0,10,0,0,34424,-,-,30720,0.04
WindShi,0,0.00,0.00,59,C++,-,53,0,0,0,0,0,0,0,0,10040,-,-,4640,0.00
Yarin,-,-,-,35,Java,-,134,-,0,-,-,1,19,-,-,1761,-,javafx.application.Application,-,-
ZaN,0,0.01,0.00,17,C++,-,89,0,0,0,0,0,8,0,0,71880,-,-,2628,0.00
ZbanIlya,0,0.00,0.00,140,C++,-,105,0,1,0,0,127,4,0,0,-,Unknown error,Command not found,1368,0.00
ZhangChi,0,0.00,0.00,6,C++,-,83,0,1,0,0,127,7,0,0,-,Unknown error,Command not found,1340,0.00
ZhouErjin,0,0.00,0.00,109,C++,-,95,0,1,0,0,127,0,0,0,-,Unknown error,Command not found,1416,0.00
ZhukovDmitry,0,0.00,0.00,187,C++,-,146,0,1,0,0,127,5,0,0,-,Unknown error,Command not found,1344,0.00
acherepanov,-,-,-,26,C++,-,120,-,0,-,-,-15,1,-,-,55328,-,Timeout,-,-
andrewzta,0,0.13,0.00,25,Java,-,146,0,0,0,0,1,1,72,0,3635,-,java.io.FileNotFoundException:,23544,0.05
ania7,0,0.00,0.00,4,C++,-,64,0,1,0,0,127,0,0,0,-,Unknown error,Command not found,1424,0.00
argentony,0,0.06,0.00,15,Java,-,74,0,0,0,0,1,0,72,0,2722,-,java.lang.NullPointerException,25888,0.05
arne,0,0.00,0.00,17,C++,-,64,0,1,0,0,127,1,0,0,-,Unknown error,Command not found,1432,0.00
arti,0,0.00,0.00,16,C++,-,117,0,1,0,0,127,1,0,0,-,Unknown error,Command not found,1396,0.00
blmarket,0,0.00,0.00,15,C++,-,78,0,0,0,0,0,0,0,0,51136,-,-,2752,0.00
blueblimp,0,0.00,0.00,17,C++,-,97,0,1,0,0,127,0,0,0,-,Unknown error,Command not found,1384,0.00
bmerry,0,0.00,0.00,13,C++,-,134,0,0,0,0,0,0,0,0,43264,-,-,2768,0.00
brinky,0,0.00,0.00,5,C++,-,80,0,1,0,0,127,0,0,0,-,Unknown error,Command not found,1424,0.00
buaaGG,0,0.00,0.00,9,C++,-,92,0,1,0,0,127,1,0,0,-,Unknown error,Command not found,1396,0.00
buddh4,0,0.00,0.00,194,C++,-,120,0,1,0,0,127,5,0,0,-,Unknown error,Command not found,1428,0.00
bwps,-,-,-,10,C++,-,84,-,1,-,-,-1,0,-,-,-,reference is ambiguous,-,-,-
cgangee,0,0.00,0.00,148,C++,-,116,0,0,0,0,0,0,0,0,11928,-,-,2536,0.00
cgy4ever,0,0.00,0.00,159,C++,-,133,0,0,0,0,0,2,0,0,28272,-,-,2828,0.00
chEEtah,0,0.00,0.00,113,C++,-,78,0,1,0,0,127,0,0,0,-,Unknown error,Command not found,1272,0.00
chokudai,0,0.02,0.00,19,C#,System.Numerics,104,0,0,0,0,0,0,0,0,4608,-,-,10984,0.02
chultquist,0,0.00,0.00,14,C++,-,144,0,0,0,0,0,3,0,0,45912,-,-,2684,0.00
cpphamza,-,-,-,17,C++,-,90,-,1,-,-,-1,14,-,-,-,Unknown error,-,-,-
darnley,0,0.15,0.00,6,Java,-,120,0,0,0,0,1,0,72,0,4432,-,java.lang.NullPointerException,27604,0.08
daviduarte,0,0.00,0.00,248,C++,-,129,0,1,0,0,127,17,0,0,-,Unknown error,Command not found,1372,0.00
dhh1995,-,-,-,46,C++,-,44,-,0,-,-,-15,2,-,-,9872,-,Timeout,-,-
dj3500,-,-,-,217,C++,-,148,-,1,-,-,-1,39,-,-,-,Unknown error,-,-,-
djstrong,-,-,-,23,Python,2.7,69,-,0,-,-,1,10,-,-,2072,-,Unknown,-,-
dolphinigle,-,-,-,15,C++,-,135,-,1,-,-,-1,7,-,-,-,not declared,-,-,-
dovix91,-,-,-,20,C++,-,62,-,0,-,-,-15,7,-,-,15352,-,Timeout,-,-
dwahler,0,0.00,0.00,32,C++,-,148,0,0,0,0,134,2,0,0,106696,-,Unknown,2620,0.00
eduardische,0,0.00,0.00,168,C++,-,133,0,1,0,0,127,19,0,0,-,Unknown error,Command not found,1428,0.00
emaxx,0,0.01,0.00,185,C++,-,127,0,0,0,0,0,0,0,0,13152,-,-,4604,0.01
evgentu,0,0.00,0.00,8,C++,-,98,0,1,0,0,127,0,0,0,-,Unknown error,Command not found,1432,0.00
fagu,0,0.00,0.00,3,C++,-,80,0,1,0,0,127,0,0,0,-,Unknown error,Command not found,1440,0.00
felipebart,0,0.00,0.00,15,C++,-,93,0,1,0,0,127,0,0,0,-,Unknown error,Command not found,1424,0.00
fhlasek,-,-,-,13,C++,-,62,-,1,-,-,-1,1,-,-,-,reference is ambiguous,-,-,-
fkmj,0,0.00,0.00,13,C++,-,104,0,1,0,0,127,5,0,0,-,Unknown error,Command not found,1432,0.00
fmm,0,0.14,0.11,11,C++,-,75,0,0,0,0,0,0,0,0,16576,-,-,541816,0.02
framalex,0,0.06,0.00,22,Java,-,146,0,1,0,0,1,0,72,0,3675,Unknown error,java.io.FileNotFoundException:,23788,0.05
freak93,0,0.58,0.00,12,C++,-,80,0,0,0,0,0,0,0,0,71256,-,-,2644,0.58
fuwenjie,-,-,-,9,C++,-,119,-,1,-,-,-1,30,-,-,-,not declared,-,-,-
gawarkiewicz,0,0.11,0.00,82,C++,-,71,0,0,0,0,0,0,0,0,85336,-,-,6704,0.11
gawry,0,0.00,0.00,101,C++,-,87,0,1,0,0,127,2,0,0,-,Unknown error,Command not found,1432,0.00
gojira,0,0.01,0.00,145,C++,-,120,0,0,0,0,0,0,8,0,30856,-,-,2732,0.00
goryinyich,0,0.02,0.00,121,C++,-,99,0,1,0,0,127,1,0,0,-,Unknown error,Command not found,1440,0.00
guliashvili,0,0.06,0.00,260,C++,-,149,0,0,0,0,0,1,8,0,52336,-,-,2772,0.06
hansonw,0,0.10,0.00,96,C++,-,85,0,0,0,0,0,0,0,0,55024,-,-,2724,0.09
hesibo,-,-,-,9,Java,-,109,-,1,-,-,1,1,-,-,-,cannot find symbol,javafx.application.Application,-,-
hinidu,-,-,-,14,C++,-,76,-,0,-,-,-15,0,-,-,30704,-,Timeout,-,-
iSuneast,0,0.00,0.00,139,C++,-,105,0,1,0,0,127,4,0,0,-,Unknown error,Command not found,1384,0.00
ifsmirnov,-,-,-,12,C++,-,117,-,0,-,-,-15,2,-,-,55784,-,Timeout,-,-
igorcanadi,-,-,-,30,C++,-,120,-,1,-,-,-1,3,-,-,-,not declared,-,-,-
ikatanic,0,0.01,0.00,120,C++,-,84,0,0,0,0,0,0,0,0,10344,-,-,2484,0.00
iloahz,0,0.00,0.00,130,C++,-,100,0,0,0,0,0,10,0,0,9976,-,-,2276,0.00
imbanoob,0,0.00,0.00,26,C++,-,106,0,1,0,0,127,1,0,0,-,Unknown error,Command not found,1380,0.00
indifferent,-,-,-,13,C#,-,154,-,0,-,-,-15,2,-,-,6144,-,Timeout,-,-
ivanvi,0,0.00,0.00,22,C++,-,95,0,1,0,0,127,0,0,0,-,Unknown error,Command not found,1384,0.00
jcn,0,0.00,0.00,107,C++,-,75,0,0,0,0,0,0,0,0,26808,-,-,2468,0.00
jcomputer000,0,0.08,0.01,0,Java,-,68,0,0,0,0,1,0,72,0,2515,-,java.lang.ArrayIndexOutOfBoundsException:,25464,0.05
jiangwei,0,0.00,0.00,133,C++,-,97,0,1,0,0,127,6,0,0,-,Unknown error,Command not found,1276,0.00
jkk,-,-,-,4,Python,2.7,56,-,0,-,-,-15,6,-,-,1830,-,Timeout,-,-
