user_id,avg_memory,wall_clock,system_time,blanks,avg_RAM,language,cloc,nbr_file_in,compiled,swap_main_memory,exit_code,comments,nbr_file_out,nbr_page_faults,exe_size,compiler_version,compile_error_msg,run_error_msg,max_RAM,user_time
fulvioabrahao,0,0.14,0.00,7,0,C++,45,0,0,0,0,2,0,0,11208,-,-,-,2672,0.08
fwm94,0,0.00,0.00,0,0,C++,59,0,0,0,0,1,0,0,10920,-,-,-,2512,0.00
garasubois,0,0.17,0.00,9,0,C++,46,0,0,0,0,0,0,0,40640,-,-,-,2600,0.08
garzon,-,-,-,11,-,C++,57,-,1,-,-1,37,-,-,-,-,redeclared,-,-,-
gena,-,-,-,45,-,C++,137,-,1,-,-1,27,-,-,-,-,No such file or directory,-,-,-
george24601,0,0.00,0.00,19,0,C++,95,0,0,0,0,1,0,0,9944,-,-,-,2424,0.00
gepa,0,0.62,0.00,8,0,Python,37,8,0,0,0,0,0,0,1599,2.7,-,-,6508,0.61
gfarina,0,0.55,0.00,13,0,Python,32,8,0,0,0,2,0,0,1299,2.7,-,-,6988,0.54
ghk,0,0.00,0.00,10,0,C++,90,0,1,0,127,8,0,0,-,-,Unknown error,Command not found,1372,0.00
ghostgold,0,0.17,0.02,0,0,C++,46,0,0,0,0,3,0,0,7848,-,-,-,2268,0.03
ginkgobiloba,0,0.13,0.00,3,0,C++,57,0,0,0,0,2,0,0,21344,-,-,-,2492,0.06
giorgio,-,-,-,3,-,C++,41,-,0,-,-15,0,-,-,10088,-,-,Timeout,-,-
gizzywump,-,-,-,18,-,Python,75,-,0,-,1,2,-,-,4705,2.7,-,File or Dir not found,-,-
gkevinyen5418,0,0.00,0.00,16,0,C++,42,0,0,0,0,0,0,0,9816,-,-,-,2544,0.00
gky,0,0.08,0.00,5,0,C++,44,0,0,0,0,0,0,0,7768,-,-,-,2336,0.04
globalpointer,0,0.10,0.00,4,0,C++,34,0,0,0,0,1,0,0,9872,-,-,-,2620,0.04
gloompisces,0,0.00,0.00,11,0,C++,66,0,0,0,0,3,0,0,8080,-,-,-,2116,0.00
gnarlycow,-,-,-,10,-,C++,49,-,1,-,-1,5,-,-,-,-,not declared,-,-,-
goffrie,0,0.11,0.00,6,0,C++,44,0,0,0,0,1,0,0,20880,-,-,-,2388,0.10
gojira,0,0.32,0.00,3,0,Java,45,0,0,0,0,1,72,0,1608,-,-,-,62532,0.32
goldenfz,0,0.31,0.00,22,0,Java,111,0,0,0,0,0,80,0,2353,-,-,-,48244,0.37
goldfinch,0,0.20,0.00,13,0,C#,85,0,0,0,0,0,8,0,5120,-,-,-,22268,0.20
golmansax,0,0.08,0.00,19,0,C++,87,0,0,0,0,14,0,0,33696,-,-,-,2620,0.04
goober,0,0.03,0.00,5,0,C,52,0,0,0,0,0,0,0,7440, lm ,-,-,1392,0.03
goobypls,0,1.14,0.00,6,0,Python,27,0,0,0,0,2,0,0,1491,3.5,-,-,7848,1.14
goodideax,0,0.10,0.00,3,0,C++,59,0,0,0,0,4,0,0,10112,-,-,-,2456,0.04
gprano,0,0.11,0.00,7,0,C++,52,0,0,0,0,2,0,0,7904,-,-,-,2244,0.05
gqwind,-,-,-,7,-,C#,76,-,0,-,1,1,-,-,4096,-,-,: System.IO.DirectoryNotFoundException,-,-
greatwall1995,0,0.00,0.00,4,0,C++,56,0,0,0,0,0,0,0,9904,-,-,-,2652,0.00
grebnesieh,0,2.93,0.28,0,0,Python,21,1152,0,0,0,0,0,0,830,2.7,-,-,6688,2.62
grwde,0,0.26,0.00,5,0,Python,24,8,0,0,0,0,0,0,1428,2.7,-,-,6648,0.25
gsumu,0,2.08,0.00,4,0,C++,44,0,0,0,0,1,0,0,38880,-,-,-,2636,1.31
guilherme,0,0.16,0.00,10,0,C++,59,0,0,0,0,21,0,0,8280,-,-,-,2316,0.08
guyo14,-,-,-,13,-,Java,73,-,1,-,-1,0,-,-,-,-,not a statement,-,-,-
gxnncrx,0,0.00,0.00,17,0,C++,117,0,0,0,0,4,0,0,10648,-,-,-,2616,0.00
gyahun,-,-,-,7,-,Python,28,-,0,-,1,0,-,-,4005,2.7,-,Unknown,-,-
hadrori,0,0.07,0.00,21,0,C++,159,0,0,0,0,17,0,0,18288,-,-,-,2592,0.05
haker4o,0,0.00,0.00,7,0,C++,61,0,0,0,136,0,0,0,20768,-,-,Unknown,2376,0.00
halfo,0,0.09,0.00,19,0,C++,99,0,0,0,0,20,0,0,24944,-,-,-,2592,0.03
hallowelt,0,0.35,0.01,6,0,Python,42,8,0,0,0,2,0,0,1990,2.7,-,-,6688,0.32
hamadu,0,0.31,0.03,11,0,Java,58,0,0,0,0,0,72,0,1713,-,-,-,62536,0.35
hansonw,0,0.06,0.00,4,0,C++,45,0,0,0,0,0,0,0,9720,-,-,-,2512,0.05
haohaoac,0,0.00,0.00,4,0,C++,57,0,0,0,0,5,944,0,9008,-,-,-,2588,0.00
hapoom,-,-,-,1,-,C++,50,-,1,-,-1,0,-,-,-,-,No such file or directory,-,-,-
happyCoder,0,0.15,0.00,7,0,C++,58,0,0,0,0,0,0,0,37472,-,-,-,2408,0.07
hardxbb,0,0.10,0.00,2,0,C++,93,0,0,0,0,1,0,0,8784,-,-,-,2720,0.04
hasipon,-,-,-,2,-,C++,60,-,1,-,-1,0,-,-,-,-,Unknown error,-,-,-
haxxpop,0,0.08,0.00,2,0,C++,44,0,0,0,0,3,0,0,9248,-,-,-,2328,0.04
hec,0,0.21,0.00,10,0,C++,65,0,0,0,0,0,0,0,25360,-,-,-,2492,0.10
hedwenas,0,0.12,0.00,12,0,C++,82,0,0,0,0,0,0,0,10360,-,-,-,2464,0.06
heekyu,0,0.05,0.00,10,0,Java,121,0,0,0,1,4,72,0,1625,-,-,java.lang.NullPointerException,23952,0.04
hehaodele,0,0.14,0.00,4,0,C++,77,0,0,0,0,4,0,0,9072,-,-,-,2568,0.06
helloliuc,0,0.00,0.00,4,0,C++,50,0,0,0,136,0,0,0,7680,-,-,Unknown,2112,0.00
henviso,0,0.15,0.00,5,0,C++,94,0,0,0,0,10,0,0,10216,-,-,-,2460,0.09
hgd,0,0.00,0.00,4,0,C++,49,0,1,0,127,0,0,0,-,-,Unknown error,Command not found,1368,0.00
hgminh95,-,-,-,18,-,C++,59,-,1,-,-1,0,-,-,-,-,redeclared,-,-,-
hhhhhhhhhhhhhhhhhhhhhh,0,0.00,0.00,5,0,C++,86,0,0,0,0,5,0,0,9232,-,-,-,2588,0.00
hipoKi,0,0.32,0.03,8,0,Java,77,0,0,0,0,7,80,0,2028,-,-,-,62304,0.34
hiukim,0,0.19,0.02,17,0,Java,85,0,0,0,0,4,72,0,2703,-,-,-,35928,0.16
hiwang123,0,0.12,0.00,1,0,C++,45,0,0,0,0,2,0,0,7672,-,-,-,2332,0.06
hjmkt,0,0.00,0.00,20,0,C++,71,0,0,0,136,0,0,0,12376,-,-,Unknown,2296,0.00
hongkai,-,-,-,3,-,Python,31,-,0,-,1,1,-,-,1140,2.7,-,File or Dir not found,-,-
hooman,0,0.00,0.00,6,0,C++,65,0,1,0,127,9,0,0,-,-,Unknown error,Command not found,1260,0.00
hopelesscoder,-,-,-,17,-,C++,85,-,0,-,-15,0,-,-,9968,-,-,Timeout,-,-
