user_id,blanks,coments,language,cloc
lzw75,56,1,C,479
g201513,13,15,C++,156
sixshine,12,8,C++,236
dunkmaster,8,0,java,38
kurnevsky,2,2,C++,53
Stun,4,0,C++,59
hychen,4,0,C,166
Boltmeyer,20,0,C#,70
qnighy,1,2,C++,69
hpmv,3,0,Python,23
alexliver,11,0,java,69
SumuduF,3,0,C++,40
strapahuulius,0,0,C++,1
nexen,11,0,C++,67
emppu,18,7,C++,139
qbeuek,5,0,C#,76
tanriol,30,25,Python,269
aussie,7,0,C#,50
chys,10,0,Python,112
updog,3,0,C++,34
sigmar,4,0,C++,166
tmt514,10,0,C++,44
krijgertje,7,0,C++,29
eatmore,10,0,java,44
Hooyoung,11,3,Python,39
fuseidenamida,19,10,C++,41
kenimo,3,0,C++,51
CydorniaKnight,25,5,C++,42
jellies,1,2,C++,37
TripleM,22,0,C++,283
koda,11,0,C++,75
rafaeldaigo,8,0,C++,38
kmod,53,22,Python,140
Weeble,17,5,C#,37
Smithers,4,0,java,59
gepa,4,0,Python,36
Scooooooorpio,13,15,C++,156
srkib0y,4,35,C++,30
Salls,3,46,C++,0
Chewbacca,0,0,C,1
FFFFF,3,0,java,65
waik,18,7,C++,139
devurandom,5,0,C++,45
royf,11,12,Python,24
Berry,22,7,C,119
rydotyosh,3,0,C++,63
stgatilov,11,0,C++,50
lxx,11,0,C++,51
kappahouse,6,0,C++,21
ecv,4,0,C++,37
srh,28,0,C++,294
DjinnKahn,0,0,C++,1
dwenzel,5,0,Python,76
khelman,25,5,java,42
alva0930,21,0,java,273
stopit99,16,5,C#,47
lwz,2,1,C++,55
IElenik,11,0,C++,75
bmerry,7,0,C++,29
Tilps,3,0,C#,23
a2stnk,48,26,java,184
mjmjmtl,22,7,C++,119
ineaugh,3,0,C++,65
dspyz,1,0,java,24
CaptainAhmadi,53,5,C++,330
cardboardbox,2,2,java,53
donogo,1,2,C++,69
kcm1700,14,0,C++,68
ymgve,4,3,Python,22
eldering,4,0,C++,37
levlam,1,0,C++,24
wabe,12,8,C++,236
SnapDragon,4,8,C++,51
caf,3,46,C,0
mystic,11,0,java,50
Vasyl,4,39,C++,31
AS1,2,1,C++,55
Nicolas16,53,5,C,330
akinori,16,5,C#,47
refacto,14,0,C++,58
LinShu,11,0,C++,69
bengedy,10,0,C++,58
eddyferreira,66,32,Python,291
arping,3,0,C++,63
falcon112358,15,0,Python,61
kik,48,26,C++,184
piyawatl,7,0,C#,50
sisu,21,0,C++,273
kelvinlau,0,0,C++,1
iwiskimo,33,0,C++,416
Arcturus,19,10,C++,41
caethan,46,16,Python,179
Alexander86,22,0,C++,283
azhai,17,5,Python,37
tikitikirevenge,3,0,C++,34
kmjp,11,1,C++,51
