user_id,blanks,language,comments,cloc,avg_memory,wall_clock,system_time,compiler_version,nbr_file_in,compiled,swap_main_memory,avg_RAM,exit_code,nbr_file_out,nbr_page_faults,exe_size,compile_error_msg,run_error_msg,max_RAM,user_time
maprohu,55,java,3,147,-,-,-,-,-,1,-,-,-1,-,-,-,"/home/useruser/datacollection/solutions_2458486_1/java/maprohu/Treasure3.java:3: error: package hu.mapro.jam.commons does not exist
import hu.mapro.jam.commons.Problem;
                           ^
/home/useruser/datacollection/solutions_2458486_1/java/maprohu/Treasure3.java:9: error: package com.google.common.base does not exist
import com.google.common.base.Joiner;
                             ^
/home/useruser/datacollection/solutions_2458486_1/java/maprohu/Treasure3.java:10: error: package com.google.common.collect does not exist
import com.google.common.collect.HashMultiset;
                                ^
/home/useruser/datacollection/solutions_2458486_1/java/maprohu/Treasure3.java:11: error: package com.google.common.collect does not exist
import com.google.common.collect.Multiset;
                                ^
/home/useruser/datacollection/solutions_2458486_1/java/maprohu/Treasure3.java:12: error: package com.google.common.collect does not exist
import com.google.common.collect.Sets;
                                ^
/home/useruser/datacollection/solutions_2458486_1/java/maprohu/Treasure3.java:13: error: package com.google.common.primitives does not exist
import com.google.common.primitives.Ints;
                                   ^
/home/useruser/datacollection/solutions_2458486_1/java/maprohu/Treasure3.java:18: error: cannot find symbol
public class Treasure3 extends Problem {
                               ^
  symbol: class Problem
/home/useruser/datacollection/solutions_2458486_1/java/maprohu/Treasure3.java:30: error: cannot find symbol
 private Multiset<Integer> keyRequired;
         ^
  symbol:   class Multiset
  location: class Treasure3
/home/useruser/datacollection/solutions_2458486_1/java/maprohu/Treasure3.java:32: error: cannot find symbol
 private HashMultiset<Object> keyAvailable;
         ^
  symbol:   class HashMultiset
  location: class Treasure3
/home/useruser/datacollection/solutions_2458486_1/java/maprohu/Treasure3.java:160: error: cannot find symbol
  Multiset<Integer> keys = HashMultiset.create();
  ^
  symbol:   class Multiset
  location: class Treasure3.Chest
/home/useruser/datacollection/solutions_2458486_1/java/maprohu/Treasure3.java:55: error: cannot find symbol
  keyRequired = HashMultiset.create();
                ^
  symbol:   variable HashMultiset
  location: class Treasure3
/home/useruser/datacollection/solutions_2458486_1/java/maprohu/Treasure3.java:56: error: cannot find symbol
  keyAvailable = HashMultiset.create();
                 ^
  symbol:   variable HashMultiset
  location: class Treasure3
/home/useruser/datacollection/solutions_2458486_1/java/maprohu/Treasure3.java:75: error: cannot find symbol
  tried = Sets.newHashSet();
          ^
  symbol:   variable Sets
  location: class Treasure3
/home/useruser/datacollection/solutions_2458486_1/java/maprohu/Treasure3.java:89: error: cannot find symbol
   return Joiner.on("" "").join(Ints.asList(order));
                              ^
  symbol:   variable Ints
  location: class Treasure3
/home/useruser/datacollection/solutions_2458486_1/java/maprohu/Treasure3.java:89: error: cannot find symbol
   return Joiner.on("" "").join(Ints.asList(order));
          ^
  symbol:   variable Joiner
  location: class Treasure3
/home/useruser/datacollection/solutions_2458486_1/java/maprohu/Treasure3.java:40: error: method does not override or implement a method from a supertype
 @Override
 ^
/home/useruser/datacollection/solutions_2458486_1/java/maprohu/Treasure3.java:138: error: cannot find symbol
  Multiset<Integer> keysAccessible = HashMultiset.create();
  ^
  symbol:   class Multiset
  location: class Treasure3
/home/useruser/datacollection/solutions_2458486_1/java/maprohu/Treasure3.java:138: error: cannot find symbol
  Multiset<Integer> keysAccessible = HashMultiset.create();
                                     ^
  symbol:   variable HashMultiset
  location: class Treasure3
/home/useruser/datacollection/solutions_2458486_1/java/maprohu/Treasure3.java:146: error: package Multiset does not exist
  for (Multiset.Entry<Integer> entry : keyRequired.entrySet()) {
               ^
/home/useruser/datacollection/solutions_2458486_1/java/maprohu/Treasure3.java:160: error: cannot find symbol
  Multiset<Integer> keys = HashMultiset.create();
                           ^
  symbol:   variable HashMultiset
  location: class Treasure3.Chest
/home/useruser/datacollection/solutions_2458486_1/java/maprohu/Treasure3.java:166: error: package Multiset does not exist
   for (Multiset.Entry<Integer> entry : keys.entrySet()) {
                ^
/home/useruser/datacollection/solutions_2458486_1/java/maprohu/Treasure3.java:189: error: package Multiset does not exist
   for (Multiset.Entry<Integer> entry : keys.entrySet()) {
                ^
22 errors
",,-,-
meret,10,C++,0,139,,,,,,,,,,,,,,,,
mikhailOK,29,java,1,282,-,-,-,-,-,0,-,-,-15,-,-,5918,-,Timeout,-,-
misof,20,C++,24,209,,,,,,,,,,,,,,,,
mugurelionut,29,C++,15,130,,,,,,,,,,,,,,,,
natsugiri,19,C++,0,99,,,,,,,,,,,,,,,,
nbarshay,28,C++,0,147,,,,,,,,,,,,,,,,
netkuba,24,C++,11,145,,,,,,,,,,,,,,,,
nicesap,37,C++,3,167,,,,,,,,,,,,,,,,
nika,16,C++,0,177,,,,,,,,,,,,,,,,
nirhershko,20,Python,4,85,,,,,,,,,,,,,,,,
ogiekako,30,java,5,273,0,0.49,0.00,-,0,0,0,0,0,88,0,1172,-,-,51876,0.40
olalia,17,C++,0,100,,,,,,,,,,,,,,,,
otacon,51,Python,4,125,,,,,,,,,,,,,,,,
paulliu,48,java,25,318,-,-,-,-,-,0,-,-,-1,-,-,-,-,,-,-
pawsikora,12,C++,14,111,,,,,,,,,,,,,,,,
phtniit,0,C++,0,7,,,,,,,,,,,,,,,,
pieguy,4,C++,0,132,,,,,,,,,,,,,,,,
pivizz,25,C#,0,162,,,,,,,,,,,,,,,,
radeye,0,C++,0,150,,,,,,,,,,,,,,,,
romanandreev,10,C++,3,196,,,,,,,,,,,,,,,,
royf,21,Python,2,123,,,,,,,,,,,,,,,,
rudradevbasak,61,C++,29,280,,,,,,,,,,,,,,,,
ryuuga,42,Python,33,158,,,,,,,,,,,,,,,,
sankear,10,C++,0,209,,,,,,,,,,,,,,,,
scottai,4,C++,0,152,,,,,,,,,,,,,,,,
seanwu,4,C++,13,171,,,,,,,,,,,,,,,,
sgtlaugh,15,C,0,73,,,,,,,,,,,,,,,,
sions,29,Python,28,98,,,,,,,,,,,,,,,,
sisu,18,C++,15,192,,,,,,,,,,,,,,,,
sohelH,20,C++,5,131,,,,,,,,,,,,,,,,
sourspinach,8,C++,0,89,,,,,,,,,,,,,,,,
squahtx,36,C++,6,191,,,,,,,,,,,,,,,,
strapahuulius,0,C++,0,157,,,,,,,,,,,,,,,,
surwdkgo,14,C++,0,108,,,,,,,,,,,,,,,,
tanakh,14,C++,7,91,,,,,,,,,,,,,,,,
tfliao,18,C++,0,125,,,,,,,,,,,,,,,,
thocevar,9,C++,12,146,,,,,,,,,,,,,,,,
tkociumaka,8,C++,2,170,,,,,,,,,,,,,,,,
tmt514,5,C++,0,79,,,,,,,,,,,,,,,,
tokoharu,15,C++,9,138,,,,,,,,,,,,,,,,
tomlau,26,C++,18,107,,,,,,,,,,,,,,,,
triceps,5,C++,0,104,,,,,,,,,,,,,,,,
twilight512,17,java,5,187,0,0.15,0.00,-,0,0,0,0,1,64,0,4792,-, at java.lang.ClassLoader.defineClass1(Native Method)  at java.lang.ClassLoader.defineClass(ClassLoader.java:803)  at java.security.SecureClassLoader.defineClass(SecureClassLoader.java:142)  at java.net.URLClassLoader.defineClass(URLClassLoader.java:442)  at java.net.URLClassLoader.access$100(URLClassLoader.java:64)  at java.net.URLClassLoader$1.run(URLClassLoader.java:354)  at java.net.URLClassLoader$1.run(URLClassLoader.java:348)  at java.security.AccessController.doPrivileged(Native Method)  at java.net.URLClassLoader.findClass(URLClassLoader.java:347)  at java.lang.ClassLoader.loadClass(ClassLoader.java:425)  at sun.misc.Launcher$AppClassLoader.loadClass(Launcher.java:308)  at java.lang.ClassLoader.loadClass(ClassLoader.java:358)  at sun.launcher.LauncherHelper.checkAndLoadMain(LauncherHelper.java:482) Command exited with non-zero status 1,21416,0.04
untitledH,17,C++,4,180,,,,,,,,,,,,,,,,
vedg,38,C++,1,144,,,,,,,,,,,,,,,,
vlada,62,Python,5,103,,,,,,,,,,,,,,,,
vot,16,java,6,179,0,3.11,0.02,-,0,0,0,0,0,88,0,5112,"Note: /home/useruser/datacollection/solutions_2458486_1/java/vot/D.java uses unchecked or unsafe operations.
Note: Recompile with -Xlint:unchecked for details.
",2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 Done in 2986ms,43480,2.14
watashi,16,C++,0,124,,,,,,,,,,,,,,,,
wmLiu,22,Python,5,80,,,,,,,,,,,,,,,,
woodpecker112358,1,C++,2,154,,,,,,,,,,,,,,,,
yarrr,56,java,4,218,-,-,-,-,-,0,-,-,0,-,-,6613,-,"DEBUG, total iterations: 201 DEBUG, total iterations: 347 DEBUG, total iterations: 201 DEBUG, total iterations: 201 DEBUG, total iterations: 201 DEBUG, total iterations: 258 DEBUG, total iterations: 201 DEBUG, total iterations: 51 DEBUG, total iterations: 128 DEBUG, total iterations: 201 DEBUG, total iterations: 201 DEBUG, total iterations: 294 DEBUG, total iterations: 201 DEBUG, total iterations: 35 DEBUG, total iterations: 101 DEBUG, total iterations: 64 DEBUG, total iterations: 51",-,-
yodabo,16,C#,15,287,,,,,,,,,,,,,,,,
zhouxiaobo,8,C++,0,97,,,,,,,,,,,,,,,,
