user_id,blanks,language,comments,cloc,avg_memory,wall_clock,system_time,compiler_version,nbr_file_in,compiled,swap_main_memory,avg_RAM,exit_code,nbr_file_out,nbr_page_faults,exe_size,compile_error_msg,run_error_msg,max_RAM,user_time
Kylesky,10,java,1,116,-,-,-,-,-,0,-,-,-15,-,-,3381,-,Timeout,-,-
Lukasz16a,17,C++,5,136,,,,,,,,,,,,,,,,
Markerstein,49,java,116,201,-,-,-,-,-,0,-,-,0,-,-,4841,"Note: /home/useruser/datacollection/solutions_2458486_1/java/Markerstein/Treasure.java uses unchecked or unsafe operations.
Note: Recompile with -Xlint:unchecked for details.
",SEVERE: null java.io.FileNotFoundException: in.txt (No such file or directory)  at java.io.FileInputStream.open(Native Method)  at java.io.FileInputStream.<init>(FileInputStream.java:146)  at java.util.Scanner.<init>(Scanner.java:656)  at Treasure.main(Treasure.java:121) ,-,-
Maryann,2,C#,1,129,,,,,,,,,,,,,,,,
Miceren,8,C++,0,136,,,,,,,,,,,,,,,,
STEP5,21,C++,0,151,,,,,,,,,,,,,,,,
SeeBees,60,java,25,193,-,-,-,-,-,1,-,-,-1,-,-,-,"/home/useruser/datacollection/solutions_2458486_1/java/SeeBees/Main.java:11: error: package org.jgrapht does not exist
import org.jgrapht.Graph;
                  ^
/home/useruser/datacollection/solutions_2458486_1/java/SeeBees/Main.java:12: error: package org.jgrapht.graph does not exist
import org.jgrapht.graph.DefaultEdge;
                        ^
/home/useruser/datacollection/solutions_2458486_1/java/SeeBees/Main.java:13: error: package org.jgrapht.graph does not exist
import org.jgrapht.graph.SimpleDirectedGraph;
                        ^
/home/useruser/datacollection/solutions_2458486_1/java/SeeBees/Main.java:14: error: package org.jgrapht.graph does not exist
import org.jgrapht.graph.SimpleGraph;
                        ^
/home/useruser/datacollection/solutions_2458486_1/java/SeeBees/Main.java:15: error: package org.jgrapht.traverse does not exist
import org.jgrapht.traverse.BreadthFirstIterator;
                           ^
/home/useruser/datacollection/solutions_2458486_1/java/SeeBees/Main.java:120: error: cannot find symbol
   Graph<Integer, DefaultEdge> g){
   ^
  symbol:   class Graph
  location: class Main
/home/useruser/datacollection/solutions_2458486_1/java/SeeBees/Main.java:120: error: cannot find symbol
   Graph<Integer, DefaultEdge> g){
                  ^
  symbol:   class DefaultEdge
  location: class Main
/home/useruser/datacollection/solutions_2458486_1/java/SeeBees/Main.java:151: error: cannot find symbol
   SimpleDirectedGraph<Integer, DefaultEdge> g){
   ^
  symbol:   class SimpleDirectedGraph
  location: class Main
/home/useruser/datacollection/solutions_2458486_1/java/SeeBees/Main.java:151: error: cannot find symbol
   SimpleDirectedGraph<Integer, DefaultEdge> g){
                                ^
  symbol:   class DefaultEdge
  location: class Main
/home/useruser/datacollection/solutions_2458486_1/java/SeeBees/Main.java:222: error: cannot find symbol
 static Graph<Integer, DefaultEdge> buildGraph(
        ^
  symbol:   class Graph
  location: class Main
/home/useruser/datacollection/solutions_2458486_1/java/SeeBees/Main.java:222: error: cannot find symbol
 static Graph<Integer, DefaultEdge> buildGraph(
                       ^
  symbol:   class DefaultEdge
  location: class Main
/home/useruser/datacollection/solutions_2458486_1/java/SeeBees/Main.java:65: error: cannot find symbol
   Graph<Integer, DefaultEdge> g = buildGraph(N, keysInChest, keyToChest, keysInHand);
   ^
  symbol:   class Graph
  location: class Main
/home/useruser/datacollection/solutions_2458486_1/java/SeeBees/Main.java:65: error: cannot find symbol
   Graph<Integer, DefaultEdge> g = buildGraph(N, keysInChest, keyToChest, keysInHand);
                  ^
  symbol:   class DefaultEdge
  location: class Main
/home/useruser/datacollection/solutions_2458486_1/java/SeeBees/Main.java:78: error: cannot find symbol
     if (allowOpen(chest, keysInHand, keyToChest, chestAccessKeys, keysInChest, (SimpleDirectedGraph<Integer, DefaultEdge>)g))
                                                                                 ^
  symbol:   class SimpleDirectedGraph
  location: class Main
/home/useruser/datacollection/solutions_2458486_1/java/SeeBees/Main.java:78: error: cannot find symbol
     if (allowOpen(chest, keysInHand, keyToChest, chestAccessKeys, keysInChest, (SimpleDirectedGraph<Integer, DefaultEdge>)g))
                                                                                                              ^
  symbol:   class DefaultEdge
  location: class Main
/home/useruser/datacollection/solutions_2458486_1/java/SeeBees/Main.java:173: error: cannot find symbol
  g = (SimpleDirectedGraph<Integer, DefaultEdge>) g.clone();
       ^
  symbol:   class SimpleDirectedGraph
  location: class Main
/home/useruser/datacollection/solutions_2458486_1/java/SeeBees/Main.java:173: error: cannot find symbol
  g = (SimpleDirectedGraph<Integer, DefaultEdge>) g.clone();
                                    ^
  symbol:   class DefaultEdge
  location: class Main
/home/useruser/datacollection/solutions_2458486_1/java/SeeBees/Main.java:194: error: cannot find symbol
  BreadthFirstIterator<Integer, DefaultEdge> bfs = new BreadthFirstIterator<Integer, DefaultEdge>(g, 0);
  ^
  symbol:   class BreadthFirstIterator
  location: class Main
/home/useruser/datacollection/solutions_2458486_1/java/SeeBees/Main.java:194: error: cannot find symbol
  BreadthFirstIterator<Integer, DefaultEdge> bfs = new BreadthFirstIterator<Integer, DefaultEdge>(g, 0);
                                ^
  symbol:   class DefaultEdge
  location: class Main
/home/useruser/datacollection/solutions_2458486_1/java/SeeBees/Main.java:194: error: cannot find symbol
  BreadthFirstIterator<Integer, DefaultEdge> bfs = new BreadthFirstIterator<Integer, DefaultEdge>(g, 0);
                                                       ^
  symbol:   class BreadthFirstIterator
  location: class Main
/home/useruser/datacollection/solutions_2458486_1/java/SeeBees/Main.java:194: error: cannot find symbol
  BreadthFirstIterator<Integer, DefaultEdge> bfs = new BreadthFirstIterator<Integer, DefaultEdge>(g, 0);
                                                                                     ^
  symbol:   class DefaultEdge
  location: class Main
/home/useruser/datacollection/solutions_2458486_1/java/SeeBees/Main.java:227: error: cannot find symbol
  Graph<Integer, DefaultEdge> g = new SimpleDirectedGraph<Integer, DefaultEdge>(DefaultEdge.class);
  ^
  symbol:   class Graph
  location: class Main
/home/useruser/datacollection/solutions_2458486_1/java/SeeBees/Main.java:227: error: cannot find symbol
  Graph<Integer, DefaultEdge> g = new SimpleDirectedGraph<Integer, DefaultEdge>(DefaultEdge.class);
                 ^
  symbol:   class DefaultEdge
  location: class Main
/home/useruser/datacollection/solutions_2458486_1/java/SeeBees/Main.java:227: error: cannot find symbol
  Graph<Integer, DefaultEdge> g = new SimpleDirectedGraph<Integer, DefaultEdge>(DefaultEdge.class);
                                      ^
  symbol:   class SimpleDirectedGraph
  location: class Main
/home/useruser/datacollection/solutions_2458486_1/java/SeeBees/Main.java:227: error: cannot find symbol
  Graph<Integer, DefaultEdge> g = new SimpleDirectedGraph<Integer, DefaultEdge>(DefaultEdge.class);
                                                                   ^
  symbol:   class DefaultEdge
  location: class Main
/home/useruser/datacollection/solutions_2458486_1/java/SeeBees/Main.java:227: error: cannot find symbol
  Graph<Integer, DefaultEdge> g = new SimpleDirectedGraph<Integer, DefaultEdge>(DefaultEdge.class);
                                                                                ^
  symbol:   class DefaultEdge
  location: class Main
/home/useruser/datacollection/solutions_2458486_1/java/SeeBees/Main.java:262: error: cannot find symbol
  Graph<String, DefaultEdge> graph = new SimpleDirectedGraph<String, DefaultEdge>(DefaultEdge.class);
  ^
  symbol:   class Graph
  location: class Main
/home/useruser/datacollection/solutions_2458486_1/java/SeeBees/Main.java:262: error: cannot find symbol
  Graph<String, DefaultEdge> graph = new SimpleDirectedGraph<String, DefaultEdge>(DefaultEdge.class);
                ^
  symbol:   class DefaultEdge
  location: class Main
/home/useruser/datacollection/solutions_2458486_1/java/SeeBees/Main.java:262: error: cannot find symbol
  Graph<String, DefaultEdge> graph = new SimpleDirectedGraph<String, DefaultEdge>(DefaultEdge.class);
                                         ^
  symbol:   class SimpleDirectedGraph
  location: class Main
/home/useruser/datacollection/solutions_2458486_1/java/SeeBees/Main.java:262: error: cannot find symbol
  Graph<String, DefaultEdge> graph = new SimpleDirectedGraph<String, DefaultEdge>(DefaultEdge.class);
                                                                     ^
  symbol:   class DefaultEdge
  location: class Main
/home/useruser/datacollection/solutions_2458486_1/java/SeeBees/Main.java:262: error: cannot find symbol
  Graph<String, DefaultEdge> graph = new SimpleDirectedGraph<String, DefaultEdge>(DefaultEdge.class);
                                                                                  ^
  symbol:   class DefaultEdge
  location: class Main
/home/useruser/datacollection/solutions_2458486_1/java/SeeBees/Main.java:272: error: cannot find symbol
  BreadthFirstIterator<String, DefaultEdge> it = new BreadthFirstIterator<String, DefaultEdge>(graph);
  ^
  symbol:   class BreadthFirstIterator
  location: class Main
/home/useruser/datacollection/solutions_2458486_1/java/SeeBees/Main.java:272: error: cannot find symbol
  BreadthFirstIterator<String, DefaultEdge> it = new BreadthFirstIterator<String, DefaultEdge>(graph);
                               ^
  symbol:   class DefaultEdge
  location: class Main
/home/useruser/datacollection/solutions_2458486_1/java/SeeBees/Main.java:272: error: cannot find symbol
  BreadthFirstIterator<String, DefaultEdge> it = new BreadthFirstIterator<String, DefaultEdge>(graph);
                                                     ^
  symbol:   class BreadthFirstIterator
  location: class Main
/home/useruser/datacollection/solutions_2458486_1/java/SeeBees/Main.java:272: error: cannot find symbol
  BreadthFirstIterator<String, DefaultEdge> it = new BreadthFirstIterator<String, DefaultEdge>(graph);
                                                                                  ^
  symbol:   class DefaultEdge
  location: class Main
Note: /home/useruser/datacollection/solutions_2458486_1/java/SeeBees/Main.java uses unchecked or unsafe operations.
Note: Recompile with -Xlint:unchecked for details.
35 errors
",,-,-
SergeyWeiss,15,java,0,177,0,0.15,0.00,-,0,0,0,0,1,64,0,4843,-, at java.lang.ClassLoader.defineClass1(Native Method)  at java.lang.ClassLoader.defineClass(ClassLoader.java:803)  at java.security.SecureClassLoader.defineClass(SecureClassLoader.java:142)  at java.net.URLClassLoader.defineClass(URLClassLoader.java:442)  at java.net.URLClassLoader.access$100(URLClassLoader.java:64)  at java.net.URLClassLoader$1.run(URLClassLoader.java:354)  at java.net.URLClassLoader$1.run(URLClassLoader.java:348)  at java.security.AccessController.doPrivileged(Native Method)  at java.net.URLClassLoader.findClass(URLClassLoader.java:347)  at java.lang.ClassLoader.loadClass(ClassLoader.java:425)  at sun.misc.Launcher$AppClassLoader.loadClass(Launcher.java:308)  at java.lang.ClassLoader.loadClass(ClassLoader.java:358)  at sun.launcher.LauncherHelper.checkAndLoadMain(LauncherHelper.java:482) Command exited with non-zero status 1,21460,0.04
Sfairat,66,C++,3,228,,,,,,,,,,,,,,,,
Sharph,19,C++,0,106,,,,,,,,,,,,,,,,
SmartSchizo,12,C++,1,90,,,,,,,,,,,,,,,,
SnapDragon,12,C++,2,96,,,,,,,,,,,,,,,,
Snuke,19,C++,0,126,,,,,,,,,,,,,,,,
Soultaker,85,C++,70,608,,,,,,,,,,,,,,,,
TRYang,8,C++,17,120,,,,,,,,,,,,,,,,
Talibu,17,C++,0,189,,,,,,,,,,,,,,,,
TankEngineer,12,C++,0,113,,,,,,,,,,,,,,,,
Tellmarch,33,java,63,165,0,0.16,0.00,-,0,0,0,0,1,64,0,4027,-, at java.lang.ClassLoader.defineClass1(Native Method)  at java.lang.ClassLoader.defineClass(ClassLoader.java:803)  at java.security.SecureClassLoader.defineClass(SecureClassLoader.java:142)  at java.net.URLClassLoader.defineClass(URLClassLoader.java:442)  at java.net.URLClassLoader.access$100(URLClassLoader.java:64)  at java.net.URLClassLoader$1.run(URLClassLoader.java:354)  at java.net.URLClassLoader$1.run(URLClassLoader.java:348)  at java.security.AccessController.doPrivileged(Native Method)  at java.net.URLClassLoader.findClass(URLClassLoader.java:347)  at java.lang.ClassLoader.loadClass(ClassLoader.java:425)  at sun.misc.Launcher$AppClassLoader.loadClass(Launcher.java:308)  at java.lang.ClassLoader.loadClass(ClassLoader.java:358)  at sun.launcher.LauncherHelper.checkAndLoadMain(LauncherHelper.java:482) Command exited with non-zero status 1,21476,0.04
Tenyoku,3,C++,0,94,,,,,,,,,,,,,,,,
Vasyl,24,C++,0,145,,,,,,,,,,,,,,,,
