user_id,blanks,coments,language,cloc
LazyAnna,4,0,C++,37
DanilC,19,21,C++,150
Cypi,17,0,Python,136
FatalEagle,5,0,C++,74
JayXon,19,7,C++,56
ynasu,4,1,Python,36
Dukkha,1,0,java,63
rantd,6,98,C++,49
xs0,18,0,java,86
a00012025,47,8,C++,265
ponyopoppo,5,1,C++,74
UminchuR,1,17,C++,40
ctzsm,7,0,C++,51
NExPlain,16,7,C++,105
miguelmaurizio,46,1,java,205
alanubi,6,10,C++,26
apiad,2,0,C++,27
iridescent,1,0,C++,63
devjoe,9,1,Python,86
Anta0,8,0,C++,48
551100kk,5,0,C++,66
t93,1,17,C++,40
namonakiacc,6,1,C++,73
Toby,5,0,C++,39
phire,20,11,Python,140
Spelvin,4,0,Python,69
mezei,9,5,C++,54
EriKKo,7,0,Python,47
shindannin,5,23,C++,40
fiver,12,0,C#,112
TrueBamboo,10,0,C++,138
Fly33,12,1,C++,136
treebeard,9,0,C++,51
gepa,4,0,Python,23
AntiForest,10,0,C++,138
phidnight,4,0,C++,23
fagu,5,0,C++,59
math314,13,5,C++,83
ICastro,22,1,C++,100
dmute,13,5,C++,83
UltraSuperboy,8,0,java,68
SovietUnion,8,0,C++,57
pflueger,9,0,C++,51
Dembel,7,1,C++,81
SamanSami,8,0,C++,57
dshabes,0,2,C#,83
tailed,5,0,C++,59
Savlik,1,0,C++,31
ZhSh,9,5,C++,54
DEGwer,24,11,C++,189
kevinsogo,5,0,C++,59
Josse,2,0,C++,25
ksun48,4,0,C++,30
rkleberhoff,16,7,java,105
yesenarman,9,0,C++,48
bmerry,4,0,C++,37
pandamonium,47,8,C++,265
yosupot,24,1,C++,112
azariamuh,2,0,C++,25
ilackthatsuperpower,8,1,C++,75
Fdg,9,5,C++,47
mamekin,7,0,C++,40
anari,14,2,Python,111
ProjectYoung,18,17,java,135
darnley,7,0,java,94
ctunoku,12,1,java,117
DrBubbles,6,1,C++,73
ordcoder,6,10,C++,26
yswtt,5,0,C++,47
EmK,6,10,C#,109
jtidor,10,5,Python,98
assy,8,0,C++,48
Tyg3R,5,5,C++,85
Mister,1,0,C++,31
shik,8,0,C++,69
tcooke,22,2,Python,112
peter50216,5,0,C++,47
kyc,5,5,java,85
BunchOfLines,9,5,C++,47
Nicolas16,7,0,C++,94
Merkurev,2,0,C++,27
durt,5,0,C++,59
Ragnar,24,11,C++,189
saffah,24,1,C++,112
ishraq,18,0,C++,86
Tellmarch,14,0,java,82
oneg,13,4,Python,158
nwin,4,0,Python,101
fullpower,4,0,C++,30
azaky,5,0,C++,39
xDanielx,13,3,Python,84
BSBandme,9,0,C++,46
liutianren,28,0,Python,128
sokian,7,0,C++,47
achan1058,46,1,C++,205
climpet,14,0,C++,82
thocevar,19,7,C++,56
piyawatl,7,3,C#,83
prezcoin,5,0,C++,83
kcm1700,22,1,C++,100
littlefriend,7,0,C++,40
kmjp,7,0,C++,51
