user_id,blanks,comments,language,cloc
Burney,0,0,C++,22
gahou,5,0,java,33
connect4,16,0,C++,43
JESI,10,0,C++,28
cosminp,3,0,C++,28
FatalEagle,4,0,C++,34
elvina,6,0,C++,35
mexmans,9,0,C++,58
JasonShao8,1,0,Python,10
polmauri,1,0,C++,23
Ying1123,3,0,C++,31
BD777,5,0,C++,32
ghotion,3,1,java,28
Shangke7788,2,2,C++,29
kojingharang,7,4,C++,71
codingishard,7,7,C++,25
Pau1,5,0,java,54
mkdong,2,0,C++,26
nomostraneus,9,2,Python,21
StefanPochmann,0,0,Python,9
Alexiski,1,0,C++,24
MatusH,4,0,C++,32
Dmytro,11,2,java,66
JanKuipers,10,1,C++,57
johnLate,9,0,C++,37
Haghani,0,0,C++,33
Baklazan,4,0,C++,50
romanandreev,0,0,C++,25
Tomik,6,6,java,23
rishabhroy,5,1,Python,16
lurs,4,4,Python,12
oldcatfish,1,0,Python,15
kristotammeoja,8,1,java,38
jeno5980515,3,0,C++,36
Anta0,1,0,C++,58
Gimralas,10,10,C++,42
Swrrt,0,0,C++,31
HannesF,5,2,Python,10
AlvinChow,10,3,java,53
Martinarjovsky,2,0,C++,24
leek,13,0,C++,28
pipikaqiu,6,1,java,40
cmd,10,8,C++,84
minchurl,0,0,C++,23
programcaicai,1,0,Python,12
hassan88,1,0,java,27
rvisser,13,0,C++,42
rafael859,7,0,C++,57
Jhamra,9,0,C++,37
scorpioLiu,1,0,Python,19
manchik,1,0,C++,28
kucingimbalance,2,0,C++,20
ccarter,1,0,C++,28
IvayloS,5,6,C++,48
CorupTa,1,1,C++,52
EmK,11,0,C#,80
wilwell,4,0,C++,33
alexwice,4,3,Python,26
Sharknevercries,0,0,C++,29
otacon,17,2,Python,37
chinoxyz,7,0,C++,49
matyusmilan,5,4,java,58
kangbb,9,0,C++,32
Sippy,2,0,Python,22
BIPUL,0,1,Python,13
yushengjsman,3,3,C++,28
steiner,5,0,C++,41
phidnight,1,0,C++,23
derekhh,2,1,C++,27
caibird,1,0,C++,26
Algiz,5,0,C++,32
HustYY,1,0,C++,24
prololo,2,0,C++,32
Marche,2,1,Python,16
math314,13,1,C++,66
jdillet,10,0,java,32
bywbilly,0,0,C++,30
PreNa,8,0,C++,30
royf,18,2,Python,44
darkKelvin,5,8,C++,99
crappylight,1,0,C++,25
snydesc,11,2,C#,54
McJacob,8,0,Python,21
mykene,8,3,java,32
muraken,2,40,C#,71
p0lymath,5,0,C++,26
permin,15,1,C++,100
Lurvox,15,0,C++,33
Ginzaner,9,0,C++,25
luizmramos,2,0,C++,23
kevinptt,8,35,C++,22
Nooodles,4,3,Python,12
vladklyachin,4,1,C++,30
hjaltmann,2,0,Python,14
gasin,3,0,C++,36
johnnyhibiki,6,0,java,23
ah1926,3,0,C++,44
koji,6,0,java,34
aknow,14,3,C++,74
Josse,3,0,C++,27
mruxim,11,4,C++,36
chonps,5,0,C++,37
MattDaws,3,1,Python,16
nendow,3,2,C++,24
Sunchiro,1,0,C++,27
Harhro94,14,5,C++,67
gnocuil,0,0,C++,24
l1n4r,7,0,C++,46
olafm,15,9,java,38
aks47u,5,0,Python,12
FrostA,3,1,C++,47
BigWaterMan,1,2,C++,56
paulliu,17,22,java,87
xyz111,2,0,C++,19
LilacLu,3,1,C++,29
vpj,14,0,C++,66
shikharid,3,2,C++,27
pachonunderscore1992,5,0,C++,33
dimak24,3,0,C++,27
skyxuan,0,0,C++,24
zetamoo,2,0,C++,45
Fenxy,2,0,C++,33
sidhant,8,0,C++,28
changhai,2,0,Python,19
Mister,1,0,C++,17
swiper,2,0,Python,16
Tanay1998,2,0,C++,28
Lia,3,0,C++,49
zychaha,7,0,C++,38
tgehr,1,0,C++,18
RifleZhang,2,0,C++,27
HellKitsune123,4,0,C++,40
bnuzhanyu,10,0,C++,35
gskhirtladze,4,1,C++,22
PlayLikeNeverB4,5,0,Python,24
Progbeat,3,0,C++,34
dwiggy,3,1,Python,14
FireJade,1,0,C++,19
skyler,3,1,C++,27
freevoid,4,0,Python,15
Jingplusplus,2,23,java,61
lujcmss,11,0,C++,53
okostya,10,2,C#,55
Atol,3,0,C++,48
Aksenov239,8,0,java,47
xiaodao,71,28,C++,400
LeonardoXavier,2,27,C#,0
Skeas,3,0,C++,18
AndreiNet,6,3,C++,28
matias,2,0,C++,18
Pufforrohk,2,0,C++,32
Arrows,3,1,C++,25
dinosaurs,5,0,C++,22
TryAndSee,4,3,C++,30
kusano,0,0,Python,9
qt31415926,7,1,C++,29
tanriol,13,18,Python,57
vance,0,1,C++,23
Taargus,7,0,C++,28
shimomire,13,5,C++,107
ScottyP,23,1,Python,34
cxlove321,0,2,C++,28
anubhav94,12,0,C++,67
AleksanderBalobanov,5,0,C++,55
Seehait,8,2,C++,48
triveni692,4,6,C++,35
ReneZ,2,5,Python,2
Eureka6174,0,0,Python,10
Slimper,10,2,C++,45
kostka,3,0,C++,27
SaveVMK,4,0,java,27
pasin30055,0,0,Python,15
aurinegro,7,0,C++,65
Skywalker8921,4,1,Python,20
JayXon,13,0,C++,45
uuirs,1,2,C++,34
rootsman,8,1,Python,29
a9108,2,0,C++,32
Davidinosauro,10,2,Python,31
hychen,0,0,C,20
nisshy,11,0,C++,37
maggot092,16,1,C++,91
shadow9,1,0,C++,20
LearnedOnPunchCards,16,0,C#,51
Ashkboooos,0,0,Python,28
domingos86,8,0,java,27
papamitra,4,1,Python,19
disneyp,1,0,C++,32
QuangLe,12,10,C++,63
guangnian,2,1,C++,55
liutianren,3,0,Python,14
tonyWWWWWW,2,0,C++,27
qbeuek,5,0,C#,37
MaximKulikov,6,0,C++,29
souvikkrm,1,0,C++,49
nrmanutd,2,13,C#,0
Aries512,32,1,java,393
alexjthat,5,0,java,26
zapray,5,0,C++,48
Inspector97,3,0,C++,37
Candela,7,0,C++,53
chiwangc,23,5,java,61
pranavPrakash,13,7,C++,30
KennyKwok,13,3,C,72
harrenhall,6,5,Python,15
pavelz,3,2,C++,32
VinyleEm,5,0,Python,14
ajklkv,1,0,java,27
watermaximillion,3,1,java,44
misof,1,0,Python,11
phire,6,2,Python,18
alei,2,0,C++,25
xwind,0,1,C++,43
Seter,0,0,Python,12
zizhong,3,4,C++,56
Icemore,11,0,C++,40
bobogei,3,0,C++,30
junior94,17,5,java,100
DukeBG,4,0,C#,43
sdcr,15,0,C++,49
himalayancoder,3,0,C++,29
lazyc97,6,0,C++,30
slex,13,1,java,53
Lkillua,2,0,C,29
dawn,3,7,C++,29
Kyousuke,10,21,C++,69
Aubrey,9,3,java,40
Vishap,12,10,C++,81
ftfish,4,0,C++,34
mwc123,0,0,C++,46
at1,5,2,C++,43
MagiMaster,2,7,C++,0
Ouroboros,2,0,C++,24
MiminoCoder,8,1,C++,55
lnsuyn,3,0,C++,30
oliverzheng,9,1,Python,20
sonka,6,0,java,40
jonis,1,0,C++,23
suhang,3,0,C++,26
Jarlaxle,3,0,java,38
ehlemur,7,0,C++,17
stgatilov,6,2,C++,57
Dembel,7,0,C++,46
Greatlemer,11,17,Python,69
TaiTai,4,2,java,27
equation618,4,0,C++,24
ykabaran,2,16,java,8
xuc,15,3,java,30
Troublemaker,25,0,C++,83
ReynoT,3,0,C++,36
nonZero,4,12,Python,15
omse1998,8,1,C++,40
Jasontsh,5,1,java,37
olage,12,1,C++,57
thocevar,4,0,C++,44
simson,4,0,Python,19
SmartSchizo,3,0,C++,22
DBZX,12,7,C++,74
yodabo,12,3,C++,32
kerker,4,0,C++,18
leeyimin,5,0,C++,25
abyssmally,2,0,C++,19
cathook,3,0,C++,21
DuX,12,0,C++,34
codeBleeder,5,0,C++,38
KamranM,9,4,java,67
aquamongoose,2,1,Python,15
yey177,1,0,C,20
manul,1,0,C++,31
nikkitousen,8,0,C++,45
gym,2,0,C++,34
Curs0r,3,2,C++,54
Nullard,10,0,Python,39
dnutsch,6,1,Python,18
First4196,2,0,C++,96
aropan,6,0,C++,44
dginz,1,2,Python,12
lovekd,2,3,C++,65
hhhhhhhhhhhhhhhhhhhhhh,4,4,C++,67
justinz2018,2,0,C++,22
AdGold,0,0,Python,14
stqn,5,0,C++,32
katharas,3,0,Python,24
nilwyh,20,0,java,62
Xing0328,7,5,Python,23
DmitryAnkudinov,31,37,java,36
DriukAlex,3,0,C++,43
mcprobie7,4,0,java,31
konstantinkostin,17,0,java,67
nwin,1,0,Python,12
orenash,10,0,java,30
pva701,1,0,C++,36
xDanielx,1,0,Python,12
BrunoVCosta,4,1,C++,27
MooseBoys,29,43,C++,99
heyihong,2,0,C++,19
BalderJ,6,6,java,33
addict,3,0,C++,36
bambit,2,0,Python,10
vlecomte,3,0,C++,40
bony2023,5,6,C++,80
0x00000000,2,0,C,41
Tingnan,5,6,C++,64
sandun,1,0,C++,27
spencer,2,0,C++,24
atetubou,9,1,C++,74
fcspartakm,12,0,C++,88
Alexander86,6,0,C++,56
Lewin,9,0,java,56
buidohiep,7,3,C++,40
vladdy,6,0,Python,15
PAP,2,0,C++,25
Darksun,2,0,C++,24
mtan,9,0,C++,49
BwaKell,18,0,java,70
ThangTQ,2,2,C++,29
unhooked,9,0,C++,32
EthanYu,1,0,C++,34
crptone,4,1,Python,23
TheTaintedOne,6,0,Python,18
mhora,8,2,C++,34
ttim,15,4,java,104
eartemov,6,7,C++,70
WierdAl,10,1,C++,32
JarrettSpiker,14,3,java,30
benfei,7,4,Python,25
aaaaajack,0,0,C++,20
Krazul,3,0,C++,23
ranaldmiao,0,0,C++,22
Empty007,13,0,C++,53
RomanTicB,6,2,Python,19
MatRush,5,1,C++,29
Malvolio,9,0,java,40
DSquare,5,0,C++,25
nhirokinet,17,3,C++,45
Ljq,4,0,Python,19
LawyerZhang,1,0,java,19
Gansito,2,0,C++,28
devjoe,0,5,Python,10
viv001,6,2,C++,47
yter,7,9,java,40
gotoloop,1,0,C++,29
QiuZhiyue,0,0,C++,30
ruippeixotog,5,0,C++,18
nofto,2,2,C++,32
saopayne,9,8,java,47
joaog,27,0,C++,35
jmzhao,6,0,Python,28
sourabhghurye,3,0,C++,28
daisynowhere,1,0,C++,24
nothingkong,4,4,Python,15
garg17793,5,0,C++,41
sinosee69,3,1,C++,30
mhward,2,3,C++,28
grv95,5,2,C++,46
Neverauskas,8,0,C#,71
allencat850502,0,0,C++,19
317070,4,10,Python,35
kenimo,3,0,C++,49
Hasan0540,0,0,C++,36
Sp3000,7,0,Python,14
sahann,9,0,C++,58
Bg1,4,1,java,42
0x42,27,1,java,53
lappistelecom,1,0,Python,21
FoxNounours,6,1,Python,21
nakahara,8,1,C++,45
