user_id,penalty,points,rank
............................,77168,100,1318
...levi...,16312,75,2165
.ahuja,35170,75,2441
.dP.,49455,100,705
.sigsegv,41945,100,575
00dnvtmf,21205,100,244
01110111,88426,80,2017
0210804,43873,100,616
0rang3,49342,75,2707
0x42,49529,75,2715
0xrgb,56750,80,1893
1.jatekos,26842,75,2315
131131yhx,40551,100,550
15joeybloom,21396,80,1805
178855371157,18437,100,216
1NCID3R,24286,100,285
1ed,55682,100,831
2007,49403,75,2712
2011aad,54351,80,1884
2jjy,18324,75,2186
2rf,30931,100,381
314eter,59380,100,903
317070,56601,80,1892
3190m,33711,75,2418
357,51367,100,742
4yn,27587,75,2328
7HM,58739,75,2951
8163264128,97360,100,1704
ACErupt,94938,100,1646
ACMonster,12810,75,2130
AISarkin,3892,75,2071
AJ721,81562,100,1407
AKim,42561,100,589
AMartin,92429,80,2037
ARechitsky,35986,100,466
ASotelo,12384,100,118
AadithyaMD,74022,100,1255
Abgnegplt,33885,100,428
AcrossTheSky,66855,100,1095
Acson,97310,100,1702
Adac,60172,75,2993
Adensur,55945,100,837
Adipt,51851,100,751
AdityaM93,50994,80,1874
Adrian.Orzepowski,75801,80,1966
Aemon,16394,100,185
Aerodonkey,59366,75,2972
Agu1729,29157,100,352
Ahbong,26665,100,311
AhmadMamdouh,73794,100,1245
Ahyangyi,17923,100,212
Aki,60862,75,3015
Aksenov239,3430,75,2070
Akshaya,47400,100,670
Al.Cash,75117,100,1278
AlSaeed,49989,100,716
Alan.Chang,49396,100,703
Alarak,50006,75,2731
Alastair,72845,100,1220
Alcarinquo,72153,100,1208
AleksanderDowbnia,61223,100,945
Alex.Baranau,39986,100,535
AlexAlvarez,69176,100,1140
AlexDinaro,53726,100,791
AlexFetisov,28505,75,2339
AlexProk,58798,75,2954
AlexSM,84762,100,1473
AlexSand,50796,80,1872
AlexVistyazh,51736,100,749
Alexander86,93810,100,1635
AlexandruValeanu,48139,75,2678
Alexiski,35424,100,449
Alinfty,51956,75,2777
Alkemir,26090,100,304
Allanur,48713,75,2697
Alon,78913,100,1359
Alphayet,36455,75,2463
AlvinWong,19147,100,226
Amaury.Lili,85608,100,1491
Ambling,42587,80,1845
Amir192,51329,75,2760
AmrMahmoud,48314,100,682
Amzaz,61130,100,942
Anand.C.Pisal,68349,80,1936
Anaros,62647,100,981
AndersTornkvist,39261,75,2511
AndreySergunin,82365,100,1433
Andy.Li,58167,75,2934
AndyBloch,24268,100,284
AngelicosPhosphoros,87141,100,1513
Angor,69196,100,1142
AngryBacon,13615,100,142
Anikushin,57782,75,2922
Anjupiter,21219,100,245
AnonymousBunny,43981,75,2603
AntalViktor,77399,100,1323
AntiForest,4126,100,14
Anton.Karmanov,9228,100,75
Anton.Lunyov,46419,100,657
Anupam14,89890,100,1564
Anyrainel,89747,100,1561
Aopanis,93406,100,1626
Aowi,71814,100,1195
Arcey,27289,75,2323
Arcturus,57389,100,867
Ardem,18086,80,1798
Ariza,26034,100,303
Armia,49988,100,715
Arti1990,82304,100,1430
Arup,6282,75,2079
Asafh,81211,100,1401
Astrae,37292,80,1835
Atile,36857,75,2470
Auenwald,61991,100,963
AugustusLi,30038,100,368
Aurel,24506,80,1811
Auster,80575,100,1388
Aweather,66505,100,1084
AxiomOfChoice,78496,80,1980
Azrathud,22714,75,2244
BIT.lx,22655,75,2242
BSBandme,12967,100,127
BUAA.Thor,28081,75,2334
Backspe,45952,100,650
Balajiganapathi,59916,100,917
Bano,76261,80,1969
BarNar5,13773,75,2139
Bartekb,72666,100,1217
Batterytime,16777,100,191
BaturaDima,87397,100,1516
Bayesian,95884,100,1670
Beardhat,32392,75,2391
Bekmyrat,49677,75,2723
BelaRacz,92814,100,1613
Benbot,90525,80,2028
BennyCarina,34365,100,433
BigDuck,39632,75,2517
Bigmac,73859,100,1249
Billy13,52427,75,2791
Biylda,50493,75,2740
Bj0rnen,92959,100,1615
Blakman,85220,100,1481
BlazWin,38296,75,2494
Bloodnaix,82069,100,1425
Blue.Bear,25045,100,294
Blue.Mary,17042,100,195
BlueFish,78418,100,1344
Bnick,34950,100,442
Bobik,21764,100,252
Boping,41413,85,1755
Borisp,32857,75,2400
Bossle,5354,100,27
Bosz,50684,75,2745
Bradrin,19274,80,1802
BrainSteel,67798,80,1932
Breakun,8702,80,1779
Bremsstrahlung,70368,80,1945
Brian,76819,100,1311
Brian.P,54560,100,805
Brryce,46932,75,2648
BrunoVCosta,26927,75,2318
BryceSandlund,15070,75,2154
Bubris,87034,80,2009
