user_id,blanks,coments,language,cloc
lzw75,56,1,C,479
g201513,14,0,C++,58
sixshine,13,15,C++,156
dunkmaster,11,0,java,50
kurnevsky,11,0,C++,50
Stun,2,2,C++,53
hychen,4,0,C,166
Boltmeyer,20,0,C#,70
qnighy,4,0,C++,37
yimamura,11,0,C++,69
alexliver,11,0,java,69
SumuduF,10,0,C++,58
strapahuulius,3,0,C++,34
nexen,4,0,C++,36
emppu,13,15,C++,156
qbeuek,5,0,C#,76
tanriol,46,16,Python,179
aussie,7,0,C#,50
chys,3,46,C++,0
updog,22,0,C++,283
sigmar,33,0,C++,416
tmt514,10,0,C++,44
krijgertje,1,2,C++,69
eatmore,10,0,java,44
Hooyoung,10,0,Python,112
fuseidenamida,18,7,C++,139
kenimo,3,0,Python,23
CydorniaKnight,11,0,C++,51
jellies,14,0,C++,68
TripleM,3,0,C++,63
koda,2,1,C++,55
rafaeldaigo,1,0,C++,24
kmod,66,32,Python,291
Weeble,17,5,C#,37
Smithers,53,5,C++,330
gepa,15,0,Python,61
Scooooooorpio,4,35,C++,30
srkib0y,12,8,C++,236
Salls,22,7,C++,119
Chewbacca,11,0,C++,67
FFFFF,21,0,java,273
waik,3,0,C++,51
devurandom,11,3,C++,39
royf,30,25,Python,269
Berry,0,0,C,1
rydotyosh,19,10,C++,41
stgatilov,8,0,C++,38
lxx,11,0,C++,75
kappahouse,1,2,C++,37
ecv,0,0,C++,1
srh,6,0,C++,21
DjinnKahn,12,8,C++,236
dwenzel,17,5,Python,37
khelman,25,5,java,42
alva0930,1,0,java,24
stopit99,16,5,C#,47
lwz,7,0,C++,29
IElenik,2,1,C++,55
bmerry,1,2,C++,69
Tilps,3,0,C#,23
a2stnk,48,26,java,184
mjmjmtl,4,39,C++,31
ineaugh,25,5,C++,42
dspyz,8,0,java,38
CaptainAhmadi,4,0,C++,166
cardboardbox,4,0,java,59
donogo,4,0,C++,37
kcm1700,4,3,C++,22
ymgve,3,0,java,65
eldering,0,0,C++,1
levlam,21,0,C++,273
wabe,22,7,C++,119
SnapDragon,5,0,C++,45
caf,3,46,C,0
mystic,2,2,java,53
Vasyl,18,7,C++,139
AS1,7,0,C++,29
Nicolas16,53,5,C,330
akinori,16,5,C#,47
refacto,28,0,C++,294
LinShu,4,0,C++,59
bengedy,4,8,C++,51
eddyferreira,3,0,C++,40
arping,19,10,C++,41
falcon112358,53,22,Python,140
kik,48,26,C++,184
piyawatl,7,0,C#,50
sisu,3,0,C++,65
kelvinlau,3,0,C++,34
iwiskimo,0,0,C++,1
Arcturus,11,1,C++,51
caethan,5,0,Python,76
Alexander86,3,0,C++,63
azhai,11,12,C++,24
tikitikirevenge,22,0,C++,283
kmjp,11,0,C++,75
