user_id,avg_memory,wall_clock,system_time,blanks,language,compiler_version,cloc,nbr_file_in,compiled,swap_main_memory,avg_RAM,exit_code,comments,nbr_file_out,nbr_page_faults,exe_size,compile_error_msg,run_error_msg,max_RAM,user_time
0alex,0,0.00,0.00,149,C++,-,110,0,0,0,0,0,11,0,0,27032,-,-,2384,0.00
112atn323,0,0.04,0.00,6,Java,-,57,0,0,0,0,1,0,64,0,2197,-,java,21324,0.04
178855371157,0,0.00,0.00,5,Python,2.7,14,8,0,0,0,0,0,0,0,702,-,-,6440,0.00
1E60,0,0.00,0.00,43,C++,-,41,0,0,0,0,0,0,0,0,7616,-,-,2272,0.00
1NCID3R,0,0.00,0.00,59,C++,-,42,0,0,0,0,0,2,0,0,9304,-,-,2412,0.00
1ed,0,0.04,0.00,27,Java,-,129,0,0,0,0,1,12,64,0,3431,-,java,21460,0.03
2jjy,0,0.00,0.00,38,C++,-,38,0,0,0,0,0,0,0,0,9952,-,-,2492,0.00
354898002,0,0.00,0.00,50,C++,-,42,0,0,0,0,0,233,0,0,9848,-,-,2584,0.00
37ae912,-,-,-,21,C++,-,68,-,1,-,-,-1,12,-,-,-,expected primary-expression,-,-,-
3of7,0,0.00,0.00,1,C++,-,44,0,0,0,0,0,0,0,0,17408,-,-,2464,0.00
551100kk,0,0.00,0.00,1,C++,-,22,0,0,0,0,0,0,0,0,10296,-,-,2640,0.00
7HM,0,0.10,0.00,13,Java,-,39,0,0,0,0,0,5,72,0,1311,-,-,30932,0.09
8cbx,0,0.00,0.00,0,C++,-,52,0,0,0,0,0,2,0,0,7512,-,-,2360,0.00
ACMonster,0,0.00,0.00,6,C++,-,68,0,0,0,0,0,1,0,0,9832,-,-,2732,0.00
ACalvin,0,0.00,0.00,33,C++,-,33,0,0,0,0,0,0,0,0,8352,-,-,2312,0.00
ACgege,0,0.84,0.02,71,C++,-,43,0,0,0,0,0,0,153584,0,9800,-,-,2684,0.63
AFGhazy,0,0.14,0.00,108,C++,-,46,0,0,0,0,0,2,1072,0,11024,-,-,2732,0.07
AJ721,0,0.04,0.00,7,Java,-,55,0,0,0,0,0,0,72,0,1835,-,-,21756,0.04
ARechitsky,0,0.04,0.01,17,Java,-,116,0,0,0,0,1,5,64,0,1612,-,jav,21956,0.03
ASotelo,0,0.04,0.00,2,Java,-,56,0,0,0,0,1,5,64,0,3002,-,java,21428,0.03
AaronStockdill,0,0.01,0.00,3,Python,3.5,27,0,0,0,0,0,1,0,0,1416,-,-,7764,0.00
Abesy,-,-,-,11,C++,-,119,-,1,-,-,-1,3,-,-,-,No such file or directory,-,-,-
Abhinav2107,0,0.00,0.00,1,Python,2.7,18,8,0,0,0,0,0,0,0,712,-,-,6444,0.00
Abscp,0,0.00,0.00,27,C++,-,27,0,0,0,0,0,0,0,0,9912,-,-,2512,0.00
AcidBurn,0,0.01,0.00,85,C++,-,65,0,0,0,0,0,3,8,0,27904,-,-,3188,0.00
AcmerArthur,0,0.00,0.00,33,C++,-,34,0,0,0,0,0,0,0,0,9080,-,-,2656,0.00
AcrossTheSky,0,0.00,0.00,5,C++,-,109,0,0,0,0,0,1,0,0,10400,-,-,2544,0.00
Action,-,-,-,1,C#,-,66,-,0,-,-,1,0,-,-,4608,-,: System.IO.FileNotFoundException,-,-
Agentchuck,0,0.00,0.00,16,C++,-,73,0,0,0,0,255,4,0,0,12224,-,Unknown,2532,0.00
AhmadMamdouh,0,0.06,0.00,8,Java,-,70,0,0,0,0,0,1,72,0,1463,-,-,23724,0.06
AidaoChen,0,0.75,0.04,28,C++,-,28,0,0,0,0,0,0,153584,0,11008,-,-,2556,0.48
AileenC,0,0.00,0.00,8,Python,2.7,56,8,0,0,0,0,0,0,0,1868,-,-,6428,0.00
AizukiKoh,0,0.02,0.00,2,C#,-,66,0,0,0,0,0,0,0,0,3584,-,-,10336,0.01
Ajlohr,0,0.09,0.01,8,Java,-,43,0,0,0,0,0,0,64,0,1235,-,-,25580,0.08
Akigeor,0,0.00,0.00,44,C++,-,43,0,0,0,0,0,1,0,0,8848,-,-,2736,0.00
AlSaeed,0,0.00,0.00,6,C++,-,54,0,0,0,0,0,0,0,0,10176,-,-,2492,0.00
Alamin,0,0.00,0.00,89,C++,-,62,0,0,0,0,0,7,0,0,10112,-,-,2556,0.00
AlanC,0,0.00,0.00,49,C++,-,35,0,0,0,0,0,0,0,0,8000,-,-,2284,0.00
Alcarinquo,0,0.00,0.00,54,C++,-,36,0,0,0,0,0,0,0,0,8496,-,-,2520,0.00
Aleksei,0,0.00,0.00,1,C++,-,48,0,0,0,0,0,0,0,0,17776,-,-,2376,0.00
Alen,0,0.01,0.00,9,Python,2.7,53,8,0,0,0,0,2,8,0,1918,-,-,6380,0.00
AlexBarry,-,-,-,16,Python,2.7,37,-,0,-,-,1,6,-,-,1841,-,File or Dir not found,-,-
AlexFetisov,0,0.15,0.00,13,Java,-,104,0,0,0,0,0,5,72,0,1194,-,-,24660,0.14
AlexZhan,0,0.00,0.00,6,C++,-,28,0,0,0,0,0,0,0,0,7536,-,-,2448,0.00
Alexander86,0,0.00,0.00,5,C++,-,52,0,0,0,0,0,0,0,0,10168,-,-,2488,0.00
Alexiski,0,0.00,0.00,3,C++,-,41,0,0,0,0,0,0,0,0,17288,-,-,2572,0.00
Aliaksei,0,0.00,0.00,70,C++,-,59,0,0,0,0,0,2,8,0,16240,-,-,2728,0.00
AlohaAloha,0,0.00,0.00,6,C++,-,46,0,0,0,0,0,2,0,0,8720,-,-,2600,0.00
AlphaMiller,0,0.02,0.00,5,Python,2.7,20,8,0,0,0,0,2,0,0,1052,-,-,6716,0.00
Alramech,0,0.00,0.00,4,Python,2.7,34,8,0,0,0,0,7,8,0,1609,-,-,6828,0.00
Alwahsh,0,6.58,3.12,5,C++,-,40,0,0,0,0,0,0,153608,0,11792,-,-,2480,1.32
Ambling,0,0.10,0.00,8,Java,-,27,0,0,0,0,0,1,64,0,1089,-,-,25516,0.10
Amirnasr,0,0.00,0.00,46,C++,-,43,0,0,0,0,0,0,0,0,17968,-,-,2384,0.00
AmolBhave,0,0.00,0.00,2,Python,2.7,17,8,0,0,0,0,1,0,0,705,-,-,6532,0.00
