user_id,avg_memory,wall_clock,system_time,blanks,language,compiler_version,cloc,nbr_file_in,compiled,swap_main_memory,avg_RAM,exit_code,comments,nbr_file_out,nbr_page_faults,exe_size,max_RAM,user_time
11122976,-,-,-,9,C++,-,73,-,-,-,-,-,10,-,-,-,-,-
19891101,-,-,-,36,C++,-,164,-,-,-,-,-,3,-,-,-,-,-
1ed,-,-,-,27,Java,-,145,-,-,-,-,-,27,-,-,-,-,-
2rf,-,-,-,15,Java,-,118,-,-,-,-,-,4,-,-,-,-,-
317070,-,-,-,20,Python,-,75,-,-,-,-,-,8,-,-,-,-,-
8163264128,-,-,-,5,Java,-,50,-,-,-,-,-,0,-,-,-,-,-
9mat,-,-,-,28,C++,-,68,-,-,-,-,-,1,-,-,-,-,-
ACube,-,-,-,10,C++,-,74,-,-,-,-,-,2,-,-,-,-,-
AHdoc,-,-,-,9,C++,-,42,-,-,-,-,-,0,-,-,-,-,-
AKM,-,-,-,6,C++,-,64,-,-,-,-,-,0,-,-,-,-,-
AVictor,-,-,-,12,C++,-,64,-,-,-,-,-,1,-,-,-,-,-
AdGold,-,-,-,1,Python,-,18,-,-,-,-,-,8,-,-,-,-,-
Aerodonkey,-,-,-,3,Python,-,28,-,-,-,-,-,1,-,-,-,-,-
Agentchuck,-,-,-,18,C++,-,140,-,-,-,-,-,21,-,-,-,-,-
Ahmah2009,-,-,-,10,Java,-,31,-,-,-,-,-,13,-,-,-,-,-
AizukiKoh,-,-,-,3,C#,-,54,-,0,-,-,-15,0,-,-,3584,-,-
AlexanderLarin,-,-,-,13,C++,-,86,-,-,-,-,-,2,-,-,-,-,-
Ambling,-,-,-,14,Java,-,48,-,-,-,-,-,2,-,-,-,-,-
Amirnasr,-,-,-,81,C++,-,63,-,-,-,-,-,916,-,-,-,-,-
Amoo,-,-,-,8,C++,-,38,-,-,-,-,-,1,-,-,-,-,-
Ananya,-,-,-,9,C++,-,75,-,-,-,-,-,8,-,-,-,-,-
Anardael,-,-,-,11,C++,-,57,-,-,-,-,-,0,-,-,-,-,-
Anarivu,-,-,-,8,C++,-,77,-,-,-,-,-,34,-,-,-,-,-
AndyAder,-,-,-,10,C++,-,71,-,-,-,-,-,6,-,-,-,-,-
AngryBacon,-,-,-,7,C++,-,70,-,-,-,-,-,2,-,-,-,-,-
AnuarTB,-,-,-,7,C++,-,49,-,-,-,-,-,0,-,-,-,-,-
Arca,-,-,-,24,Java,-,88,-,-,-,-,-,1,-,-,-,-,-
Arcey,-,-,-,2,C++,-,0,-,-,-,-,-,11,-,-,-,-,-
Archikrator,-,-,-,13,Java,-,52,-,-,-,-,-,0,-,-,-,-,-
ArtDitel,-,-,-,10,C++,-,88,-,-,-,-,-,8,-,-,-,-,-
Arup,-,-,-,15,Java,-,40,-,-,-,-,-,1,-,-,-,-,-
Astein,-,-,-,9,C++,-,101,-,-,-,-,-,2,-,-,-,-,-
Astrae,-,-,-,37,Python,-,38,-,-,-,-,-,36,-,-,-,-,-
Auenwald,-,-,-,5,C++,-,55,-,-,-,-,-,4,-,-,-,-,-
AxiomOfChoice,-,-,-,6,C,-,60,-,-,-,-,-,0,-,-,-,-,-
Azat,-,-,-,8,Java,-,75,-,-,-,-,-,0,-,-,-,-,-
BMF,-,-,-,7,Java,-,56,-,-,-,-,-,1,-,-,-,-,-
BNieuwenhuizen,-,-,-,11,C++,-,76,-,-,-,-,-,2,-,-,-,-,-
Baster,-,-,-,29,C++,-,109,-,-,-,-,-,0,-,-,-,-,-
Belag,-,-,-,7,Java,-,152,-,-,-,-,-,0,-,-,-,-,-
BellyWhite,-,-,-,2,C++,-,57,-,-,-,-,-,0,-,-,-,-,-
Belonogov,-,-,-,20,C++,-,130,-,-,-,-,-,3,-,-,-,-,-
BenZ,-,-,-,8,C++,-,50,-,-,-,-,-,0,-,-,-,-,-
Bench,-,-,-,6,Java,-,93,-,-,-,-,-,0,-,-,-,-,-
BeniBela,-,-,-,17,C++,-,68,-,-,-,-,-,31,-,-,-,-,-
Benz3536,-,-,-,1,C++,-,49,-,-,-,-,-,2,-,-,-,-,-
Bewww,-,-,-,9,C++,-,128,-,-,-,-,-,7,-,-,-,-,-
Bobik,-,-,-,12,C++,-,82,-,-,-,-,-,2,-,-,-,-,-
Borisp,-,-,-,6,C++,-,122,-,-,-,-,-,5,-,-,-,-,-
Bradrin,-,-,-,8,Java,-,93,-,-,-,-,-,2,-,-,-,-,-
Brainfvck,-,-,-,7,C++,-,70,-,-,-,-,-,17,-,-,-,-,-
BryceSandlund,-,-,-,11,C++,-,62,-,-,-,-,-,0,-,-,-,-,-
Bugloon,-,-,-,8,Python,-,39,-,-,-,-,-,0,-,-,-,-,-
Burney,-,-,-,0,C++,-,78,-,-,-,-,-,4,-,-,-,-,-
Capp,-,-,-,6,Python,-,31,-,-,-,-,-,3,-,-,-,-,-
Carups,-,-,-,5,C++,-,104,-,-,-,-,-,3,-,-,-,-,-
CatalinT,-,-,-,72,C++,-,232,-,-,-,-,-,57,-,-,-,-,-
Cenadar,-,-,-,36,C++,-,178,-,-,-,-,-,4,-,-,-,-,-
Cerezo,-,-,-,23,Python,-,45,-,-,-,-,-,10,-,-,-,-,-
Cherish,-,-,-,4,C++,-,64,-,-,-,-,-,16,-,-,-,-,-
ChevalierMalFet,-,-,-,17,Python,-,47,-,-,-,-,-,3,-,-,-,-,-
Chewbacca,-,-,-,7,Python,-,21,-,-,-,-,-,3,-,-,-,-,-
Chitly,-,-,-,3,C++,-,118,-,-,-,-,-,2,-,-,-,-,-
Clairvoy4nt,-,-,-,21,C++,-,132,-,-,-,-,-,15,-,-,-,-,-
Clouds,-,-,-,4,Python,-,29,-,-,-,-,-,1,-,-,-,-,-
CodeAce,-,-,-,20,C++,-,50,-,-,-,-,-,0,-,-,-,-,-
ComputerDruid,-,-,-,5,Python,-,47,-,-,-,-,-,4,-,-,-,-,-
Crassirostris,0,1.09,0.07,7,C#,-,72,0,0,0,0,0,0,8,0,5120,285032,1.02
Cricycle,-,-,-,21,Java,-,119,-,-,-,-,-,5,-,-,-,-,-
Curs0r,-,-,-,10,C++,-,97,-,-,-,-,-,7,-,-,-,-,-
CuteCube,-,-,-,20,Python,-,29,-,-,-,-,-,4,-,-,-,-,-
DVH312,-,-,-,6,C++,-,43,-,-,-,-,-,0,-,-,-,-,-
DXY,-,-,-,8,C++,-,73,-,-,-,-,-,33,-,-,-,-,-
DaniJVaz,-,-,-,18,C++,-,67,-,-,-,-,-,3,-,-,-,-,-
DanilC,-,-,-,13,C++,-,114,-,-,-,-,-,0,-,-,-,-,-
Danlark,-,-,-,11,Python,-,41,-,-,-,-,-,0,-,-,-,-,-
DarinTay,-,-,-,16,C++,-,97,-,-,-,-,-,4,-,-,-,-,-
Darsein,-,-,-,12,C++,-,78,-,-,-,-,-,1,-,-,-,-,-
Delfad0r,-,-,-,7,C++,-,47,-,-,-,-,-,2,-,-,-,-,-
DenXX,-,-,-,8,Java,-,58,-,-,-,-,-,1,-,-,-,-,-
Dener,-,-,-,14,C++,-,90,-,-,-,-,-,0,-,-,-,-,-
Diego1149,-,-,-,7,C++,-,115,-,-,-,-,-,7,-,-,-,-,-
DiegoCR,-,-,-,18,C++,-,53,-,-,-,-,-,0,-,-,-,-,-
Diusrex,-,-,-,33,C++,-,110,-,-,-,-,-,21,-,-,-,-,-
Dovgaluk,-,-,-,3,C++,-,82,-,-,-,-,-,2,-,-,-,-,-
Dpsipher,-,-,-,8,C++,-,84,-,-,-,-,-,3,-,-,-,-,-
DrBubbles,-,-,-,34,C++,-,55,-,-,-,-,-,3,-,-,-,-,-
DriukAlex,-,-,-,5,C++,-,111,-,-,-,-,-,0,-,-,-,-,-
Dstbstr,-,-,-,18,Java,-,101,-,-,-,-,-,1,-,-,-,-,-
EMarci,-,-,-,23,C++,-,74,-,-,-,-,-,0,-,-,-,-,-
Edvard,-,-,-,29,C++,-,125,-,-,-,-,-,4,-,-,-,-,-
EgorKulikov,-,-,-,30,Java,-,286,-,-,-,-,-,5,-,-,-,-,-
Enchom,-,-,-,24,C++,-,112,-,-,-,-,-,1,-,-,-,-,-
EricStansifer,-,-,-,2,Python,-,0,-,-,-,-,-,26,-,-,-,-,-
EvgeniSergeev,-,-,-,10,Python,-,28,-,-,-,-,-,0,-,-,-,-,-
FIIAurelian,-,-,-,6,C++,-,96,-,-,-,-,-,0,-,-,-,-,-
Farsid,-,-,-,14,C++,-,110,-,-,-,-,-,25,-,-,-,-,-
Fata1ist,-,-,-,26,C++,-,98,-,-,-,-,-,4,-,-,-,-,-
