user_id,blanks,comments,language,cloc
lab104yifan,5,0,C++,83
doublehh,3,10,C++,70
candybonn,31,2,Java,181
Ixanezis,13,0,C++,38
Hjolnai,3,4,C++,83
kojingharang,8,2,C++,80
coderbd,31,2,C++,193
dalex,77,7,Java,570
Mochavic,0,0,C++,97
delps,44,0,C#,150
johnLate,25,0,C++,138
tanriol,16,18,Python,97
Tomik,8,3,Java,54
OliverHallam,31,11,C#,130
Swrrt,19,2,C++,140
Martinarjovsky,15,0,C++,145
pipikaqiu,7,1,Java,118
manvmanv,6,0,C++,132
Soso,0,0,C++,44
PaLy,1,0,Python,6
TimeString,31,9,C++,177
Sokolov,6,0,C++,89
lookingfor,4,2,Python,54
osmanorhan,7,5,C++,74
WJMZBMR,6,0,C++,92
AK93,8,0,C++,68
alexwice,13,6,Python,108
Vaness,20,40,C++,117
octavian1001,12,2,Java,66
mosa1991,3,2,C++,97
Carber,6,0,C++,57
yuhang,4,2,C++,97
lzhexp,1,1,C,58
Salls,15,0,C++,63
Algiz,11,8,C++,107
jdillet,15,0,Java,72
thewildnath,14,2,C++,69
kicker,14,1,Java,87
OmerDoron,17,1,Java,61
IlodEnarp,2,21,C#,2
JKqq,23,11,Java,127
jamu,36,1,Java,155
gawarkiewicz,5,3,C++,131
Palmtenor,15,0,C++,143
fruwajacybyk,20,0,C++,115
Ginzaner,28,4,C++,118
kevinptt,3,6,C++,81
ssulbbang,21,0,C++,126
neiht,16,1,C++,63
vladklyachin,8,4,C++,106
ashashwat,10,14,C++,68
a1ex,17,14,C,93
sankalpbihani,4,0,C++,50
koji,18,35,Java,83
mksn,7,0,C++,132
aknow,26,7,C++,128
Piano,4,0,C++,37
lfdorelli,9,0,C++,54
WHHeV,9,8,C++,103
Sunchiro,0,0,C++,74
vincentuse,13,0,C++,134
dooglius,4,3,Java,160
Neverous,9,4,C++,46
sinidf,12,0,C++,206
liangzhenduo,0,3,C++,135
CodesInChaos,9,0,C#,68
dudkamaster,9,0,C++,105
khchan123,7,5,C++,78
FrostA,2,0,Java,65
BigWaterMan,0,72,C++,0
xyz111,5,0,C++,66
RLM,5,1,C++,47
tracyhenry,26,8,C++,153
nbahp125,10,21,Python,91
tnf,5,0,Java,60
kuno4n,12,1,C++,90
sygi,20,5,Java,185
niti94,0,3,C++,149
swiper,5,5,Python,81
Giddy,2,0,C++,84
Dagon,12,4,C++,94
Kouprin,6,0,C++,63
hereicomewf,16,7,C++,157
bohuss,28,4,Java,143
Williard,1,2,Java,131
codeeply,16,1,C++,150
Hogan,16,0,C++,74
freevoid,2,56,Python,5
haruki57,8,28,Java,93
stanislav,6,0,Python,41
Neroysq,4,0,C++,52
gregorinio,14,12,C++,185
WarriorWithin,12,4,C++,65
jbaramidze,16,3,C++,81
geohot,9,1,Python,24
shimomire,36,72,C++,270
Ramtararam,23,1,C++,142
triveni692,6,12,C++,60
PNG,24,1,Java,133
Slimper,8,2,C++,68
kostka,5,1,C++,60
SaveVMK,4,0,Java,47
helena,6,6,Python,58
moose66,20,1,C++,120
harungunaydin1,5,0,C++,77
zuko3d,21,3,C++,143
domingos86,15,1,C++,67
SAS,2,0,C++,52
Doro,10,21,C++,171
disneyp,0,11,C++,119
makz,4,0,Python,39
willothewisp,21,0,Python,63
capythm,0,2,C++,46
QuentinB,42,17,Python,130
FancyCoder,4,0,C++,89
isea,22,12,C++,122
ivanilos,13,0,C,72
DarkZero,8,4,C++,85
shadoww,6,0,C++,80
harrenhall,27,1,Python,93
b821213,5,0,C++,50
billynyh,23,6,C++,146
