user_id,avg_memory,wall_clock,system_time,blanks,language,compiler_version,cloc,nbr_file_in,compiled,swap_main_memory,avg_RAM,exit_code,comments,nbr_file_out,nbr_page_faults,exe_size,max_RAM,user_time
00500005,-,-,-,8,Python,-,58,-,-,-,-,-,11,-,-,-,-,-
0b00101010,0,1.06,0.09,7,Java,-,48,0,0,0,0,0,0,72,0,1893,80404,0.98
0x42,0,0.77,0.05,37,Java,-,94,0,0,0,0,0,2,72,0,3172,37160,0.72
10561066,-,-,-,7,Python,-,44,-,-,-,-,-,13,-,-,-,-,-
112atn323,0,0.18,0.06,6,Java,-,60,0,0,0,0,1,0,64,0,2295,21404,0.12
178855371157,-,-,-,9,Python,-,48,-,-,-,-,-,0,-,-,-,-,-
1ed,0,0.18,0.04,19,Java,-,91,0,0,0,0,1,7,64,0,2825,21376,0.10
200,-,-,-,8,Python,-,60,-,-,-,-,-,0,-,-,-,-,-
24HourPhysicist,0,0.00,0.00,22,C,-,85,0,0,0,0,127,9,0,0,9632,1436,0.00
2wsx2wsx2wsx,-,-,-,2,C++,-,53,-,-,-,-,-,0,-,-,-,-,-
317070,-,-,-,7,Python,-,48,-,-,-,-,-,10,-,-,-,-,-
357,-,-,-,4,C++,-,37,-,-,-,-,-,0,-,-,-,-,-
37ae912,-,-,-,10,C++,-,58,-,-,-,-,-,5,-,-,-,-,-
3bdelra7man,-,-,-,3,C++,-,61,-,-,-,-,-,0,-,-,-,-,-
3of7,-,-,-,3,C++,-,75,-,-,-,-,-,13,-,-,-,-,-
40R15T3,0,0.09,0.04,5,Java,-,68,0,0,0,0,1,3,64,0,2694,21420,0.05
4ameleon,0,0.05,0.00,10,C#,-,49,0,0,0,0,0,0,0,0,4096,17968,0.04
4rias,-,-,-,12,C++,-,40,-,-,-,-,-,3,-,-,-,-,-
551100kk,-,-,-,0,C++,-,51,-,-,-,-,-,0,-,-,-,-,-
8163264128,0,0.00,0.00,3,C,-,42,0,0,0,0,127,0,0,0,7720,1436,0.00
88844452999,0,0.20,0.07,19,Java,-,94,0,0,0,0,1,2,64,0,3033,21444,0.10
ACMonster,-,-,-,5,C++,-,97,-,-,-,-,-,1,-,-,-,-,-
AEtheReal,-,-,-,7,C++,-,50,-,-,-,-,-,0,-,-,-,-,-
AK93,-,-,-,7,C++,-,105,-,-,-,-,-,0,-,-,-,-,-
AMV,-,-,-,22,Python,-,59,-,-,-,-,-,2,-,-,-,-,-
ARechitsky,0,0.09,0.06,3,Java,-,49,0,0,0,0,1,4,64,0,1485,21560,0.06
AVictor,-,-,-,6,C++,-,49,-,-,-,-,-,18,-,-,-,-,-
Aad,-,-,-,7,Python,-,43,-,-,-,-,-,0,-,-,-,-,-
AdamJB,-,-,-,11,Python,-,51,-,-,-,-,-,7,-,-,-,-,-
Agentchuck,-,-,-,14,C++,-,102,-,-,-,-,-,15,-,-,-,-,-
AhmadMamdouh,0,0.10,0.01,11,Java,-,105,0,0,0,0,1,3,64,0,2206,21404,0.06
Ahmadburghol,-,-,-,3,C++,-,59,-,-,-,-,-,0,-,-,-,-,-
AhmedFathyAly,0,0.35,0.04,24,Java,-,88,0,0,0,0,1,15,64,0,2611,21420,0.15
Aironefly,-,-,-,2,C++,-,50,-,-,-,-,-,4,-,-,-,-,-
Ajlohr,0,0.07,0.01,5,Java,-,62,0,0,0,0,1,13,64,0,2083,21428,0.05
Aksenov239,0,0.22,0.06,13,Java,-,78,0,0,0,0,0,0,64,0,2680,21304,0.15
Alamin,-,-,-,14,C++,-,78,-,-,-,-,-,9,-,-,-,-,-
AlanC,-,-,-,10,C++,-,36,-,-,-,-,-,2,-,-,-,-,-
AleksovskiStefan,0,0.14,0.05,24,Java,-,86,0,0,0,0,0,1,64,0,2699,21796,0.08
AlexAlvarez,-,-,-,4,C++,-,50,-,-,-,-,-,0,-,-,-,-,-
