user_id,avg_memory,wall_clock,system_time,blanks,language,compiler_version,cloc,nbr_file_in,compiled,swap_main_memory,avg_RAM,exit_code,comments,nbr_file_out,nbr_page_faults,exe_size,max_RAM,user_time
00500005,0,0.00,0.00,4,Python,2.7,25,0,0,0,0,2,3,0,0,-,6208,0.00
0b00101010,0,0.12,0.00,2,java,-,30,0,0,0,0,0,0,72,0,-,25692,0.11
0x42,0,0.17,0.00,19,java,-,48,0,0,0,0,0,0,72,0,-,52416,0.16
10561066,0,0.00,0.00,7,Python,3.5,22,0,0,0,0,2,7,0,0,-,7224,0.00
112atn323,0,0.04,0.00,4,java,-,43,0,0,0,0,1,0,64,0,-,21248,0.04
116,-,-,-,2,java,-,11,-,0,-,-,-1,13,-,-,-,-,-
178855371157,0,1.58,0.00,6,Python,2.7,33,0,0,0,0,0,0,0,0,-,38308,1.57
1ed,0,0.06,0.01,16,java,-,76,0,0,0,0,1,7,64,0,-,21228,0.03
200,0,0.00,0.00,4,Python,2.7,41,0,0,0,0,2,3,0,0,-,6180,0.00
24HourPhysicist,0,0.00,0.00,14,C,-,44,0,0,0,0,127,8,0,0,7568,1416,0.00
2wsx2wsx2wsx,0,0.00,0.00,1,C++,-,29,0,0,0,0,0,0,0,0,13224,2484,0.00
317070,0,0.00,0.00,5,Python,2.7,30,0,0,0,0,2,12,0,0,-,6232,0.00
37ae912,0,0.00,0.00,10,C++,-,26,0,0,0,0,0,0,0,0,8624,2720,0.00
3bdelra7man,0,2.05,0.22,1,C++,-,26,0,0,0,0,0,0,202728,0,9792,2600,1.82
3of7,-,-,-,1,C++,-,41,-,0,-,-,-15,0,-,-,18152,-,-
40R15T3,0,0.05,0.01,4,java,-,51,0,0,0,0,1,0,64,0,-,21104,0.03
4ameleon,0,0.02,0.00,6,C#,-,37,0,0,0,0,0,0,0,0,-,10488,0.02
4rias,0,0.00,0.00,5,C++,-,24,0,0,0,0,0,2,0,0,11008,2532,0.00
551100kk,0,0.00,0.00,0,C++,-,24,0,0,0,0,0,0,0,0,11712,2244,0.00
8163264128,-,-,-,1,C,-,24,-,1,-,-,-1,0,-,-,-,-,-
88844452999,0,0.04,0.00,16,java,-,53,0,0,0,0,1,2,64,0,-,21096,0.04
9charles,0,0.00,0.00,1,C++,-,42,0,0,0,0,0,0,0,0,8368,2608,0.00
9mat,0,0.00,0.00,5,C++,-,20,0,0,0,0,0,0,0,0,10240,2684,0.00
ACMaster,0,0.00,0.00,2,C,-,36,0,0,0,0,127,3,0,0,7280,1396,0.00
ACMonster,-,-,-,5,C++,-,61,-,0,-,-,-15,1,-,-,9864,-,-
