user_id,avg_memory,wall_clock,system_time,blanks,language,compiler_version,cloc,nbr_file_in,compiled,swap_main_memory,avg_RAM,exit_code,comments,nbr_file_out,nbr_page_faults,exe_size,max_RAM,user_time
0210804,0,0.00,0.00,6,C++,-,40,0,0,0,0,0,0,0,0,10864,2592,0.00
0xb0c5,0,0.00,0.00,1,Python,2.7,15,0,0,0,0,0,0,0,0,-,6372,0.00
0xrgb,-,-,-,7,C++,-,23,-,1,-,-,-1,0,-,-,-,-,-
131131yhx,0,0.00,0.00,4,C++,-,35,0,0,0,0,0,0,0,0,11144,2532,0.00
1403mashaonan,0,4.01,3.16,8,C++,-,68,0,0,0,0,0,3,129072,0,13976,2572,0.83
144p,0,0.13,0.01,11,Java,-,20,0,0,0,0,0,0,64,0,-,57584,0.10
178855371157,0,0.01,0.00,4,Python,2.7,12,0,0,0,0,0,0,0,0,-,8608,0.00
19891101,0,0.00,0.00,13,C++,-,66,0,0,0,0,0,0,0,0,10184,2640,0.00
1NCID3R,0,0.00,0.00,4,C++,-,25,0,0,0,0,0,0,0,0,24992,2760,0.00
2011aad,0,0.00,0.00,5,C++,-,23,0,0,0,0,0,0,0,0,14200,2612,0.00
2jjy,0,0.00,0.00,1,C++,-,39,0,0,0,0,0,0,0,0,12752,2444,0.00
2oo7,0,0.04,0.00,16,Java,-,100,0,0,0,0,1,6,64,0,-,21312,0.03
2rf,-,-,-,2,Python,2.7,9,-,0,-,-,1,0,-,-,-,-,-
4yn,0,0.00,0.00,2,C++,-,39,0,0,0,0,0,0,0,0,31752,2500,0.00
6aJIaJIae4HuK,-,-,-,5,C++,-,52,-,1,-,-,-1,0,-,-,-,-,-
7HM,0,0.13,0.00,7,Java,-,29,0,0,0,0,0,5,112,0,-,31252,0.11
7pablof,0,0.01,0.00,0,Python,3.5,17,0,1,0,0,2,1,0,0,-,7216,0.00
8163264128,0,0.17,0.02,1,Java,-,16,0,0,0,0,0,0,64,0,-,61288,0.16
A13xand3r,0,0.00,0.00,12,Python,3.5,31,0,1,0,0,2,0,0,0,-,7264,0.00
ABANDIYA1995,0,0.04,0.00,2,Java,-,39,0,0,0,0,1,12,64,0,-,21348,0.04
ACErupt,0,0.00,0.00,2,C++,-,19,0,0,0,0,0,1,0,0,13576,2528,0.00
ACMonster,0,0.00,0.00,5,C++,-,65,0,0,0,0,0,1,0,0,13712,2584,0.00
ACalvin,0,0.00,0.00,0,C++,-,36,0,0,0,0,0,0,0,0,8056,2192,0.00
AISarkin,0,0.00,0.00,5,C++,-,52,0,0,0,0,0,0,0,0,26200,2540,0.00
AKim,0,0.00,0.00,11,C++,-,87,0,0,0,0,0,1,0,0,25128,2604,0.00
AMartin,0,0.00,0.00,3,C++,-,31,0,0,0,0,0,0,0,0,13456,2516,0.00
AboShady,0,0.00,0.00,2,C++,-,29,0,0,0,0,0,0,0,0,32544,2596,0.00
Action,-,-,-,9,C#,-,87,-,0,-,-,1,0,-,-,-,-,-
AdGold,0,0.01,0.00,8,Python,2.7,20,0,0,0,0,0,8,0,0,-,6576,0.00
Aerodonkey,0,1.79,0.00,3,Python,2.7,16,0,0,0,0,0,1,0,0,-,6852,1.78
Agham,-,-,-,1,Python,2.7,13,-,0,-,-,1,0,-,-,-,-,-
Agu1729,0,0.00,0.00,2,C++,-,34,0,1,0,0,127,0,0,0,-,1436,0.00
Ahbong,-,-,-,4,Python,2.7,10,-,0,-,-,1,1,-,-,-,-,-
AhmadMamdouh,0,0.12,0.01,9,Java,-,64,0,0,0,0,0,1,64,0,-,26352,0.10
AhmedFathyAly,0,0.04,0.00,17,Java,-,79,0,0,0,0,1,6,64,0,-,21628,0.04
Ajlohr,0,0.05,0.00,4,Java,-,24,0,0,0,0,1,0,64,0,-,21600,0.03
Akakii,0,0.00,0.00,3,C++,-,32,0,0,0,0,0,0,0,0,10104,2500,0.00
Akigeor,0,0.00,0.00,1,C++,-,28,0,0,0,0,0,0,0,0,13040,2548,0.00
