user_id,blanks,coments,language,cloc
edemo,16,6,Python,179
BNieuwenhuizen,9,3,C++,53
yarrr,24,2,java,88
Sharph,24,2,Python,81
Balajiganapathi,18,5,C++,126
JohnSmith,24,2,C++,88
tokoharu,16,7,C++,71
natsugiri,29,22,Python,162
AngryBacon,1,4,C++,60
hpmv,1,4,Python,60
Jonasz,5,8,Python,101
demidenko,24,2,C++,87
wook,7,17,Python,360
strapahuulius,25,13,C++,102
romanandreev,12,0,C++,113
netkuba,33,47,C++,181
devjoe,48,25,Python,318
tmt514,18,5,C++,126
krijgertje,4,0,C++,46
ogiekako,12,0,java,116
maciejk,18,5,C++,134
squahtx,2,0,C++,43
STEP5,19,6,C++,153
SeeBees,11,3,java,68
Soultaker,22,0,Python,92
fiver,13,1,C#,91
Binnie,28,16,Python,114
Sfairat,14,0,C++,113
Miceren,32,22,C++,166
otacon,13,1,Python,91
ashmelev,1,2,C++,29
YOBA,7,3,Python,66
vedg,9,0,C++,77
TankEngineer,25,22,C++,189
jchen314,12,0,java,99
olalia,30,5,Python,273
csegura,32,22,C++,166
royf,11,3,Python,48
l521530,2,0,C++,43
dreamoon,60,25,C++,193
mikhailOK,14,11,java,73
hamadu,4,0,java,128
barryd,3,0,Python,37
xiaowuc1,23,2,java,91
abryant,60,25,Python,193
vlada,28,0,Python,123
tkociumaka,23,2,C++,91
Tenyoku,17,0,C++,52
chEEtah,12,0,C++,116
doudouille,29,1,C++,276
Xhark,16,0,C++,178
nirhershko,29,1,Python,282
pieguy,11,3,C++,68
MauricioC,15,3,C++,101
sdya,7,17,C++,360
gojira,10,0,C++,74
Maryann,35,2,C++,141
Lunarmony,7,0,java,71
cgy4ever,33,63,Python,165
bmerry,7,0,C++,71
davidv,8,3,C++,53
Snuke,4,0,C++,46
paulliu,18,5,java,134
CatalinT,10,0,C++,74
levlam,12,0,C++,113
Huziwara,9,0,C++,77
SnapDragon,22,0,C++,92
kyuridenamida,25,13,C++,102
surwdkgo,8,0,C++,83
vot,25,22,java,189
Nicolas16,11,0,C++,113
Griffon,19,0,java,92
sohelH,30,5,C++,273
GGed,15,11,C++,73
indifferent,31,40,C#,203
Tellmarch,11,0,java,113
woodpecker112358,28,0,C++,123
Fcdkbear,16,9,C++,71
KennyHORROR,4,0,C++,128
jkud,56,4,Python,218
jxwuyi,31,40,C++,203
mugurelionut,24,2,C++,87
SmartSchizo,17,0,C++,52
kennyChiu,47,25,C++,309
d6d0d1a8,19,0,java,92
dolphinigle,18,3,Python,80
Alexander86,12,0,java,99
ryuuga,22,5,Python,146
meret,9,0,Python,63
pivizz,19,6,C#,153
