user_id,avg_memory,wall_clock,system_time,blanks,language,compiler_version,cloc,nbr_file_in,compiled,swap_main_memory,avg_RAM,exit_code,comments,nbr_file_out,nbr_page_faults,exe_size,max_RAM,user_time
0b00101010,0,0.15,0.02,10,Java,-,137,0,0,0,0,0,0,72,0,3315,30664,0.13
37ae912,-,-,-,48,C++,-,145,-,-,-,-,-,12,-,-,-,-,-
4ameleon,0,0.07,0.00,26,C#,-,114,0,0,0,0,0,0,0,0,4608,19756,0.03
9mat,-,-,-,33,C++,-,99,-,-,-,-,-,11,-,-,-,-,-
ACing,-,-,-,8,C++,-,86,-,-,-,-,-,4,-,-,-,-,-
AHdoc,-,-,-,6,C++,-,118,-,-,-,-,-,0,-,-,-,-,-
AIgen,-,-,-,20,C++,-,123,-,-,-,-,-,8,-,-,-,-,-
ARechitsky,0,0.05,0.00,21,Java,-,232,0,0,0,0,1,5,64,0,1497,21628,0.03
AidaoChen,-,-,-,0,C++,-,106,-,-,-,-,-,8,-,-,-,-,-
Akigeor,-,-,-,0,C++,-,92,-,-,-,-,-,0,-,-,-,-,-
Aleksander,-,-,-,30,C++,-,178,-,-,-,-,-,2,-,-,-,-,-
Alexander86,-,-,-,11,C++,-,163,-,-,-,-,-,0,-,-,-,-,-
AlexanderLarin,-,-,-,18,C++,-,149,-,-,-,-,-,0,-,-,-,-,-
AlphardWang,-,-,-,6,C++,-,138,-,-,-,-,-,1,-,-,-,-,-
Amzaz,0,0.04,0.00,9,Python,2.7,68,0,0,0,0,0,27,0,0,3031,6788,0.01
Anikushin,0,0.00,0.00,7,Python,2.7,86,0,0,0,0,2,9,0,0,2228,6148,0.00
AnnKats93,-,-,-,24,C++,-,145,-,-,-,-,-,0,-,-,-,-,-
Artyom,0,0.23,0.00,1,Java,-,91,0,0,0,0,0,0,64,0,3727,42000,0.22
Aurel,0,0.01,0.00,19,Python,2.7,86,0,0,0,0,0,5,0,0,2053,7216,0.01
Berezin,0,0.17,0.01,6,Java,-,175,0,0,0,0,0,3,72,0,3670,42708,0.18
Beriand,-,-,-,40,C++,-,148,-,-,-,-,-,0,-,-,-,-,-
