user_id,avg_memory,wall_clock,system_time,blanks,language,compiler_version,cloc,nbr_file_in,compiled,swap_main_memory,avg_RAM,exit_code,comments,nbr_file_out,nbr_page_faults,exe_size,compile_error_msg,run_error_msg,max_RAM,user_time
like680623,-,-,-,158,C++,-,98,-,0,-,-,-1,8,-,-,16240,-,-,-,-
lilymona,0,0.06,0.01,48,C++,-,40,24,0,0,0,0,0,0,0,9400,-,-,7196,0.04
lintaor1,0,0.07,0.00,107,C++,-,71,24,0,0,0,0,4,0,0,8872,-,-,3720,0.06
lionshi,-,-,-,11,Python,2.7,28,-,0,-,-,1,2,-,-,1205,-,File or Dir not found,-,-
lisang,-,-,-,106,C++,-,73,-,0,-,-,-1,0,-,-,10744,-,-,-,-
liymouse,-,-,-,64,C++,-,55,-,0,-,-,-1,0,-,-,9904,-,-,-,-
lkq1992yeah,-,-,-,93,C++,-,79,-,0,-,-,-1,4,-,-,9472,-,-,-,-
llaki,0,0.26,0.00,13,Java,-,74,0,0,0,0,0,3,80,0,2934,-,-,58516,0.25
logforjames,-,-,-,6,C++,-,51,-,0,-,-,-15,5,-,-,21664,-,Timeout,-,-
lolotp,-,-,-,45,C++,-,35,-,0,-,-,-1,0,-,-,10432,-,-,-,-
lomegor,0,1.14,0.00,4,Python,2.7,28,8,0,0,0,0,1,0,0,1248,-,-,39828,1.10
lookingfor,0,0.18,0.00,67,C++,-,59,56,0,0,0,0,0,0,0,25632,-,-,3396,0.18
lopek,0,0.05,0.00,10,C++,-,71,24,0,0,0,0,0,0,0,9816,-,-,7496,0.05
lordstefano,0,0.34,0.00,7,C++,-,60,56,0,0,0,0,0,0,0,26848,-,-,11780,0.33
loserup,0,0.00,0.00,112,C++,-,74,24,0,0,0,0,4,0,0,9960,-,-,2524,0.00
lraszkiewicz,0,0.04,0.00,1,C++,-,44,16,0,0,0,0,0,0,0,7768,-,-,3384,0.03
lrcgf,-,-,-,17,C++,-,66,-,1,-,-,-1,2,-,-,-,No such file or directory,-,-,-
lucamoller,0,0.06,0.00,53,C++,-,43,24,0,0,0,0,0,0,0,9400,-,-,7296,0.06
lucasmaciel,0,0.23,0.00,7,C++,-,41,24,0,0,0,0,1,0,0,11160,-,-,4440,0.21
lucastdcj,-,-,-,8,C++,-,39,-,0,-,-,-1,1,-,-,7840,-,-,-,-
lukcman,0,0.28,0.04,10,Java,-,90,0,0,0,0,0,1,80,0,2172,-,-,155140,0.23
lurker,0,1.63,0.02,6,Python,2.7,25,8,0,0,0,0,1,0,0,842,-,-,71924,1.60
luszczyk,0,1.88,0.12,15,Python,2.7,29,8,0,0,0,0,2,0,0,1257,-,-,143360,1.75
luyi0619,0,0.00,0.00,71,C++,-,61,24,0,0,0,0,0,0,0,9888,-,-,2644,0.00
lvdo92,-,-,-,104,C++,-,88,-,0,-,-,-1,6,-,-,23480,-,-,-,-
lwq,-,-,-,39,C++,-,40,-,0,-,-,-1,0,-,-,7992,-,-,-,-
lxhgww,0,0.08,0.00,7,C++,-,49,24,0,0,0,0,0,0,0,9832,-,-,7596,0.08
lysine,0,0.21,0.00,6,C++,-,37,24,0,0,0,0,0,0,0,10584,-,-,7176,0.20
m439,0,1.16,0.03,24,Java,-,82,0,0,0,0,0,70,80,0,2765,-,-,76316,1.18
maciejk,0,0.21,0.00,10,C++,-,79,32,0,0,0,0,1,0,0,15424,-,-,7188,0.20
madxmad,-,-,-,10,C++,-,58,-,0,-,-,-1,0,-,-,18080,-,-,-,-
magrady,-,-,-,39,C++,-,34,-,0,-,-,-1,3,-,-,9296,-,-,-,-
