user_id,blanks,coments,language,cloc
TakanashiRikka,19,0,C++,117
BinaryShaman,7,0,java,71
yao11617,5,0,C++,51
hanhan0912,10,1,C++,46
hehaodele,7,0,C++,71
sLeviN,3,0,C++,55
Elias,7,2,java,66
K0stIa,3,6,C++,49
XSquare,9,0,C++,68
afaji321,8,1,C++,61
jiaqiyang,15,6,C++,180
whxwhx,12,0,C++,70
linguo,7,0,Python,74
lzx,4,0,C++,28
morojenoe,10,0,C++,68
Arti1990,2,6,C++,32
y3eadgbe,7,0,C++,55
TryAndSee,6,0,C++,89
devjoe,1,0,Python,42
Candela,6,0,C++,48
sanekspot,18,7,C++,103
sigma425,8,9,C++,73
Seter,2,0,Python,40
carlop,4,0,C++,41
graf,4,0,Python,46
auguste,4,0,C++,53
artberryx,18,7,C++,103
quailty,6,0,C++,69
Leonspirit,12,0,C++,70
matthew99,14,6,C++,162
jsannemo,7,0,C++,66
Babouche,3,6,C++,52
nadoo,14,6,C++,162
Capp,21,4,Python,93
AndreySergunin,5,2,C++,65
a3nm,5,0,C++,100
ojos,3,0,Python,46
Nikitosh,3,6,C++,49
ZaN,18,0,C++,120
cchli,3,6,java,52
yxfish13,3,0,C++,35
VisualPaul,5,0,C++,34
GlebsHP,13,0,C++,53
Ericcwang,5,0,C++,51
meowmeow,0,0,Python,46
yaoshimax,6,0,C++,56
Deneb,18,1,C++,105
olpetOdessaONU,0,0,C++,73
ChienYu,18,15,Python,191
natufunu,4,0,C++,53
Shapo,8,0,C++,47
petuhovskiy,15,6,java,180
smapson,12,0,Python,65
grebnesieh,14,1,Python,82
dotato,12,0,C++,69
RiversDeng,2,6,C++,32
vdeksel,3,2,C++,70
Klockan,1,0,C++,55
skdudn321,18,0,C++,120
TerrencePark,19,0,java,117
stevenhao,9,2,Python,87
pwecar,11,0,C++,71
fanKarpaty,24,7,java,97
zscoder,7,0,C++,55
PhilipsT,7,2,C++,35
liuq901,5,2,C++,65
anari,0,0,Python,50
freak93,6,1,Python,51
rabot,6,0,java,56
RLM,27,7,C++,115
pswgoo,3,18,C++,61
sjhu,7,0,C++,63
zec23456,7,2,C++,66
YvesChan,20,6,C++,100
nxy0520,5,0,C++,100
Monads,9,0,C++,68
AdGold,6,0,Python,42
lyc2147483647,6,0,C++,42
langdamao,4,0,C++,44
WYOCMWYH,8,0,C++,73
Tinsane,12,0,C++,69
LeoMao,19,6,C++,172
kyc,6,0,java,42
mystic,8,1,C#,89
IRSisyphus,4,0,C++,44
Gnivom,19,6,C++,172
Nore,6,0,Python,67
evima,2,0,C++,33
patcho168,10,1,Python,73
15joeybloom,3,0,C++,37
akhtyamovpavel,4,0,C++,42
OEtzi007,1,1,C++,56
Aksenov239,10,0,java,68
mingqifs,0,0,Python,24
zylber,7,2,C++,35
azaky,17,2,C++,107
alpha3,15,1,Python,81
calvinleenyc,0,5,C++,44
Tangjz,1,0,C++,48
lmzqwer2,7,2,C++,61
raoxj,2,0,C++,47
axp,18,1,C++,105
liniku,27,7,C++,115
majk,24,7,C++,97
chokudai,17,8,C#,55
yancouto,4,0,C++,53
bsnipers,7,0,C++,49
