user_id,blanks,language,compiler_version,cloc,compiled,comments
Smithers,10,C++,-,79,127,0
hex539,6,C++,-,51,127,0
isaacchao,0.00,0.55,24,0,Python,2.7,102,0,0,0,0,0,8,0,0,10368,0.54
akinori,0.00,0.00,28,0,C#,-,135,0,2,0,0,2,5,0,0,12108,0.00
knucle,-,-,52,-,java,-,247,-,1,-,-,1,17,-,-,-,-
sixshine,11,C++,-,434,127,13
afix,8,C++,-,58,127,2
vitar,12,C++,-,72,127,0
ttm,6,C++,-,132,127,2
winger,-,-,18,-,java,-,147,-,0,-,-,0,1,-,-,-,-
hychen,10,C,-,112,127,0
goryinyich,11,C++,-,82,127,2
ChrisDz,-,-,33,-,java,-,164,-,1,-,-,1,7,-,-,-,-
yimamura,6,C++,-,144,127,0
natsugiri,15,C++,-,60,127,0
djsci,3,C,-,110,127,7
Zhengfan,9,C++,-,114,127,23
Tojot,0.00,8.80,19,0,Python,3.5,143,0,0,0,0,0,1,0,0,8732,8.79
alberist2,10,C++,-,167,127,7
sigmar,14,C++,-,186,127,4
SumuduF,25,C++,-,101,127,0
strapahuulius,0,C++,-,120,127,0
elizarov,-,-,26,-,java,-,287,-,1,-,-,1,15,-,-,-,-
Kraken,-,-,4,-,java,-,67,-,0,-,-,0,0,-,-,-,-
qbeuek,0.00,0.00,14,0,C#,-,208,0,2,0,0,2,1,0,0,12108,0.00
ThinkPadLover600,0.00,6.97,5,0,Python,2.7,61,0,0,0,0,0,0,0,0,8220,6.97
netkuba,20,C++,-,181,127,6
spnautilus,18,C++,-,79,127,2
adamantoise,46,C++,-,303,127,1
dzhioev,24,C++,-,266,127,0
pratyai,3,C++,-,78,127,3
krijgertje,10,C++,-,80,127,6
Queenslander,0.00,0.00,51,0,C#,-,192,0,2,0,0,2,48,0,0,12076,0.00
misof,0.00,0.00,1,0,Python,2.7,9,0,0,0,0,0,1,0,0,6392,0.00
Zimmux,-,-,16,-,java,-,99,-,0,-,-,0,5,-,-,-,-
phire,0.00,0.60,12,0,Python,2.7,51,0,0,0,0,0,19,0,0,6812,0.60
Soultaker,34,C++,-,244,127,20
jellies,10,C++,-,98,127,0
