user_id,blanks,coments,language,cloc
edemo,60,25,Python,193
BNieuwenhuizen,4,0,C++,46
yarrr,24,2,java,88
Sharph,7,0,C++,71
Balajiganapathi,25,13,C++,102
JohnSmith,17,0,C++,52
tokoharu,32,22,C++,166
natsugiri,18,5,C++,134
AngryBacon,9,0,C++,63
hpmv,22,0,Python,92
Jonasz,33,63,Python,165
demidenko,33,47,C++,181
wook,1,4,C++,60
strapahuulius,2,0,C++,43
romanandreev,18,5,C++,126
netkuba,15,3,C++,101
devjoe,7,17,Python,360
tmt514,25,13,C++,102
krijgertje,10,0,C++,74
ogiekako,18,5,java,134
maciejk,25,22,C++,189
squahtx,4,0,C++,46
STEP5,28,16,C++,114
SeeBees,23,2,java,91
fiver,31,40,C#,203
Binnie,3,0,Python,37
Sfairat,22,0,C++,92
Miceren,9,0,C++,77
otacon,7,3,Python,66
ashmelev,12,0,C++,113
YOBA,29,1,Python,282
vedg,9,3,C++,53
TankEngineer,15,11,C++,73
jchen314,7,0,java,71
Lunarmony,30,5,C++,273
csegura,9,0,C++,77
royf,28,0,Python,123
l521530,28,0,C++,123
dreamoon,19,6,C++,153
mikhailOK,12,0,java,99
hamadu,11,3,java,68
barryd,16,6,Python,179
xiaowuc1,12,0,java,116
abryant,4,0,java,128
vlada,48,25,Python,318
Lukasz16a,60,25,C++,193
tkociumaka,11,3,C++,68
Tenyoku,16,7,C++,71
chEEtah,23,2,C++,91
doudouille,14,0,C++,113
Xhark,7,17,C++,360
nirhershko,30,5,Python,273
pieguy,4,0,C++,128
MauricioC,31,40,C++,203
sdya,18,3,C++,80
gojira,12,0,C++,113
Maryann,13,1,C#,91
olalia,29,1,C++,276
cgy4ever,2,0,C++,43
bmerry,10,0,C++,74
davidv,24,2,C++,87
Snuke,16,0,C++,178
paulliu,25,22,java,189
CatalinT,16,9,C++,71
levlam,18,5,C++,126
Huziwara,8,3,C++,53
SnapDragon,22,5,C++,146
kyuridenamida,24,2,C++,87
surwdkgo,29,22,C++,162
vot,11,0,java,113
Nicolas16,12,0,C++,99
Griffon,19,0,java,92
sohelH,8,0,C++,83
GGed,19,0,C++,92
indifferent,19,6,C#,153
Tellmarch,14,11,java,73
woodpecker112358,47,25,C++,309
Fcdkbear,32,22,C++,166
KennyHORROR,24,2,C++,88
jkud,56,4,Python,218
jxwuyi,11,3,C++,48
mugurelionut,17,0,C++,52
SmartSchizo,1,2,C++,29
kennyChiu,35,2,C++,141
d6d0d1a8,13,1,C++,91
dolphinigle,24,2,Python,81
Alexander86,11,0,C++,113
ryuuga,5,8,Python,101
meret,12,0,C++,116
pivizz,1,4,C#,60
