user_id,avg_memory,wall_clock,system_time,blanks,language,compiler_version,cloc,nbr_file_in,compiled,swap_main_memory,avg_RAM,exit_code,comments,nbr_file_out,nbr_page_faults,exe_size,max_RAM,user_time
KENNYPARK,0,0.00,0.00,-,C++,-,-,0,1,0,0,127,-,0,0,-,1384,0.00
KKOrange,0,0.01,0.00,5,C++,-,34,0,0,0,0,0,0,0,0,9912,2592,0.00
Kanslulz,0,0.00,0.00,12,C++,-,49,0,1,0,0,127,1,0,0,-,1384,0.00
Karian,0,0.04,0.00,6,Java,-,41,0,0,0,0,1,7,64,0,-,21548,0.03
Kawagiri,0,0.33,0.00,6,C++,-,27,0,0,0,0,0,7,0,0,10224,2376,0.33
Kectavi,-,-,-,13,C++,-,59,-,1,-,-,-1,1,-,-,-,-,-
Kengood,0,0.01,0.00,20,C++,-,69,0,0,0,0,0,0,0,0,19872,2616,0.00
KenjiH,0,0.00,0.00,12,C++,-,58,0,0,0,0,0,0,0,0,10296,2468,0.00
KennyHORROR,0,0.00,0.00,5,C++,-,53,0,0,0,0,0,1,0,0,10336,2564,0.00
Keno,0,0.00,0.00,17,C++,-,41,0,0,0,0,0,10,0,0,23576,2480,0.00
Kenrick95,0,0.00,0.00,6,C++,-,38,0,0,0,0,0,25,0,0,8488,2760,0.00
Keyvan,0,0.00,0.00,14,C++,-,69,0,0,0,0,0,14,0,0,13280,2656,0.00
KhaotiK,0,0.00,0.00,5,Python,3.5,43,0,1,0,0,2,3,0,0,-,7212,0.00
Kingder,0,0.01,0.00,5,C++,-,31,0,0,0,0,0,0,0,0,10056,2620,0.00
Kirhog,0,0.05,0.01,12,Java,-,47,0,1,0,0,1,3,64,0,-,21564,0.03
Kiril,0,0.04,0.00,7,Java,-,67,0,0,0,0,1,4,64,0,-,21620,0.04
KirisameMarisa,0,0.00,0.00,3,C++,-,73,0,0,0,0,134,0,0,0,10384,2496,0.00
Klenes,0,0.01,0.00,4,C++,-,32,0,0,0,0,0,0,0,0,19896,2712,0.00
Klockan,0,0.00,0.00,6,C++,-,79,0,0,0,0,0,0,0,0,23840,2392,0.00
KomarovAndrey,0,0.00,0.00,2,Python,3.5,17,0,0,0,0,2,0,0,0,-,7224,0.00
Konrad127123,0,0.00,0.00,4,C,-,28,0,0,0,0,0,0,0,0,7880,2276,0.00
KorlaMarch,0,0.08,0.00,1,C,-,25,0,0,0,0,0,0,0,0,7560,2416,0.08
Kozim,0,0.01,0.00,7,C++,-,46,0,0,0,0,0,3,0,0,17168,2600,0.00
Kraken,0,0.04,0.00,1,Java,-,43,0,0,0,0,0,0,64,0,-,21336,0.04
Krazul,0,0.01,0.00,4,C++,-,26,0,0,0,0,0,0,0,0,17336,2488,0.00
Kskinner,0,0.03,0.00,6,C#,-,45,0,0,0,0,0,0,0,0,-,17780,0.02
Kuroba,0,0.00,0.00,14,C++,-,32,0,0,0,0,0,1,0,0,10304,2604,0.00
Kuros,0,0.00,0.00,10,C++,-,42,0,0,0,0,0,0,0,0,9904,2444,0.00
Kussy,0,0.00,0.00,5,C++,-,30,0,0,0,0,0,0,0,0,9664,2604,0.00
Kyousuke,0,0.01,0.00,10,C++,-,72,0,0,0,0,0,21,0,0,17664,2596,0.00
L1048596,0,0.00,0.00,5,C++,-,36,0,0,0,0,0,0,0,0,10712,2492,0.00
LLH,0,0.00,0.00,4,C++,-,33,0,0,0,0,0,14,0,0,7920,2368,0.00
LaRourke,0,0.01,0.00,1,C++,-,34,0,0,0,0,0,0,0,0,9776,2704,0.00
Laakeri,0,0.01,0.00,2,C++,-,31,0,0,0,0,0,0,0,0,11184,2620,0.00
Lau,0,0.00,0.00,2,Python,3.5,17,0,0,0,0,2,2,0,0,-,7180,0.00
Laurie,0,0.05,0.01,12,Java,-,64,0,0,0,0,1,2,64,0,-,21756,0.03
LawyerZhang,0,0.38,0.00,2,C++,-,31,0,0,0,0,0,0,0,0,17432,2520,0.38
Lay,0,0.01,0.00,10,C++,-,42,0,0,0,0,0,1,0,0,15696,2616,0.00
LayCurse,0,0.00,0.00,15,C++,-,42,0,0,0,0,0,1,0,0,15320,2644,0.00
LazyAnna,0,0.00,0.00,3,C++,-,34,0,0,0,0,0,1,0,0,9912,2592,0.00
LeBron,0,0.00,0.00,8,C++,-,55,0,0,0,0,134,7,0,0,10560,2692,0.00
LeeSin,0,0.00,0.00,2,C++,-,26,0,0,0,0,0,0,0,0,8384,2168,0.00
LeoMao,0,0.00,0.00,4,Python,3.5,16,0,0,0,0,2,1,0,0,-,7280,0.00
LeonardoXavier,0,0.00,0.00,2,C#,System.Numerics,0,0,0,0,0,2,28,0,0,-,12064,0.00
Leonid,0,0.00,0.00,5,C++,-,50,0,0,0,0,0,0,0,0,16144,2684,0.00
Lerence1201,0,0.00,0.00,6,C++,-,50,0,0,0,0,134,0,0,0,10464,2596,0.00
LevinLMKwong,0,0.57,0.03,0,C,-,26,0,0,0,0,0,0,153536,0,7872,2220,0.53
Lewin,0,0.04,0.00,11,Java,-,65,0,0,0,0,1,0,64,0,-,21460,0.04
Lexarx,0,0.01,0.00,5,C++,-,45,0,0,0,0,0,0,0,0,10008,2572,0.00
LiJiancheng,0,0.00,0.00,2,C++,-,43,0,0,0,0,0,0,0,0,9144,2500,0.00
LiXunhuan,0,0.00,0.00,1,C++,-,29,0,0,0,0,0,0,0,0,7856,2280,0.00
LiYanliang,0,0.01,0.00,3,C++,-,26,0,0,0,0,0,0,0,0,9960,2508,0.00
Lightmoon,0,0.00,0.00,6,C++,-,43,0,0,0,0,134,0,0,0,12048,2648,0.00
LilacLu,0,0.00,0.00,5,C++,-,38,0,0,0,0,0,0,0,0,8168,2216,0.00
LimitW,0,0.00,0.00,5,C++,-,45,0,0,0,0,0,0,0,0,9136,2512,0.00
Linxingyu,0,0.00,0.00,2,C++,-,32,0,0,0,0,0,2,0,0,8144,2232,0.00
LiuQuan,0,0.00,0.00,7,C++,-,28,0,0,0,0,0,0,0,0,9952,2384,0.00
Liunerd,0,0.00,0.00,3,C++,-,38,0,0,0,0,0,1,0,0,25176,2632,0.00
Ljxxx,0,0.00,0.00,7,C++,-,36,0,0,0,0,0,0,0,0,9528,2124,0.00
Loku,0,0.00,0.00,17,C++,-,109,0,0,0,0,0,7,0,0,33672,2484,0.00
Lonelly,-,-,-,3,C++,-,56,-,1,-,-,-1,2,-,-,-,-,-
