user_id,penalty,points,rank
...Johniel,1592,22,1362
..abhishek..,2698,22,1840
..math,5947,64,254
.ZuTa.,8666,34,1057
.m4tt,3806,22,2310
.msfm,2978,22,1975
0673nC,3278,22,2093
0x42,5190,34,984
0x636c7700,7994,64,376
1ed,4796,22,2655
1guangnian,3053,22,2011
260010,8777,36,906
29.agag,4627,22,2604
2rf,6523,100,38
357,1757,22,1449
3Doubloons,2773,22,1880
4ameleon,1420,22,1296
88844452999,4830,22,2664
ACSeed,3159,22,2052
ACube,9226,58,604
ADEpt,2178,22,1630
AHdoc,8114,58,576
AIgen,3904,22,2342
AJK,3173,22,2060
AK93,2198,22,1636
AKM,6778,64,302
AMM,1890,22,1504
APP,5986,22,2971
ASotelo,7638,36,815
Abeja,2900,22,1929
Abhinav2107,3933,22,2358
Abon,5344,22,2801
Accandme,4496,22,2558
Acev,1740,22,1443
Action,3404,22,2140
Adrian.Orzepowski,6601,58,545
AekdyCoin,7673,34,1030
Aerodonkey,1973,22,1537
Ahmed.Kamel,6025,34,1004
Ahmed.Salama,7143,64,329
Ailish,4643,22,2611
Akai,9038,64,459
Akathorn,3652,22,2240
Akigeor,1393,22,1283
Akim,7476,76,135
Aksenov239,8418,100,76
Al3kSaNdaR,1320,22,1251
AlTimin,2081,34,975
Alan,2766,22,1877
AlanC,8276,76,143
AleksejsPopovs,2469,22,1762
Alex.Baranau,8503,100,82
AlexLin,6558,64,291
AlexTolstov,5375,22,2813
AlexanderS,8952,64,453
Aliaksei,1635,22,1382
AliakseiCharnevich,9016,34,1067
Alkemir,5794,22,2927
Alligator,2126,22,1608
Alon,1350,22,1265
AlvinChow,2790,22,1887
Alys88,2904,22,1931
Ambling,4143,22,2445
Amtep,4072,64,191
Amtrix,3026,34,976
Anar,5038,22,2721
Anarivu,5957,22,2965
Anastasko,3720,22,2271
Andfive,4026,22,2399
Andrejs,4497,22,2560
AndresRCB,4197,22,2459
Andrew.Makar,8908,64,446
AndrewViedma,5358,22,2806
AndreySiunov,757,22,1145
AndyBloch,2565,22,1800
AngryBacon,6605,64,293
AnhDT,8278,34,1049
Anjupiter,4448,22,2538
AnnKats93,9290,64,475
Ant.dujun,9086,64,462
Anton.Hulikau,6438,36,763
Anton.Lunyov,5816,100,23
Anton92nd,1858,22,1486
AntonBerezin,3592,22,2220
Antoniuk,8246,64,394
Ants,8182,36,853
Anudeep2011,8620,36,890
Apofis,1603,22,1367
AppleCplus,10145,100,118
Aray,2192,22,1634
ArcadiaPerson,4930,36,708
Archimedean,8666,36,893
Arcturus,3798,36,691
Argaen,5931,22,2961
Ariza,3687,22,2260
Arseniy.,2633,22,1816
Arseny,7590,64,351
ArtHoly,7912,64,367
Arterm,9674,76,162
Artifere,3160,22,2053
Artix,5308,58,524
Arzaquel,3016,22,1997
Asafh,3411,22,2142
Astein,7767,52,620
Atlas,7878,64,365
Augustyn,4967,22,2703
Aule,8942,36,924
Auster,5924,64,253
AutomaticHourglass,3232,22,2080
Autonomous,3945,22,2362
Avi.Digmi,3387,22,2135
AvinFernando,5647,22,2888
Ayzen,3537,22,2194
Azizkhan,9216,58,603
Azrle,4516,22,2565
BMF,1655,22,1399
BNieuwenhuizen,6047,58,531
Baras,8735,64,430
Basha133,3435,22,2153
BatusaiX,4014,22,2392
Belag,1736,22,1438
Belonogov,1924,22,1515
BenZ,8270,36,861
Bene,7898,36,830
BeniBela,6357,64,277
BennyCarina,2760,22,1872
BenoitBlanchon,2284,22,1688
Benzema67,3826,22,2317
Berry,6680,64,296
BertLeung,3310,22,2107
Betlista,1439,22,1301
Bew,2651,22,1821
Bfahy,4195,22,2458
Bidhan,2082,22,1580
BinaryShaman,2961,22,1965
Binnie,8138,34,1043
Blabla.404,7766,34,1035
BlackHole,2037,22,1565
Blakman,1919,22,1512
Bleizig,4313,22,2491
BlueGene,6308,64,271
Boat,2576,22,1803
Bobik,6824,100,45
Bonnici,5193,22,2747
Boxer,2175,22,1627
Boyweb,5249,22,2765
BrOkEN,4939,22,2699
Bradrin,8156,64,387
Breakun,8513,100,83
Bremsstrahlung,7981,64,372
Brian,1386,22,1280
Brian.P,2333,22,1704
Brinkbot,7139,64,328
BrownBearSpaghetti,9312,64,477
BryceSandlund,1560,22,1350
BuaaBella,3582,22,2213
BudAlNik,8505,36,877
BudgieInWA,7669,46,666
BugKilla,5221,22,2755
Bugloon,6975,36,783
Bulsa,5774,36,733
Burlakov.Nick,7231,88,120
Burunduk1,7894,100,66
Buttink,4451,22,2542
C.sis,7410,64,337
CHAY,5863,22,2945
CS.Ferng,8634,64,423
CSGrandeur,4726,22,2635
Cactus,1178,22,1214
Caiych,9473,64,483
Cakra,2948,22,1958
Cancan,3413,22,2144
CanisLupus,4761,22,2648
Caoqinxiang,2557,64,184
CarpathianCoder,3564,22,2205
CatK,2544,22,1787
CatalinT,6168,64,265
ChCat,9556,64,487
ChRapO,4151,22,2447
Chaker,4393,36,702
ChamChi,3053,22,2011
Champ8644,5606,36,729
ChanJunWei,3457,22,2168
Charil,5273,22,2775
Charlene,8217,34,1046
Cherip,3897,22,2338
ChevalierMalFet,4780,42,669
Chewbacca,3338,22,2122
Chino,3700,22,2264
Chip.Whaley,6499,64,287
Chmel.Tolstiy,5495,100,19
Cho,7738,36,822
Chriky,8561,64,419
ChrisBeaumont,1346,22,1264
Chumblespuzz,5216,58,523
CinMon,5336,22,2799
Cinkz,7457,24,1106
Claudson,2423,22,1743
CleRIC,3481,22,2176
ClubberBon,5156,22,2738
Coder.1340,7468,34,1023
ComputerDruid,8167,36,851
ConanKudo247,8901,76,149
Copymaster.old,7166,76,133
Cosmin,3331,22,2117
CoyoteRunner,2563,22,1798
CrazyGenius,1852,22,1483
Crazycolorz5,4527,22,2567
Crazyjoe,5392,22,2818
Creed,2357,22,1711
Cromel,779,22,1148
Cronos,3221,22,2070
Crush,8921,100,98
CyberEwok,5774,22,2923
Cyin,8186,36,856
Cyker,8184,36,855
DD.tt,9557,34,1081
DDrDreDrew,6186,22,3020
DNNX,8404,52,627
DR3LA,5315,22,2791
DStepanenko,4431,64,200
DYurk,3221,22,2070
Dab,7242,52,618
Dagon,7752,76,136
Dalimil,3940,22,2359
DamianS,7302,72,168
DancingSoul,1680,22,1416
Daneeldg,4456,22,2544
DaniJVaz,2266,22,1674
DarLam,7714,58,567
Daria,3843,22,2327
DarinTay,8005,34,1040
Darkantoine,4856,22,2669
Darko,9517,58,608
Darsein,5282,36,717
Dasher,1927,22,1517
Daulet,4620,22,2600
DavidEriksson,2403,22,1733
Davidinosauro,3767,22,2293
DeathCoil,3204,22,2065
Deebo,2731,22,1856
Delf,4887,22,2679
Delkna,4198,22,2461
Demasi,8809,36,909
Dembel,832,22,1152
Denar,2504,22,1776
Dener,7755,34,1034
Depooll,2789,22,1885
DerekHe,1723,22,1432
Devine38,8865,36,915
Diego1149,3737,22,2285
DiegoAE,4231,22,2470
DiegoCR,2656,22,1823
Dimke,1487,22,1320
DmitryEgorov,8866,100,94
DoDoHushHush,3446,22,2160
Dog,4819,22,2661
Doju,5705,64,242
Dongminator,4638,22,2608
Doris,1851,22,1482
Double,5476,22,2839
Dovgaluk,8208,58,578
Dpsipher,2962,22,1967
DrWakewaters,2992,22,1980
Drak,5551,22,2864
Dreamer23,1556,22,1346
DriukAlex,7824,64,360
Dsum,5518,22,2855
Dukeling,906,22,1163
Dunk,5298,22,2784
Duxar,4847,22,2666
DuyBao,1610,22,1372
DylanM,2947,22,1957
Dzamlo,2919,22,1940
EIFY,4100,22,2428
EarlOfDitches,4268,22,2479
East,9983,36,970
EaterOA,2840,22,1909
Edla,1623,22,1379
Efath,4316,22,2493
Effect,1493,22,1322
Efgen,4620,22,2600
Efyx,2372,22,1716
Eggeek,4509,22,2563
Eiji,2719,22,1852
Eledven,7051,48,640
EliKarasik,1502,22,1327
Elites,4343,22,2503
EmK,7816,100,65
Enchom,8580,64,421
Encircle,5003,22,2714
Eoakley,2649,22,1820
EpicWu,2216,22,1651
Epiq,2214,22,1648
Erichsh,8261,24,1114
Eridoxi,6005,36,741
EscapeSequence,3280,22,2096
Etch,5498,22,2846
Etienne,6157,36,754
Eurce,5638,22,2886
EvanBenn,3089,22,2023
EveD,6209,22,3027
Ewelina131,7888,36,829
Eyal,2249,22,1669
FKint,1038,22,1178
Factorial,824,22,1151
FancyMouse08853,6985,36,784
Fantoccini,2117,22,1603
Farnabee,3351,22,2128
Farsid,5760,22,2920
Fata1ist,4842,58,515
Fatest,5638,64,237
Fcdkbear,8545,48,650
Fdg,6301,100,33
Fearos,4676,22,2621
Fedux,3926,22,2353
Fedy2,5883,22,2952
Fedyarer,3984,22,2381
Fefer.Ivan,7205,100,51
FeiLi,5629,36,731
FelixP,3618,22,2228
Ferrazrenan,5798,22,2928
FerroMrkva,9476,34,1080
Fettn,5648,22,2889
Fildi,1227,22,1231
Fingon,7448,36,809
Fixman,7002,58,550
Fj.,5116,64,218
FlagCapper,5273,22,2775
Floris,7572,34,1026
Flyke,4550,22,2577
Foobarbaz,9301,64,476
ForestM,5302,22,2786
Fory,1652,22,1395
FrancoisPignon,4777,22,2651
Franklinquestionmark,2742,22,1863
FrcknFrckn,1190,22,1216
Frederica,6860,36,778
FriedEgg,5025,22,2718
Fritzendugan,4547,22,2575
FrostByte,3566,22,2207
Fujiwaranosai,3628,22,2232
Fumiya,5422,100,18
Furchin,5622,22,2884
GBV,1420,22,1296
GDR,1154,22,1207
GGed,9059,72,180
Gad,9075,36,931
Games,7788,64,358
Ganindu,2714,22,1849
Gansito,4571,22,2585
GaoYusong,1644,22,1389
GarySham,2279,22,1685
GaryWu,4249,22,2473
Garyzx,4174,36,698
Gassa,6237,76,130
GauravKatoch007,10438,24,1136
