user_id,avg_memory,wall_clock,system_time,blanks,language,compiler_version,cloc,nbr_file_in,compiled,swap_main_memory,avg_RAM,exit_code,comments,nbr_file_out,nbr_page_faults,exe_size,max_RAM,user_time
0x636c7700,-,-,-,2,C,-,46,-,1,-,-,-1,0,-,-,-,-,-
2rf,0,0.33,0.04,26,Java,-,121,0,0,0,0,0,1,72,0,3843,99360,0.29
AKM,-,-,-,2,C++,-,49,-,-,-,-,-,0,-,-,-,-,-
Akai,-,-,-,6,C++,-,48,-,-,-,-,-,10,-,-,-,-,-
Akim,-,-,-,3,C++,-,51,-,-,-,-,-,4,-,-,-,-,-
Aksenov239,0,0.11,0.02,22,Java,-,89,0,0,0,0,1,0,64,0,2654,21496,0.09
AlanC,-,-,-,16,C++,-,70,-,-,-,-,-,2,-,-,-,-,-
AlexLin,-,-,-,9,Python,-,43,-,-,-,-,-,4,-,-,-,-,-
Amtep,-,-,-,8,Python,-,50,-,-,-,-,-,2,-,-,-,-,-
AngryBacon,-,-,-,14,C++,-,89,-,-,-,-,-,7,-,-,-,-,-
AnnKats93,-,-,-,6,C++,-,58,-,-,-,-,-,2,-,-,-,-,-
AppleCplus,-,-,-,20,C++,-,107,-,-,-,-,-,0,-,-,-,-,-
Arseny,-,-,-,14,C++,-,51,-,-,-,-,-,1,-,-,-,-,-
ArtHoly,-,-,-,3,C++,-,48,-,-,-,-,-,2,-,-,-,-,-
Arterm,-,-,-,15,C++,-,67,-,-,-,-,-,0,-,-,-,-,-
Astein,-,-,-,5,C++,-,71,-,-,-,-,-,9,-,-,-,-,-
Atlas,-,-,-,8,C#,System.Numerics,83,-,1,-,-,-1,0,-,-,-,-,-
Aule,0,0.05,0.01,16,Java,-,73,0,0,0,0,1,0,64,0,2043,21232,0.04
Auster,-,-,-,6,C++,-,56,-,-,-,-,-,0,-,-,-,-,-
BenZ,-,-,-,2,C++,-,73,-,-,-,-,-,0,-,-,-,-,-
Berry,-,-,-,41,C,-,96,-,1,-,-,-1,12,-,-,-,-,-
BlueGene,-,-,-,4,C++,-,76,-,-,-,-,-,0,-,-,-,-,-
Bobik,-,-,-,7,C++,-,74,-,-,-,-,-,2,-,-,-,-,-
Bradrin,0,0.11,0.01,7,Java,-,79,0,0,0,0,0,0,72,0,2266,72360,0.09
Breakun,-,-,-,1,C++,-,54,-,-,-,-,-,0,-,-,-,-,-
Bremsstrahlung,-,-,-,2,Python,-,34,-,-,-,-,-,0,-,-,-,-,-
Brinkbot,-,-,-,4,Python,-,24,-,-,-,-,-,0,-,-,-,-,-
Burunduk1,-,-,-,8,C++,-,51,-,-,-,-,-,21,-,-,-,-,-
Caiych,-,-,-,4,Python,-,55,-,-,-,-,-,1,-,-,-,-,-
Caoqinxiang,-,-,-,14,C++,-,85,-,-,-,-,-,0,-,-,-,-,-
CatalinT,-,-,-,51,C++,-,162,-,-,-,-,-,21,-,-,-,-,-
ChCat,0,0.06,0.01,49,Java,-,124,0,0,0,0,1,5,64,0,3269,21496,0.03
ChevalierMalFet,-,-,-,7,Python,-,33,-,-,-,-,-,0,-,-,-,-,-
Chriky,-,-,-,3,Python,-,23,-,-,-,-,-,1,-,-,-,-,-
ConanKudo247,-,-,-,12,C++,-,160,-,-,-,-,-,7,-,-,-,-,-
Crush,-,-,-,14,C++,-,90,-,-,-,-,-,0,-,-,-,-,-
Cyin,-,-,-,2,C++,-,64,-,-,-,-,-,6,-,-,-,-,-
DStepanenko,-,-,-,27,C++,-,91,-,-,-,-,-,3,-,-,-,-,-
Dab,-,-,-,17,C++,-,77,-,-,-,-,-,0,-,-,-,-,-
