user_id,syatem_time,wall_clock,system_time,blanks,avg_memory,language,compiler_version,cloc,nbr_file_in,compiled,swap_main_memory,avg_RAM,exit_code,comments,nbr_file_out,nbr_page_faults,exe_size,max_RAM,user_time
chiguri,0.00,-,-,16,-,C++,-,52,-,127,-,-,-1,6,-,-,-,-,-
mdrm,0.00,0.02,0.00,8,0,Python,2.7,43,0,0,0,0,0,10,0,0,-,9028,0.01
stormageddon,0.00,-,-,3,-,C++,-,30,-,127,-,-,-1,0,-,-,-,-,-
monad,0.00,-,-,1,-,C++,-,34,-,127,-,-,-1,0,-,-,-,-,-
demaio,0.00,0.00,0.00,8,0,Python,2.7,30,0,0,0,0,0,1,0,0,-,6648,0.00
mattz,0.00,0.00,0.00,9,0,Python,2.7,22,0,0,0,0,0,0,0,0,-,6392,0.00
nwalton,0.00,0.01,0.00,3,0,Python,3.5,24,0,0,0,0,2,0,0,0,-,7224,0.01
aj95,0.00,-,-,4,-,C++,-,41,-,127,-,-,-1,1,-,-,-,-,-
Celeritous,0.00,0.00,0.00,5,0,Python,2.7,33,0,0,0,0,0,0,0,0,-,6428,0.00
sdchikorde,-,-,-,0,-,C,-,41,-,127,-,-,-1,0,-,-,-,-,-
Mamick,0.00,-,-,3,-,C++,-,32,-,127,-,-,-1,0,-,-,-,-,-
togatoga,0.00,0.01,0.00,0,0,Python,2.7,15,0,0,0,0,0,0,0,0,-,6404,0.00
ProbablyARaptor,-,-,-,2,-,C++,-,0,-,127,-,-,-1,6,-,-,-,-,-
Jorik,0.01,-,-,3,-,C++,-,44,-,127,-,-,-1,0,-,-,-,-,-
