user_id,syatem_time,wall_clock,system_time,blanks,avg_memory,language,compiler_version,cloc,nbr_file_in,compiled,swap_main_memory,avg_RAM,exit_code,comments,nbr_file_out,nbr_page_faults,exe_size,max_RAM,user_time
jaymanmsu,0.00,0.00,0.00,1,0,Python,2.7,17,0,0,0,0,0,0,0,0,-,6468,0.00
takamoto,0.00,-,-,5,-,C++,-,47,-,127,-,-,-1,0,-,-,-,-,-
gauravjs,0.00,0.01,0.00,1,0,Python,2.7,19,0,0,0,0,0,0,0,0,-,6424,0.00
sayeedt,0.00,0.05,0.00,7,0,java,-,54,0,0,0,0,1,3,64,0,-,21192,0.03
liutianren,0.00,0.05,0.02,2,0,Python,2.7,23,0,0,0,0,0,1,0,0,-,21200,0.03
Alon,0.00,0.00,0.00,5,0,Python,2.7,25,0,0,0,0,0,1,0,0,-,6476,0.00
capythm,0.00,-,-,0,-,C++,-,35,-,127,-,-,-1,0,-,-,-,-,-
QuentinB,0.00,0.01,0.00,25,0,Python,2.7,51,0,0,0,0,0,2,8,0,-,6676,0.00
biaobiao0339,-,-,-,4,-,Python,2.7,38,-,0,-,-,0,1,-,-,-,-,-
souvikkrm,0.00,-,-,1,-,C++,-,82,-,127,-,-,-1,2,-,-,-,-,-
King114,0.00,-,-,12,-,C++,-,46,-,127,-,-,-1,0,-,-,-,-,-
tlawrence85,0.00,-,-,2,-,C++,-,0,-,127,-,-,-1,7,-,-,-,-,-
zhimeng,0.01,0.07,0.00,8,0,java,-,67,0,0,0,0,0,0,64,0,-,24556,0.06
MZuev,0.00,-,-,28,-,C++,-,163,-,127,-,-,-1,5,-,-,-,-,-
ShawnDong,-,-,-,55,-,C++,-,589,-,127,-,-,-1,62,-,-,-,-,-
chiwangc,0.01,0.05,0.01,32,0,java,-,96,0,0,0,0,1,0,64,0,-,21556,0.03
Alarak,0.00,0.02,0.00,16,0,Python,2.7,20,0,0,0,0,0,5,8,0,-,6512,0.01
Seledorn,0.00,-,-,4,-,C#,-,42,-,0,-,-,1,0,-,-,-,-,-
Cthaeghya,0.02,0.07,0.00,11,0,java,-,39,0,0,0,0,0,0,64,0,-,24520,0.06
Indeed,0.00,0.01,0.00,3,0,Python,2.7,18,0,0,0,0,0,0,0,0,-,6316,0.00
pavelz,0.00,-,-,8,-,C++,-,55,-,127,-,-,-1,2,-,-,-,-,-
VinyleEm,0.00,0.01,0.00,4,0,Python,2.7,14,0,0,0,0,0,0,0,0,-,6436,0.00
watermaximillion,0.00,0.04,0.01,4,0,java,-,49,0,0,0,0,1,1,64,0,-,21336,0.03
misof,0.00,0.01,0.00,0,0,Python,2.7,14,0,0,0,0,0,0,0,0,-,6496,0.00
phire,0.00,0.00,0.00,4,0,Python,2.7,22,0,0,0,0,0,2,0,0,-,6564,0.00
alei,0.00,-,-,1,-,C++,-,29,-,127,-,-,-1,0,-,-,-,-,-
LeoChen,-,-,-,12,-,Python,2.7,30,-,0,-,-,1,30,-,-,-,-,-
jordan15game,0.00,-,-,7,-,C++,-,61,-,127,-,-,-1,3,-,-,-,-,-
chuckl0416,0.00,-,-,7,-,C++,-,34,-,127,-,-,-1,0,-,-,-,-,-
carlop,0.00,-,-,12,-,C++,-,38,-,127,-,-,-1,1,-,-,-,-,-
fantastory,0.00,-,-,24,-,C++,-,79,-,127,-,-,-1,3,-,-,-,-,-
Icemore,0.00,-,-,16,-,C++,-,57,-,127,-,-,-1,0,-,-,-,-,-
bobogei,0.00,0.01,0.00,7,0,Python,2.7,23,0,0,0,0,0,0,0,0,-,6608,0.00
Humor,0.00,-,-,3,-,C++,-,36,-,127,-,-,-1,0,-,-,-,-,-
yukariko,0.00,-,-,4,-,C++,-,32,-,127,-,-,-1,0,-,-,-,-,-
artberryx,0.00,-,-,2,-,C++,-,62,-,127,-,-,-1,2,-,-,-,-,-
ludopulles,0.00,-,-,9,-,C++,-,39,-,127,-,-,-1,3,-,-,-,-,-
slex,0.00,0.04,0.00,12,0,java,-,53,0,1,0,0,1,1,64,0,-,21428,0.04
nhatminh2947,0.00,-,-,21,-,C++,-,73,-,127,-,-,-1,13,-,-,-,-,-
JohnWong,0.00,0.00,0.00,5,0,Python,3.5,28,0,1,0,0,2,0,0,0,-,7200,0.00
Nandofer,0.00,0.01,0.00,15,0,Python,2.7,37,0,0,0,0,2,0,0,0,-,7668,0.01
patrickk,0.00,0.01,0.00,3,0,Python,2.7,14,0,0,0,0,0,1,0,0,-,6344,0.00
bylysobieswinkitrzy,0.00,0.01,0.00,7,0,C#,-,47,0,0,0,0,0,0,8,0,-,14684,0.00
AlexSand,0.00,-,-,17,-,C#,-,66,-,1,-,-,-1,0,-,-,-,-,-
JaanusKp,0.00,0.00,0.00,4,0,Python,2.7,22,0,0,0,0,0,0,8,0,-,6580,0.00
lnsuyn,0.00,-,-,3,-,C++,-,63,-,127,-,-,-1,0,-,-,-,-,-
jonis,0.00,-,-,4,-,C++,-,35,-,127,-,-,-1,0,-,-,-,-,-
eugenus,0.00,0.01,0.00,6,0,Python,2.7,29,0,0,0,0,0,2,8,0,-,8848,0.01
Ahyangyi,0.00,-,-,10,-,C++,-,53,-,127,-,-,-1,0,-,-,-,-,-
MadHatter,0.00,0.00,0.00,2,0,Python,2.7,14,0,0,0,0,0,0,0,0,-,6436,0.00
ehlemur,0.00,0.01,0.00,3,0,Python,2.7,15,0,0,0,0,0,0,0,0,-,6424,0.00
Angor,0.00,-,-,6,-,C++,-,42,-,127,-,-,-1,0,-,-,-,-,-
