user_id,blanks,comments,language,cloc
asdacap,28,17,C++,37
Boreeas,8,4,Python,23
cosminp,13,0,C++,44
doublehh,3,9,C++,39
FatalEagle,4,0,C++,33
mexmans,0,0,C++,56
candybonn,19,1,java,102
webstr,4,0,C++,27
dojiboy9,25,6,C++,49
lrearte,4,0,java,18
polmauri,1,0,C++,21
Ying1123,3,0,C++,36
BD777,6,0,C++,46
Shangke7788,2,0,C++,20
kojingharang,14,2,C++,70
coderbd,9,0,C,30
abhra73,1,0,C++,31
Mulab,4,1,C++,25
nestorprado,4,0,java,31
KidPooh,0,0,Python,26
Kaoron,10,0,Python,21
Dmytro,8,4,java,40
delps,32,0,C#,118
johnLate,7,0,C++,59
romanandreev,7,0,C++,60
lemourin,6,0,C++,26
allenlyh,6,1,C++,51
Tomo,6,0,C++,22
fractal,3,1,Python,16
Anta0,1,3,C++,55
domingos86,15,0,C++,36
Swrrt,0,0,C++,25
Roun,2,1,Python,15
cml,1,9,java,30
Karteler,8,2,C,37
GannicusYao,3,0,C++,26
cmd,11,7,C++,87
Plat5,21,10,C++,61
Happyhobo,8,0,Python,24
dfeng,6,9,Python,21
mycodef,10,1,Python,29
qboiler,5,37,java,39
lookingfor,2,0,Python,14
briguychau,1,0,C++,24
IvayloS,4,6,C++,49
me1,8,1,java,34
SergeyRogulenko,10,2,C++,68
alexwice,10,4,Python,58
Ordoshsen,6,0,C#,49
cdemartell,6,0,Python,24
kangbb,16,5,C++,57
phidnight,1,0,C++,20
Salls,8,2,C++,35
Lamak,10,0,C++,31
alexamici,7,19,Python,24
Amitoj,6,3,C++,55
sergiobonf,17,0,java,59
royf,18,2,Python,48
kicker,8,1,java,43
darkKelvin,7,10,C++,88
IlodEnarp,2,9,C#,0
snydesc,15,2,C#,68
jamu,15,1,java,48
resty,2,0,Python,15
DiegoAE,6,0,java,45
ecv,4,3,C++,44
AdamJB,9,6,Python,20
shyholic,6,0,C++,34
abuasifkhan,11,8,C++,65
j0hnny,5,0,Python,19
ssulbbang,9,0,C++,43
Nooodles,6,4,Python,17
neiht,8,1,C++,31
vladklyachin,4,1,C++,37
AlonBalon,20,0,C#,48
spydata,1,3,C,50
Epiq,20,2,java,73
ah1926,2,0,C++,21
rich8oy,13,5,java,28
DiegoRoque,2,0,C++,25
Jed,6,6,C++,22
Josse,3,0,C++,28
mruxim,12,4,C++,34
CTH,3,0,java,39
northanapon,1,0,Python,23
tsholmes,7,0,java,32
Thundzz,13,0,C++,50
dayeolee,17,1,Python,56
vincentuse,5,0,C++,45
dooglius,2,0,C,24
ayushmaanbhava,4,2,java,35
Jennica,0,2,C++,30
darkmx0z,7,0,C++,28
l1n4r,12,0,C++,60
hustsxh,4,0,C++,34
lx75249,0,0,C++,58
khchan123,7,5,C++,53
Tedtion,2,0,C++,32
paulliu,27,21,java,160
xyz111,2,0,C++,21
tracyhenry,6,0,C++,49
ordcoder,2,0,C++,26
kuno4n,9,1,C++,70
temak,22,1,C++,52
bakarello,7,0,C#,46
SmBe19,8,4,C++,25
Mister,1,0,C++,28
Emettant,24,2,C++,68
chanjoo,38,6,C,121
nejimban,3,6,Python,10
Kouprin,7,1,C++,27
WXXCC,0,0,C++,48
