user_id,avg_memory,wall_clock,system_time,blanks,language,compiler_version,cloc,nbr_file_in,compiled,swap_main_memory,avg_RAM,exit_code,comments,nbr_file_out,nbr_page_faults,exe_size,max_RAM,user_time
0xb0c5,0,0.00,0.00,4,Python,2.7,19,0,0,0,0,0,0,0,0,-,6524,0.00
0xrgb,0,0.00,0.00,8,C++,-,28,0,0,0,0,0,0,0,0,35848,2512,0.00
131131yhx,0,0.00,0.00,5,C++,-,33,0,0,0,0,0,7,0,0,11112,2492,0.00
1403mashaonan,0,0.00,0.00,9,C++,-,77,0,0,0,0,0,3,0,0,43600,2624,0.00
144p,0,0.16,0.00,24,Java,-,56,0,0,0,0,0,16,64,0,1755,28828,0.15
178855371157,0,0.00,0.00,5,Python,2.7,18,0,0,0,0,0,0,0,0,-,6880,0.00
19891101,0,0.00,0.00,21,C++,-,58,0,0,0,0,0,0,0,0,24232,2684,0.00
1NCID3R,0,0.00,0.00,13,C++,-,116,0,0,0,0,0,9,0,0,49032,2848,0.00
2011aad,0,0.00,0.00,5,C++,-,31,0,0,0,0,0,0,0,0,11144,2484,0.00
2jjy,0,0.00,0.00,1,C++,-,43,0,0,0,0,0,0,0,0,9848,2516,0.00
2oo7,-,-,-,21,Java,-,149,-,1,-,-,-1,6,-,-,-,-,-
2rf,0,0.00,0.00,3,Python,3.5,12,0,0,0,0,2,0,0,0,-,7224,0.00
4yn,0,0.00,0.00,2,C++,-,29,0,0,0,0,0,0,0,0,34696,2644,0.00
6aJIaJIae4HuK,-,-,-,7,C++,-,40,-,1,-,-,-1,0,-,-,-,-,-
7HM,0,0.16,0.00,7,Java,-,38,0,0,0,0,0,5,72,0,1300,34560,0.16
7pablof,0,0.00,0.00,0,Python,3.5,22,0,1,0,0,2,1,0,0,-,7224,0.00
8163264128,0,0.15,0.00,1,Java,-,18,0,0,0,0,0,0,64,0,1044,29120,0.14
A13xand3r,0,0.00,0.00,12,Python,2.7,49,0,0,0,0,2,0,0,0,-,6168,0.00
ABANDIYA1995,0,0.04,0.00,3,Java,-,74,0,0,0,0,1,17,64,0,1925,21396,0.03
ACErupt,0,0.00,0.00,3,C++,-,30,0,0,0,0,0,1,0,0,33432,2544,0.00
ACMonster,0,0.00,0.00,6,C++,-,73,0,0,0,0,0,1,0,0,9072,2648,0.00
ACalvin,0,0.00,0.00,0,C++,-,30,0,0,0,0,0,0,0,0,9496,2232,0.00
AISarkin,0,0.00,0.00,8,C++,-,164,0,0,0,0,0,0,0,0,27208,2664,0.00
AKim,0,0.00,0.00,14,C++,-,80,0,0,0,0,0,1,0,0,11656,2652,0.00
AMartin,0,0.00,0.00,4,C++,-,42,0,0,0,0,0,0,0,0,33520,2500,0.00
AboShady,0,0.00,0.00,5,C++,-,32,0,0,0,0,139,0,0,0,13920,2196,0.00
Action,-,-,-,9,C#,-,86,-,0,-,-,1,0,-,-,-,-,-
Aerodonkey,0,0.01,0.00,2,Python,2.7,17,0,0,0,0,0,1,0,0,-,6832,0.00
Agham,0,0.00,0.00,0,Python,3.5,13,0,0,0,0,2,0,0,0,-,7200,0.00
