user_id,blanks,coments,language,cloc
LazyAnna,1,0,C++,31
DanilC,10,0,C++,138
Cypi,4,1,Python,36
FatalEagle,2,0,C++,27
JayXon,1,17,C++,40
ynasu,10,5,Python,98
Dukkha,1,0,java,63
rantd,24,11,C++,189
xs0,18,0,java,86
a00012025,8,1,C++,75
ponyopoppo,2,0,C++,25
UminchuR,5,0,C++,47
ctzsm,6,10,C++,26
NExPlain,8,0,C++,69
miguelmaurizio,46,1,java,205
oneg,14,2,Python,111
apiad,8,0,C++,48
iridescent,12,1,C++,136
devjoe,22,2,Python,112
Anta0,5,0,C++,39
551100kk,7,0,C++,51
t93,8,0,java,68
namonakiacc,4,0,C++,37
Toby,24,11,C++,189
phire,13,3,Python,84
Spelvin,13,4,Python,158
mezei,24,1,C++,112
EriKKo,4,0,Python,23
shindannin,13,5,C++,83
fiver,7,3,C#,83
TrueBamboo,5,0,C++,59
Fly33,18,0,C++,86
treebeard,6,1,C++,73
gepa,22,1,Python,100
AntiForest,7,0,C++,94
phidnight,9,5,C++,47
fagu,5,0,C++,39
math314,19,7,C++,56
ICastro,7,0,C++,40
dmute,47,8,C++,265
UltraSuperboy,18,17,java,135
SovietUnion,8,0,C++,57
pflueger,9,0,C++,51
Dembel,1,17,C++,40
SamanSami,5,0,C++,59
dshabes,6,10,C#,109
tailed,5,23,C++,40
Savlik,1,0,C++,31
ZhSh,24,1,C++,112
DEGwer,13,5,C++,83
kevinsogo,9,5,Python,47
Josse,2,0,C++,27
ksun48,8,0,C++,57
rkleberhoff,16,7,java,105
yesenarman,5,0,C++,83
bmerry,4,0,C++,37
pandamonium,19,7,C++,56
azariamuh,8,0,C++,48
ilackthatsuperpower,5,0,C++,47
Fdg,22,1,C++,100
mamekin,2,0,C++,25
anari,4,0,Python,101
ProjectYoung,10,0,java,138
darnley,7,0,java,94
ctunoku,12,1,java,117
DrBubbles,6,1,C++,73
ordcoder,9,5,C++,54
yswtt,9,0,C++,46
EmK,4,0,C#,69
jtidor,28,0,Python,128
assy,5,0,C++,59
Tyg3R,1,0,C++,63
Mister,4,0,C++,30
shik,19,21,C++,150
tcooke,17,0,Python,136
peter50216,9,0,C++,48
kyc,5,5,java,85
BunchOfLines,7,0,C++,40
Nicolas16,14,0,C++,82
Merkurev,5,0,C++,59
durt,7,0,C++,51
Ragnar,47,8,C++,265
saffah,9,0,C++,51
ishraq,46,1,C++,205
Tellmarch,14,0,java,82
alanubi,9,5,C++,54
nwin,9,1,Python,86
fullpower,4,0,C++,30
azaky,6,98,C++,49
xDanielx,7,0,Python,47
BSBandme,5,0,C++,66
liutianren,20,11,Python,140
sokian,4,0,C++,23
achan1058,16,7,C++,105
climpet,5,5,C++,85
thocevar,7,1,C++,81
piyawatl,0,2,C#,83
prezcoin,7,0,C++,47
kcm1700,5,0,C++,74
littlefriend,5,1,C++,74
kmjp,6,10,C++,26
