user_id,avg_memory,wall_clock,system_time,blanks,language,compiler_version,cloc,nbr_file_in,compiled,swap_main_memory,avg_RAM,exit_code,comments,nbr_file_out,nbr_page_faults,exe_size,compile_error_msg,run_error_msg,max_RAM,user_time
0673nC,0,0.01,0.00,5,C++,-,64,128,0,0,0,0,1,0,1,63744,-,-,2576,0.00
072988,0,0.02,0.00,10,C++,-,65,72,0,0,0,0,0,0,1,35456,-,-,2624,0.00
0806580124,-,-,-,0,C++,-,61,-,1,-,-,-1,0,-,-,-,not declared,-,-,-
0xfd,0,0.00,0.00,6,C++,-,78,64,0,0,0,0,5,0,0,29736,-,-,2572,0.00
1152230301,0,0.01,0.00,6,C++,-,69,128,0,0,0,0,0,0,1,63440,-,-,2628,0.00
1292765944,0,0.00,0.00,9,C++,-,101,24,0,0,0,0,0,0,0,10704,-,-,2468,0.00
13k,-,-,-,24,Python,3.5,81,-,0,-,-,1,3,-,-,-,-,File or Dir not found,-,-
1ed,-,-,-,7,Java,-,60,-,1,-,-,-1,4,-,-,-,package does not exist,-,-,-
20100,-,-,-,2,Python,2.7,4,-,0,-,-,1,0,-,-,424,-,Unknown,-,-
37ae912,0,0.01,0.00,31,C++,-,108,312,0,0,0,0,7,0,0,22120,-,-,3716,0.00
42Life,-,-,-,14,C#,-,95,-,0,-,-,1,21,-,-,4608,-,: System.ArgumentNullException,-,-
4lberto,-,-,-,10,Python,2.7,68,-,0,-,-,1,0,-,-,2593,-,IndexError,-,-
4ndypanda,0,0.00,0.00,4,C++,-,63,0,0,0,0,0,0,0,0,24736,-,-,2548,0.00
51isoft,-,-,-,0,C++,-,51,-,1,-,-,-1,0,-,-,-,reference is ambiguous,-,-,-
735612658,0,0.00,0.00,0,C++,-,69,0,0,0,0,0,2,0,0,9008,-,-,2536,0.00
7henick,0,0.05,0.00,14,Java,-,53,0,0,0,0,1,8,64,0,2219,-,java.,22668,0.05
7sedam7,0,0.01,0.00,3,Python,2.7,29,8,0,0,0,0,5,0,0,1678,-,-,6564,0.00
88844452999,-,-,-,20,Java,-,114,-,0,-,-,-1,4,-,-,684,-,-,-,-
901001,0,0.01,0.00,4,C++,-,57,312,0,0,0,0,5,0,0,21648,-,-,2536,0.00
9mat,0,0.06,0.00,14,C++,-,85,72,0,0,0,0,0,0,1,33952,-,-,2492,0.06
ABryant,0,0.06,0.00,2,Java,-,62,0,0,0,0,1,2,64,0,2013,-,java.,22520,0.05
AC521,0,0.01,0.00,7,C++,-,70,288,0,0,0,0,2,0,0,9168,-,-,2616,0.00
ACSeed,0,0.28,0.02,4,C++,-,55,24,0,0,0,0,0,145360,0,9880,-,-,2580,0.25
AIMag,0,1.10,0.02,17,C++,-,92,72,0,0,0,0,0,145664,1,33336,-,-,2664,1.07
AIgen,0,0.00,0.00,19,C++,-,104,0,0,0,0,0,0,0,0,10120,-,-,2700,0.00
AKarpinsky,0,0.01,0.00,18,C++,-,85,536,0,0,0,0,20,0,1,10200,-,-,2584,0.00
AKee,0,0.06,0.00,13,Java,-,58,0,0,0,0,1,8,64,0,1678,-,java.,22712,0.04
AS1,0,0.01,0.00,11,C++,-,53,48,0,0,0,0,0,0,0,23656,-,-,2288,0.00
ASotelo,0,0.05,0.00,2,Java,-,66,0,0,0,0,1,5,64,0,3136,-,java,21552,0.03
AbdallahHamdy,0,0.01,0.00,8,C#,-,74,0,0,0,0,0,0,0,0,4608,-,-,9932,0.01
Abdoufel,-,-,-,33,C#,-,135,-,1,-,-,-1,0,-,-,-,: The type or namespace name `Data' does not exist in the namespace `System'. Ar,-,-,-
Abhiz,0,0.06,0.00,10,Java,-,78,0,0,0,0,1,3,64,0,2181,-,java.,23988,0.05
AdGold,0,0.00,0.00,4,C++,-,55,0,1,0,0,127,1,0,0,-,Unknown error,Command not found,1428,0.00
AdrianKuegel,0,0.01,0.00,5,C++,-,56,312,0,0,0,0,2,0,0,22184,-,-,2588,0.00
AdrianRoos,0,0.01,0.00,8,C++,-,50,72,0,0,0,0,0,0,1,35000,-,-,2492,0.00
Afzali,0,0.06,0.01,11,Java,-,64,0,0,0,0,1,0,64,0,2152,-,java.io.FileNotFoundException:,24172,0.05
