user_id,avg_memory,wall_clock,system_time,blanks,language,compiler_version,cloc,nbr_file_in,compiled,swap_main_memory,avg_RAM,exit_code,comments,nbr_file_out,nbr_page_faults,exe_size,compile_error_msg,run_error_msg,max_RAM,user_time
ACRushTC,0,0.00,0.00,216,C++,-,196,0,0,0,0,0,11,0,0,44864,-,-,2580,0.00
AEtheReal,0,0.00,0.00,24,C++,-,108,0,0,0,0,0,3,0,0,18248,-,-,2384,0.00
AIQINGXING,0,0.00,0.00,65,C++,-,65,0,0,0,0,0,0,0,0,11216,-,-,2612,0.00
AVictor,0,0.00,0.00,104,C++,-,77,0,0,0,0,0,0,0,0,11592,-,-,2556,0.00
ArcadiaPerson,-,-,-,6,Python,2.7,54,-,0,-,-,1,0,-,-,2019,-,-,-,-
Atol,0,0.90,0.00,58,C++,-,238,0,0,0,0,0,8,0,0,50744,-,-,2768,0.90
Azizkhan,0,0.00,0.00,9,C++,-,108,0,0,0,0,0,3,0,0,22280,-,-,2792,0.00
BBuss,-,-,-,26,C++,-,59,-,0,-,-,-15,4,-,-,8512,-,-,-,-
Batterytime,0,0.08,0.00,18,Java,-,212,0,0,0,0,1,17,64,0,4839,-,-,21464,0.07
Boltmeyer,0,0.03,0.00,30,C#,-,190,0,0,0,0,0,9,0,0,5632,-,-,10648,0.02
Burunduk1,0,0.20,0.00,320,C++,-,245,0,0,0,0,0,11,0,0,34720,-,-,2548,0.20
Butterfly0923,0,0.00,0.00,5,C++,-,53,0,0,0,0,0,0,0,0,9208,-,-,2332,0.00
CaseyRoberts711,0,0.00,0.00,33,C++,-,164,0,0,0,0,0,59,0,0,52488,-,-,2632,0.00
Cyin,0,0.00,0.00,104,C++,-,102,0,0,0,0,0,0,1392,0,21672,-,-,2296,0.00
Dabomstew,0,0.05,0.00,14,Java,-,265,0,0,0,0,0,17,64,0,5035,-,-,21676,0.04
Dembel,0,3.62,0.00,214,C++,-,162,0,0,0,0,0,6,0,0,44480,-,-,2340,3.62
DragonCurve,0,0.00,0.00,64,C++,-,63,0,1,0,0,127,0,0,0,-,-,-,1420,0.00
EbTech,-,-,-,180,C++,-,160,-,1,-,-,-1,4,-,-,-,-,-,-,-
EmK,-,-,-,255,C++,-,216,-,1,-,-,-1,7,-,-,-,-,-,-,-
EternalAnswer,0,0.00,0.00,160,C++,-,135,0,0,0,0,0,0,0,0,21144,-,-,2136,0.00
Fumiya,0,0.32,0.00,112,C++,-,95,0,0,0,0,0,0,0,0,39392,-,-,2600,0.25
Gigz,0,0.00,0.00,213,C++,-,141,0,1,0,0,127,1,0,0,-,-,-,1396,0.00
HiltonLange,-,-,-,27,C#,-,264,-,1,-,-,-1,13,-,-,-,-,-,-,-
HonMing,0,0.00,0.00,7,C,-,129,0,0,0,0,30,3,0,0,9288,-,-,1396,0.00
Imsbuno,-,-,-,185,C++,-,127,-,1,-,-,-1,0,-,-,-,-,-,-,-
Jimbly,-,-,-,39,C++,-,436,-,1,-,-,-1,73,-,-,-,-,-,-,-
Komaki,0,0.00,0.00,10,C++,-,154,0,0,0,0,0,0,0,0,84424,-,-,3032,0.00
LanceHalberd,0,0.05,0.00,9,Java,-,146,0,0,0,0,1,2,64,0,4090,-,-,21304,0.04
LinesPrower,0,0.00,0.00,183,C++,-,150,0,0,0,0,0,4,0,0,54248,-,-,2560,0.00
MRoizner,0,0.00,0.00,19,C++,-,156,0,0,0,0,134,1,0,0,53944,-,-,2736,0.00
Maja,0,0.04,0.00,12,Java,-,134,0,0,0,0,1,3,64,0,3895,-,-,21464,0.04
MarioYC,0,0.00,0.00,117,C++,-,72,0,0,0,0,0,5,0,0,12752,-,-,2544,0.00
Maryann,0,0.42,0.00,101,C++,-,95,0,0,0,0,0,2,0,0,43720,-,-,2504,0.42
Mister,0,0.00,0.00,118,C++,-,113,0,0,0,0,0,5,0,0,22184,-,-,2708,0.00
MooseBoys,-,-,-,277,C++,-,173,-,1,-,-,-1,42,-,-,-,-,-,-,-
NateRiver,0,0.00,0.00,2,C++,-,85,0,0,0,0,0,9,0,0,9528,-,-,2288,0.00
NeilV,-,-,-,26,Python,2.7,100,-,0,-,-,1,7,-,-,3595,-,-,-,-
Nooodles,-,-,-,23,Python,2.7,109,-,0,-,-,-15,6,-,-,3098,-,-,-,-
ONP,0,0.00,0.00,137,C++,-,108,0,0,0,0,0,15,0,0,38080,-,-,2404,0.00
Pasqual45,-,-,-,214,C++,-,167,-,1,-,-,-1,2,-,-,-,-,-,-,-
PavelKunyavskiy,-,-,-,218,C++,-,149,-,0,-,-,-15,4,-,-,55400,-,-,-,-
PiNtoS,-,-,-,27,C++,-,168,-,1,-,-,-1,6,-,-,-,-,-,-,-
Plagapong,0,0.00,0.00,15,C++,-,124,0,0,0,0,0,24,0,0,42936,-,-,2728,0.00
Polaris,0,0.01,0.00,21,Python,2.7,99,0,0,0,0,0,0,0,0,4154,-,-,6988,0.00
PyroVortex,0,0.03,0.00,11,C#,-,90,0,0,0,0,0,9,0,0,5632,-,-,11804,0.02
