user_id,avg_memory,wall_clock,system_time,blanks,avg_RAM,language,cloc,nbr_file_in,compiled,swap_main_memory,exit_code,comments,nbr_file_out,nbr_page_faults,exe_size,compiler_version,compile_error_msg,run_error_msg,max_RAM,user_time
0alex,0,0.00,0.00,24,0,C++,136,0,0,0,0,13,0,0,37744,-,-,-,2476,0.00
112atn323,0,0.04,0.00,6,0,Java,77,0,0,0,1,0,64,0,2608,-,-,java,21408,0.03
1NCID3R,0,0.00,0.00,9,0,C++,59,0,0,0,0,0,0,0,9864,-,-,-,2280,0.00
2jjy,0,0.00,0.00,1,0,C++,55,0,0,0,0,0,0,0,9512,-,-,-,2516,0.00
354898002,0,0.00,0.00,54,0,C++,68,0,0,0,0,236,0,0,9960,-,-,-,2676,0.00
4ameleon,-,-,-,10,-,C#,50,-,1,-,-1,0,-,-,-,-,: Program `Program.exe' does not contain a static `Main' method suitable for an ,-,-,-
551100kk,0,0.00,0.00,2,0,C++,49,0,0,0,0,2,0,0,40448,-,-,-,2676,0.00
ACMonster,0,0.00,0.00,10,0,C++,114,0,0,0,0,1,0,0,18720,-,-,-,2552,0.00
ACgege,0,0.00,0.00,37,0,C++,119,0,0,0,0,15,0,0,21400,-,-,-,2748,0.00
AJ721,0,0.04,0.00,20,0,Java,204,0,0,0,1,18,64,0,4139,-,-,jav,21560,0.04
ARechitsky,0,0.04,0.00,22,0,Java,142,0,0,0,1,5,64,0,1612,-,-,jav,21612,0.04
ASotelo,0,0.04,0.00,2,0,Java,110,0,0,0,1,5,64,0,4716,-,-,java,21396,0.04
Abscp,0,0.00,0.00,2,0,C++,34,0,0,0,0,0,0,0,9344,-,-,-,2612,0.00
AcmerArthur,0,0.00,0.00,1,0,C++,66,0,0,0,0,0,8,0,18888,-,-,-,2588,0.00
AcrossTheSky,0,9.66,0.00,7,0,C++,152,0,0,0,0,1,0,0,23408,-,-,-,2684,7.04
Action,-,-,-,1,-,C#,91,-,0,-,1,0,-,-,4608,-,-,: System.IO.FileNotFoundException,-,-
AhmadMamdouh,0,0.67,0.03,13,0,Java,111,0,0,0,0,2,72,0,2502,-,-,-,156272,0.66
