user_id,penalty,points,rank
..math,6263,55,761
.PEIN.,4602,34,1527
.tJ,7660,55,916
11122976,8168,55,972
112atn323,8297,83,213
123qws,8899,100,161
201101050424,6948,25,2154
2IhJKjRRfkGol3Ts5XZ,7469,25,2182
2wsx2wsx2wsx,6678,55,817
3bdelra7man,1813,8,2511
3edgy6u,4145,8,2908
3of7,6428,34,1558
4rias,1258,8,2467
551100kk,3595,55,407
7HM,4066,8,2891
ACPrimer,7296,38,1372
ACgege,8610,34,1618
ACing,7020,38,1352
ADA,5801,38,1299
AEtheReal,7324,100,100
AIME15,5732,70,239
AMahdy,4211,25,1940
ASotelo,4325,34,1520
AVictor,4773,55,560
Aad,2176,25,1804
AbandonZHANG,3446,8,2783
Abesy,2607,8,2635
Abot,6501,45,1126
AdamR,3879,8,2849
Adonais,2445,25,1821
Aerodonkey,7859,55,940
Ahbong,6048,55,731
AhmadMamdouh,8580,38,1443
Ahmed.Ossama,5220,38,1255
AidaoChen,7741,38,1404
Ajlohr,6345,55,775
Akash.ru,2872,8,2680
Aksenov239,8012,55,955
AlanC,3200,55,368
Aletos,3351,25,1885
Alex.CHS,7896,70,246
AlexandrTolstykh,4246,8,2925
Alextrovert,2265,8,2580
Alfblaze,3555,8,2806
AlonH,6905,25,2151
AlphardWang,4922,30,1665
Altynai.me,2837,8,2675
AlvinChow,3311,25,1878
Amirnasr,5311,55,647
Amitjf,4445,25,1965
Amtrix,8224,25,2237
Amzaz,4886,8,3025
Anardael,7335,55,881
Andremfq,6327,55,773
AndrewNguyen,3901,8,2854
AndyBloch,6987,45,1131
Angor,6441,55,783
AngryBacon,2538,55,321
Annaqeeb,4277,25,1944
Anta0,7047,100,89
AntiForest,8891,100,159
Anton.Hola,7451,34,1588
Anton.Lunyov,3735,55,430
AnuarTB,2651,8,2646
Anudeep2011,6605,38,1329
Anur,2594,8,2631
ArcherShot,6301,55,768
Archimedean,2233,25,1806
Arcturus,8870,100,158
Ardem,3736,25,1911
Are.You.OK,6712,38,1336
Argaen,1891,8,2524
Ariza,1810,8,2510
Arktus,5857,25,2076
Arorua,5401,30,1671
Aros,6745,55,823
Arseniy.,3960,8,2865
Arterm,1846,55,276
Artifere,9557,55,1085
Artix,3279,9,2413
Arup,7020,79,227
Astein,4068,55,468
Atol,5513,55,677
AugustusLi,4084,25,1933
Aurel,1761,45,1111
Aussiroth,6634,45,1130
AvinFernando,2448,8,2611
AxiomOfChoice,6513,17,2340
Azat,7421,38,1379
BD777,1554,25,1781
BMF,9511,34,1634
BSBandme,6116,38,1313
BabaninIvan,2858,55,338
Baoge,6317,55,771
Baras,6374,25,2097
BarsukAlexey,7558,25,2185
Barty,5927,55,717
BassWu,6727,17,2342
BatusaiX,6983,17,2352
Bebe,8627,25,2254
BelaRacz,8088,100,126
BellyWhite,5945,55,718
Belonogov,4796,38,1242
Belovp,5728,34,1541
Benjamin.Li,6542,25,2118
Betlista,7667,38,1396
Bew,7984,34,1599
Bidhan,1414,8,2478
BigWaterMan,7281,34,1581
Bigfoot,8350,30,1746
Bigmac,8583,38,1446
Blinken,4900,25,2000
Blue.Bear,7182,38,1360
BlueFish,6011,34,1548
BlueGene,3309,38,1183
BobobUnicorn,4450,8,2960
BogoSort,4535,38,1233
BoojumSnark,1581,25,1782
Boping,7747,38,1405
Bossle,1232,8,2466
Bounsy,4888,8,3026
Boxer,5603,38,1284
BreathOfZen,4773,8,3007
Brian.P,7747,25,2203
BrianKuo,3895,8,2853
BryceSandlund,6824,25,2143
BubuDady,4654,8,2988
BudgieInWA,8178,34,1603
BwaKell,4205,55,496
CAQ,8600,34,1617
CHRIST,6903,30,1708
CLDP,4150,100,9
CS.Ferng,8584,83,215
