user_id,avg_memory,wall_clock,system_time,blanks,language,compiler_version,cloc,nbr_file_in,compiled,swap_main_memory,avg_RAM,exit_code,comments,nbr_file_out,nbr_page_faults,exe_size,compile_error_msg,run_error_msg,max_RAM,user_time
0673nC,-,-,-,70,C++,-,58,-,0,-,-,-1,2,-,-,32512,-,-,-,-
0x42,0,0.11,0.00,28,Java,-,63,0,0,0,0,0,1,72,0,2339,-,-,32468,0.12
0x636c7700,0,0.00,0.00,1,C,-,52,0,0,0,0,139,0,0,0,8136,-,-,1408,0.00
1ed,0,0.04,0.00,15,Java,-,93,0,0,0,0,1,7,64,0,2348,-,java,21556,0.03
1guangnian,-,-,-,72,C++,-,65,-,0,-,-,-1,5,-,-,17160,-,-,-,-
2rf,0,0.14,0.00,18,Java,-,114,0,0,0,0,0,3,72,0,3668,-,-,30420,0.13
357,0,0.00,0.00,2,C,-,43,0,0,0,0,0,0,0,0,7848,-,-,1376,0.00
4ameleon,0,0.02,0.00,12,C#,-,49,0,0,0,0,0,0,0,0,3584,-,-,11200,0.02
88844452999,0,0.04,0.00,12,Java,-,91,0,0,0,0,1,3,64,0,2605,-,java,21512,0.04
ACSeed,-,-,-,85,C++,-,76,-,0,-,-,-1,7,-,-,53160,-,-,-,-
ACube,-,-,-,72,C++,-,48,-,0,-,-,-1,0,-,-,17520,-,-,-,-
AHdoc,-,-,-,8,C++,-,39,-,0,-,-,-1,0,-,-,17672,-,-,-,-
AIgen,-,-,-,53,C++,-,43,-,0,-,-,-1,0,-,-,17720,-,-,-,-
AJK,-,-,-,2,C++,-,63,-,0,-,-,-1,0,-,-,19720,-,-,-,-
AK93,-,-,-,56,C++,-,53,-,0,-,-,-1,0,-,-,28664,-,-,-,-
AKM,-,-,-,50,C++,-,46,-,1,-,-,-1,0,-,-,-,not declared,-,-,-
AMM,-,-,-,3,Python,2.7,21,-,0,-,-,-15,0,-,-,1013,-,Timeout,-,-
APP,-,-,-,8,C++,-,60,-,0,-,-,-1,8,-,-,37360,-,-,-,-
ASotelo,0,0.04,0.00,2,Java,-,44,0,0,0,0,1,5,64,0,3238,-,java,21488,0.03
Abeja,0,0.00,0.00,26,Python,2.7,45,8,0,0,0,0,34,0,0,2189,-,-,6376,0.00
Abhinav2107,-,-,-,0,C++,-,92,-,0,-,-,-1,6,-,-,13024,-,-,-,-
Abon,0,0.00,0.00,6,C,-,44,0,0,0,0,0,0,0,0,7616,-,-,1340,0.00
Acev,-,-,-,11,C++,-,64,-,1,-,-,-1,2,-,-,-,not declared,-,-,-
Action,-,-,-,1,C#,-,80,-,0,-,-,1,0,-,-,4608,-,: System.IO.FileNotFoundException,-,-
AekdyCoin,-,-,-,61,C++,-,58,-,0,-,-,-1,1,-,-,16920,-,-,-,-
Aerodonkey,-,-,-,12,C++,-,92,-,0,-,-,-1,0,-,-,33912,-,-,-,-
Ailish,-,-,-,11,C++,-,55,-,0,-,-,-1,0,-,-,25232,-,-,-,-
Akai,-,-,-,46,C++,-,32,-,0,-,-,-1,2,-,-,16856,-,-,-,-
Akathorn,0,0.05,0.00,15,Python,2.7,34,8,0,0,0,0,4,0,0,1810,-,-,19532,0.04
Akigeor,-,-,-,42,C++,-,43,-,0,-,-,-1,0,-,-,16648,-,-,-,-
Akim,-,-,-,3,C++,-,33,-,0,-,-,-1,0,-,-,28376,-,-,-,-
Aksenov239,0,0.05,0.00,22,Java,-,79,0,0,0,0,1,0,64,0,2652,-,java,21392,0.04
AlTimin,0,0.02,0.00,4,Python,2.7,21,8,0,0,0,0,1,0,0,1136,-,-,6544,0.01
Alan,-,-,-,36,C++,-,36,-,0,-,-,-1,0,-,-,16336,-,-,-,-
AlanC,-,-,-,68,C++,-,44,-,0,-,-,-1,0,-,-,16504,-,-,-,-
AlexLin,0,0.04,0.00,4,Python,2.7,24,8,0,0,0,0,0,0,0,1074,-,-,6656,0.04
AlexTolstov,-,-,-,18,Java,-,82,-,0,-,-,-15,3,-,-,2830,-,Timeout,-,-
Aliaksei,-,-,-,60,C++,-,51,-,0,-,-,-1,0,-,-,28024,-,-,-,-
AliakseiCharnevich,-,-,-,66,C++,-,61,-,0,-,-,-1,0,-,-,33080,-,-,-,-
Alkemir,0,0.00,0.00,6,Python,2.7,29,0,0,0,0,0,0,0,0,1128,-,-,6444,0.00
