user_id,avg_memory,wall_clock,system_time,blanks,language,compiler_version,cloc,nbr_file_in,compiled,swap_main_memory,avg_RAM,exit_code,comments,nbr_file_out,nbr_page_faults,exe_size,compile_error_msg,run_error_msg,max_RAM,user_time
10561066,0,0.00,0.00,10,C, lm ,72,0,0,0,0,0,5,0,0,8480,-,-,1348,0.00
1311126312,0,0.06,0.00,0,Python,2.7,42,0,0,0,0,0,0,8,0,1136,-,-,6444,0.06
20100,0,0.02,0.00,4,Python,3.5,18,0,0,0,0,0,0,0,0,932,-,-,7780,0.02
213r,0,0.01,0.00,7,Python,2.7,28,8,0,0,0,0,0,0,0,1440,-,-,6332,0.00
37ae912,-,-,-,23,C++,-,56,-,0,-,-,-1,2,-,-,10088,-,-,-,-
74th,0,0.99,0.00,22,Python,2.7,40,8,0,0,0,0,3,0,0,1652,-,-,6672,0.98
9mat,-,-,-,15,C++,-,53,-,0,-,-,-1,0,-,-,11144,-,-,-,-
ACSeed,-,-,-,1,C++,-,55,-,0,-,-,-1,0,-,-,10424,-,-,-,-
ACing,-,-,-,79,C++,-,60,-,0,-,-,-1,4,-,-,9440,-,-,-,-
ADJA,-,-,-,87,C++,-,62,-,0,-,-,-1,0,-,-,32376,-,-,-,-
AIgen,-,-,-,67,C++,-,46,-,0,-,-,-1,3,-,-,10792,-,-,-,-
AK93,-,-,-,54,C++,-,44,-,0,-,-,-1,0,-,-,10512,-,-,-,-
AKAgrawal,0,0.05,0.00,4,C#,-,54,0,0,0,0,0,0,8,0,4096,-,-,13928,0.04
AKim,-,-,-,47,C++,-,44,-,0,-,-,-1,0,-,-,9792,-,-,-,-
AM51,-,-,-,50,C++,-,44,-,0,-,-,-1,4,-,-,15368,-,-,-,-
AMM,0,0.01,0.00,3,Python,2.7,37,0,0,0,0,0,0,8,0,1329,-,-,6280,0.01
AS1,-,-,-,8,C++,-,56,-,0,-,-,-1,0,-,-,17944,-,-,-,-
AYoungProgrammer,-,-,-,57,C++,-,36,-,0,-,-,-1,3,-,-,10976,-,-,-,-
AashishT,0,0.03,0.00,13,C,-,62,0,0,0,0,0,4,0,0,7632,-,-,1440,0.01
Abacist,-,-,-,66,C++,-,52,-,0,-,-,-1,0,-,-,9552,-,-,-,-
Abdenago,0,0.04,0.00,4,Java,-,52,0,0,0,0,1,4,64,0,1833,-,java,21368,0.04
AbsentMoniker,0,0.00,0.00,2,Python,2.7,34,8,0,0,0,1,1,0,0,1247,-,Unknown,6312,0.00
Acev,-,-,-,69,C++,-,50,-,0,-,-,-1,1,-,-,11000,-,-,-,-
AdGold,-,-,-,4,C++,-,54,-,0,-,-,-1,2,-,-,27200,-,-,-,-
Adac,0,0.01,0.00,37,Python,2.7,106,0,0,0,0,0,4,8,0,4106,-,-,6924,0.00
AekdyCoin,-,-,-,32,C++,-,33,-,0,-,-,-1,0,-,-,7824,-,-,-,-
Aerodonkey,-,-,-,12,C++,-,95,-,0,-,-,-1,2,-,-,12352,-,-,-,-
Agentchuck,-,-,-,13,C++,-,77,-,0,-,-,-1,9,-,-,13040,-,-,-,-
AhmedSalem,-,-,-,76,C++,-,53,-,0,-,-,-1,5,-,-,10224,-,-,-,-
AjJi,-,-,-,98,C++,-,82,-,0,-,-,-1,0,-,-,14120,-,-,-,-
Akerfeldt,-,-,-,17,C,-,76,-,1,-,-,-1,0,-,-,-,-,-,-,-
Akeru,-,-,-,12,C++,-,72,-,0,-,-,-1,0,-,-,10472,-,-,-,-
AlbertoLCS,-,-,-,75,C++,-,62,-,0,-,-,-1,3,-,-,13304,-,-,-,-
Aldelo,-,-,-,28,C#,-,97,-,1,-,-,-1,59,-,-,-,: The name `Helpers' does not exist in the current context ,-,-,-
Aleksander,-,-,-,110,C++,-,69,-,0,-,-,-1,2,-,-,10008,-,-,-,-
AlexBovk,-,-,-,57,C++,-,40,-,1,-,-,-1,0,-,-,-,Unknown error,-,-,-
AlexTolstov,0,0.15,0.00,15,Java,-,80,0,0,0,0,0,0,64,0,2777,-,-,27656,0.13
AlexanderBolshakov,0,0.06,0.00,17,Java,-,101,0,0,0,0,0,0,72,0,2669,-,-,22880,0.05
Aliaksei,-,-,-,81,C++,-,68,-,0,-,-,-1,0,-,-,17648,-,-,-,-
AliakseiCharnevich,-,-,-,70,C++,-,69,-,0,-,-,-1,0,-,-,12008,-,-,-,-
Alias,-,-,-,133,C++,-,112,-,0,-,-,-1,0,-,-,35856,-,-,-,-
AlirezaN,-,-,-,52,C++,-,43,-,0,-,-,-1,1,-,-,11680,-,-,-,-
Alligator,0,0.01,0.00,24,C#,-,130,0,0,0,0,1,5,0,0,5120,-,: System.IndexOutOfRangeException,9960,0.01
Alon,0,0.00,0.00,3,Python,2.7,23,0,0,0,0,0,1,0,0,1088,-,-,6408,0.00
AlonH,0,0.04,0.01,6,Java,-,47,0,0,0,0,0,4,64,0,1974,-,-,21464,0.03
AlonsoVidales,0,0.67,0.00,12,Python,2.7,37,8,0,0,0,0,1,0,0,2168,-,-,6812,0.66
Alys88,0,0.00,0.00,12,Python,2.7,42,8,0,0,0,2,10,0,0,2299,-,Unknown,6504,0.00
AmanJain,-,-,-,108,C++,-,92,-,0,-,-,-1,4,-,-,12336,-,-,-,-
AmanS,-,-,-,33,C++,-,34,-,0,-,-,-1,0,-,-,23168,-,-,-,-
AmazingCaddy,-,-,-,60,C++,-,50,-,0,-,-,-1,2,-,-,10016,-,-,-,-
AmbBAI,-,-,-,71,C++,-,50,-,0,-,-,-1,1,-,-,8352,-,-,-,-
Ambling,-,-,-,86,C++,-,60,-,0,-,-,-1,2,-,-,39136,-,-,-,-
Anarivu,-,-,-,98,C++,-,66,-,0,-,-,-1,1,-,-,23856,-,-,-,-
Andfive,-,-,-,75,C++,-,61,-,0,-,-,-1,0,-,-,22744,-,-,-,-
AndreySiunov,-,-,-,102,C++,-,82,-,0,-,-,-1,1,-,-,12208,-,-,-,-
AndyBloch,-,-,-,13,C++,-,78,-,0,-,-,-1,8,-,-,12864,-,-,-,-
AndyPanda,-,-,-,39,C++,-,35,-,0,-,-,-1,0,-,-,11528,-,-,-,-
AngryBird1234,-,-,-,67,C++,-,53,-,0,-,-,-1,6,-,-,11968,-,-,-,-
AnnieKim,-,-,-,81,C++,-,68,-,1,-,-,-1,0,-,-,-,Unknown error,-,-,-
ArchVince,0,0.02,0.00,10,C#,System.Numerics,56,0,0,0,0,1,0,0,0,4096,-,: System.IndexOutOfRangeException,9860,0.01
Arios,-,-,-,66,C++,-,52,-,0,-,-,-1,0,-,-,9688,-,-,-,-
Ariza,-,-,-,68,C++,-,63,-,0,-,-,-1,1,-,-,10552,-,-,-,-
Armavica,0,0.00,0.00,4,Python,2.7,21,8,0,0,0,0,1,0,0,894,-,-,6448,0.00
ArthurExcb,-,-,-,64,C++,-,58,-,0,-,-,-1,2,-,-,9872,-,-,-,-
Arti1990,-,-,-,101,C++,-,67,-,0,-,-,-1,2,-,-,10152,-,-,-,-
Augustyn,0,0.08,0.00,8,Java,-,38,0,0,0,0,0,5,64,0,1630,-,-,28900,0.08
AutomaticHourglass,-,-,-,146,C++,-,119,-,0,-,-,-1,2,-,-,29064,-,-,-,-
AvinFernando,-,-,-,29,C#,-,176,-,-1,-,-,-1,4,-,-,-,Unknown,-,-,-
AzorAhai,-,-,-,69,C++,-,49,-,0,-,-,-1,16,-,-,10712,-,-,-,-
BHAVANI,-,-,-,4,C++,-,84,-,0,-,-,-1,2,-,-,26416,-,-,-,-
BMF,0,0.08,0.01,4,Java,-,32,0,0,0,0,0,1,64,0,1559,-,-,24672,0.06
Baekjoon,-,-,-,0,C++,-,37,-,0,-,-,-1,0,-,-,7656,-,-,-,-
Baker,-,-,-,172,C++,-,108,-,0,-,-,-1,14,-,-,16992,-,-,-,-
BananaTree,-,-,-,72,C++,-,65,-,0,-,-,-1,1,-,-,23224,-,-,-,-
Basha133,-,-,-,126,C++,-,78,-,0,-,-,-1,26,-,-,20664,-,-,-,-
Baster,-,-,-,92,C++,-,73,-,0,-,-,-1,0,-,-,10512,-,-,-,-
Batbaatar,0,2.24,0.00,3,Python,2.7,20,8,0,0,0,0,0,0,0,1139,-,-,6548,2.23
Belag,0,0.07,0.00,8,Java,-,44,0,0,0,0,0,0,72,0,1648,-,-,24532,0.07
BennyCarina,-,-,-,57,C++,-,45,-,0,-,-,-1,1,-,-,10696,-,-,-,-
Beriand,-,-,-,68,C++,-,40,-,0,-,-,-1,0,-,-,10072,-,-,-,-
BertLeung,-,-,-,4,C++,-,36,-,0,-,-,-1,0,-,-,9384,-,-,-,-
Betlista,0,0.13,0.01,9,Java,-,62,0,0,0,0,0,0,64,0,2286,-,-,56872,0.12
Bew,-,-,-,73,C++,-,69,-,0,-,-,-1,2,-,-,9568,-,-,-,-
Bidhan,-,-,-,50,C++,-,84,-,0,-,-,-1,4,-,-,10520,-,-,-,-
Binnie,0,0.00,0.00,3,Python,2.7,33,0,0,0,0,0,0,0,0,1279,-,-,6432,0.00
Bipo,-,-,-,9,C++,-,36,-,0,-,-,-1,2,-,-,10848,-,-,-,-
Bizon,-,-,-,4,C++,-,40,-,0,-,-,-1,0,-,-,25096,-,-,-,-
BlackHole,0,0.05,0.01,9,Java,-,65,0,0,0,0,1,0,64,0,1806,-,jav,21448,0.03
