user_id,blanks,comments,language,cloc
orbby,23,4,C++,118
Dlougach,3,0,C++,74
Ixanezis,24,0,C++,103
polmauri,16,5,C++,116
cpphamza,22,8,C++,117
luvlubb,0,13,C++,120
JaapB,10,1,java,100
Wolfje,22,11,java,153
Nyatl,29,0,C++,168
dalex,22,7,java,184
bayleef,8,0,C++,106
GarrettHall,11,2,java,90
Lathentar,33,14,C++,194
yvasyliv,11,2,C++,92
zyz915,6,0,C++,91
Kosie,26,4,Python,80
romanandreev,7,0,C++,114
pmnox,9,3,C++,71
uwi,20,29,java,160
issue9,17,16,C++,75
Koyaah,26,5,java,191
SobolS,20,0,C++,103
Tomo,18,0,C++,83
Gassa,13,5,C++,102
Swrrt,1,0,C++,83
syco,12,0,C++,67
SergiuHlihor,25,4,java,141
sadkangaroo,14,0,C++,100
Matej,12,34,C++,79
cmd,20,5,C++,117
VitalyGoldstein,15,1,C++,89
mathewsb,12,7,Python,67
megaterik,31,2,java,213
domeng,3,0,C++,88
methane,8,1,Python,47
Psyho,16,0,C++,79
fuqinho,14,3,C++,77
lookingfor,14,0,C++,113
elguog,12,0,C++,87
IvayloS,1,10,C++,167
WJMZBMR,15,0,C++,118
PaulJefferys,48,0,C++,113
a180285,25,46,C++,137
mdragus,9,0,Python,57
Assaron,33,6,C++,96
johny42,13,10,C++,70
rafaeldaigo,6,8,C++,139
Weeble,8,4,Python,63
Smithers,7,0,C,139
Capp,11,4,Python,61
tolk,2,8,java,193
WXYZ,0,0,C++,132
jaaro,21,0,C++,88
ania7,13,5,C++,96
Starvae,6,1,C++,107
andrewzta,22,1,java,151
devurandom,13,4,C++,91
tkociumaka,15,7,C++,100
meshanya,6,0,C++,88
along,12,3,C,90
Marte,2,0,Python,55
Silence,3,0,java,81
lidaobing,12,3,Python,49
jamu,25,1,java,116
santjuan,8,0,java,91
Lutyj,24,0,C++,62
AlTimin,13,0,C++,115
proscriptus,10,0,C++,141
skrzypl1,46,2,C#,217
dcposch,22,33,java,130
Nooodles,16,5,Python,74
IlyaMSU,9,2,C++,130
RoBa,5,2,C++,90
Lytton,12,2,C++,119
linyufly,11,23,C++,84
alyaxey,11,0,C++,81
pashkal,18,1,java,109
einstand,26,0,java,168
MrRoach,13,0,C++,102
ronnodas,2,1,Python,38
kdalex,11,9,C++,85
npinsker,12,0,C++,69
jughead,15,2,C++,169
IElenik,21,13,C++,167
fhlasek,7,1,C++,61
makhan,7,0,C++,119
kk420,13,0,C++,106
JaNo,16,3,C++,109
iPeter,3,7,C++,73
malcolm734,15,0,C++,208
lxhgww,7,0,C++,79
hynek,5,18,C++,119
hillboy,18,0,C++,115
chousan,3,0,C++,111
ballonguy,15,0,C++,99
1nadequacy,22,0,C++,105
YaoJinyu,8,2,C++,94
clemvn,13,12,Python,63
Dagon,16,1,C++,176
Quilan,22,29,Python,84
coolzzz,7,0,C++,113
Gene53,15,21,java,380
aram90,3,8,C++,114
SmileIJP,13,3,java,133
svick,2,43,C#,0
incrementaldramaqueen,7,3,C++,79
DeCowboy,31,0,C++,86
kitamasa,6,3,C++,76
KyleLau,1,2,C++,99
Tym,17,1,java,69
StephYDX,8,2,C++,105
ulzha,24,10,C++,91
Amtep,16,0,C++,134
bengedy,12,0,C++,76
plamenko,14,18,C++,84
Atol,18,7,C++,118
hedonist,16,11,C,125
nunocordeiro,48,16,Python,172
FedePousa,10,7,C++,90
matias,9,1,C++,71
zhujiaye,4,0,C++,95
