user_id,syatem_time,wall_clock,blanks,avg_memory,language,compiler_version,cloc,nbr_file_in,compiled,swap_main_memory,avg_RAM,exit_code,comments,nbr_file_out,nbr_page_faults,max_RAM,user_time
nasadigital,0.00,0.00,5,0,C++,-,81,0,0,0,0,0,0,0,0,2640,0.00
jasbir,0.00,0.00,10,0,C++,-,52,0,0,0,0,0,7,0,0,2600,0.00
zyxxiao,0.00,0.00,10,0,C++,-,69,0,0,0,0,0,14,0,0,2632,0.00
Tedday,0.00,0.00,6,0,Python,2.7,34,0,2,0,0,2,1,0,0,6136,0.00
prerakd,0.00,0.05,11,0,java,-,79,0,1,0,0,1,6,64,0,21788,0.04
gabray,0.00,0.00,7,0,C++,-,48,0,0,0,0,0,0,0,0,2608,0.00
yonii,0.01,0.08,6,0,java,-,57,0,0,0,0,0,0,64,0,29940,0.08
ka4tik,-,-,18,-,java,-,142,-,-1,-,-,-1,6,-,-,-,-
smilechenxing,0.00,0.00,14,0,C++,-,116,0,0,0,0,0,4,0,0,2604,0.00
tochukaso,0.00,0.05,14,0,java,-,84,0,0,0,0,0,8,64,0,21908,0.04
yfo,0.00,0.05,19,0,java,-,108,0,1,0,0,1,0,64,0,21588,0.04
qingtengmuniao,-,-,7,-,C++,-,37,-,-1,-,-,-1,0,-,-,-,-
catprogrammer,0.00,0.00,3,0,C++,-,39,0,0,0,0,0,0,8,0,2960,0.00
AmrAlaa,-,-,5,-,C++,-,68,-,-15,-,-,-15,4,-,-,-,-
pparwal12,0.00,0.00,13,0,C++,-,87,0,0,0,0,0,16,0,0,2632,0.00
jaysukr,0.00,0.00,12,0,C++,-,99,0,0,0,0,0,1,0,0,2548,0.00
BlueFish,0.00,0.00,3,0,Python,2.7,17,0,2,0,0,2,0,0,0,6224,0.00
taxicoo,0.00,0.00,12,0,C++,-,55,0,0,0,0,0,0,0,0,2592,0.00
dbradac,0.00,0.00,15,0,C++,-,55,0,0,0,0,0,0,0,0,2620,0.00
TDelacroix,0.00,0.01,26,0,Python,3.5,48,0,2,0,0,2,4,0,0,7156,0.01
mazycode,0.00,0.00,0,0,C++,-,76,0,0,0,0,0,0,0,0,2216,0.00
psalios,0.00,0.01,13,0,C++,-,63,0,0,0,0,0,0,816,0,2480,0.00
jfrohnhofen,-,-,13,-,C++,-,47,-,-1,-,-,-1,0,-,-,-,-
Jirachi,0.00,0.00,3,0,C++,-,35,0,0,0,0,0,0,0,0,2624,0.00
JohnPeter,0.00,0.00,9,0,C++,-,46,0,0,0,0,0,0,0,0,2544,0.00
ferkoa,0.00,0.04,16,0,java,-,81,0,1,0,0,1,7,64,0,21788,0.04
jinbaodong,0.00,0.00,0,0,C++,-,68,0,0,0,0,0,0,0,0,2616,0.00
jmcw,0.00,0.01,12,0,Python,2.7,34,8,0,0,0,0,0,0,0,6596,0.00
poerty,0.00,0.00,1,0,C++,-,55,0,0,0,0,0,0,8,0,2304,0.00
claire,0.00,0.00,2,0,C++,-,43,0,0,0,0,0,0,0,0,2756,0.00
cowseatbananas,0.00,0.00,11,0,C++,-,104,0,0,0,0,0,0,0,0,2620,0.00
framalex,0.00,0.06,12,0,java,-,78,0,1,0,0,1,0,64,0,21820,0.06
zeppelin97,0.00,0.00,0,0,C++,-,58,0,134,0,0,134,0,0,0,2696,0.00
Chaitype,0.00,0.04,11,0,java,-,74,0,1,0,0,1,0,64,0,21640,0.04
EscapeGuy,0.01,0.08,3,0,java,-,51,0,0,0,0,0,0,64,0,25236,0.07
softmob,0.00,0.00,2,0,C++,-,71,0,134,0,0,134,0,0,0,2688,0.00
vinsy91,0.00,0.05,14,0,java,-,119,0,1,0,0,1,4,64,0,21760,0.04
