2453486,2270488
5686313294495744,11254486
1485488,1836486
5769900270288896,8224486
5708921029263360,4314486
5658068650033152,3004486
2751486,2437488
5731331665297408,2994486
2755486,2437488
5708284669460480,4244486
5634697451274240,6254486
1674486,1781488
5709773144064000,2974486
5648941810974720,11254486
5669245564223488,3004486
5765824346324992,4224486
2463486,2270488
1483488,1460488
2692487,2434486
5670465267826688,6224486
5752104073297920,2984486
5744014401732608,4314486
2700486,2434486
2749486,2437488
5652388522229760,6254486
1480487,1836486
5695413893988352,11254486
5766201229705216,2984486
5751500831719424,2994486
2705486,2434486
5658571765186560,6224486
5688567749672960,8224486
6404600001200128,4224486
2464487,2418487
5756407898963968,2974486
1480492,1645485
5640146288377856,4244486
5658282861527040,2994486
1485490,1781488
5690574640250880,2974486
5639104758808576,6224486
5706278382862336,3004486
1483485,1460488
5636311922769920,6254486
1673486,1645485
1595491,1460488
2645486,2418487
5630113748090880,4304486
5631989306621952,4304486
1285485,1460488
5646553574277120,4244486
2458486,2270488
2449486,2270488
5631572862566400,4304486
5662291475300352,8224486
1484496,1836486
1482492,1781488
5738606668808192,6254486
2652486,2418487
5644738749267968,2974486
5634947029139456,2984486
6377668744314880,4224486
5686275109552128,6224486
1482494,1645485
5753053697277952,4314486
