user_id,avg_memory,wall_clock,system_time,blanks,compiler_version,language,cloc,nbr_file_in,compiled,swap_main_memory,avg_RAM,exit_code,comments,nbr_file_out,nbr_page_faults,exe_size,compile_error_msg,run_error_msg,max_RAM,user_time
skrzypl1,-,-,-,29,-,C#,92,-,1,-,-,-1,0,-,-,-,: The type or namespace name `NUnit' could not be found. Are you missing an asse,-,-,-
skyler,0,0.00,0.00,3,-,C++,42,0,0,0,0,0,0,0,0,12384,-,-,2592,0.00
slex,0,0.04,0.00,10,-,Java,63,0,0,0,0,1,1,72,0,2950,-,java.io.FileNotFoundException:,23564,0.03
smapson,0,0.00,0.00,1,2.7,Python,16,8,0,0,0,0,0,0,0,718,-,-,6676,0.00
snowycards,0,2.63,0.00,31,-,C++,139,0,0,0,0,0,5,0,0,32576,-,-,2612,2.62
softmob,0,0.56,0.01,6,-,C++,78,0,0,0,0,0,0,944,0,45328,-,-,2636,0.54
sohelH,0,0.00,0.00,8,-,C++,52,0,0,0,0,0,0,0,0,33056,-,-,2552,0.00
sokian,0,0.55,0.00,13,-,C++,91,0,0,0,0,0,0,0,0,49328,-,-,8912,0.55
solotzg,0,0.00,0.00,1,-,C++,83,0,0,0,0,0,2,0,0,36768,-,-,2512,0.00
songman,0,0.00,0.00,17,-,C++,55,0,0,0,0,0,0,0,0,21920,-,-,2640,0.00
sopankhosla,0,0.00,0.00,6,-,C++,78,0,0,0,0,0,0,0,0,9552,-,-,2744,0.00
sorrow17,0,0.01,0.00,3,2.7,Python,23,8,0,0,0,0,0,8,0,1127,-,-,6688,0.00
souvikkrm,0,0.00,0.00,0,-,C++,73,0,0,0,0,0,0,0,0,9752,-,-,2672,0.00
spiderbatman,-,-,-,4,-,C++,48,-,0,-,-,-15,0,-,-,34000,-,Timeout,-,-
spower,0,0.00,0.00,1,-,C++,79,0,0,0,0,0,0,0,0,10128,-,-,2528,0.00
spy19,-,-,-,3,-,C++,42,-,0,-,-,-15,1,-,-,9872,-,Timeout,-,-
squidyj,-,-,-,37,-,Java,191,-,0,-,-,-1,18,-,-,2871,-,-,-,-
squizzz,0,0.06,0.01,13,-,Java,77,0,0,0,0,0,0,72,0,1163,-,-,26344,0.06
srcerror,-,-,-,37,System.Numerics,C#,124,-,0,-,-,1,344,-,-,5632,-,: System.IO.DirectoryNotFoundException,-,-
stalker,0,0.02,0.00,14,3.5,Python,35,0,0,0,0,0,3,0,0,2948,-,-,8220,0.01
staphaniek,0,0.00,0.00,0,-,C++,38,0,0,0,0,0,0,0,0,9520,-,-,2288,0.00
stefan,0,0.03,0.00,3,-,Java,71,0,0,0,0,1,0,72,0,1953,-,java.io.FileNotFoundException:,23748,0.03
stonekyx,0,0.00,0.00,6,-,C++,56,0,0,0,0,0,0,0,0,10632,-,-,2604,0.00
strawHat,0,0.00,0.00,6,-,C++,49,0,0,0,0,0,37,0,0,18904,-,-,2544,0.00
subhamdtu,0,0.00,0.00,16,-,C++,48,0,0,0,0,0,0,0,0,11056,-,-,2688,0.00
suika22,-,-,-,6,2.7,Python,43,-,0,-,-,1,10,-,-,1324,-,File or Dir not found,-,-
sumitbansal,0,0.00,0.00,6,-,C++,80,0,0,0,0,0,0,0,0,9816,-,-,2632,0.00
sunjie,0,0.00,0.00,5,-,C++,61,0,0,0,0,0,0,0,0,11424,-,-,2472,0.00
sunnn,0,0.00,0.00,22,-,C++,99,0,0,0,0,0,13,0,0,28344,-,-,2492,0.00
susobhang70,0,0.00,0.00,9,-,C++,71,0,0,0,0,0,1,0,0,10520,-,-,2744,0.00
swkj,0,0.12,0.01,17,-,Java,57,0,0,0,0,0,8,72,0,2662,-,-,29636,0.10
sygi,0,0.11,0.00,3,-,C++,79,0,0,0,0,0,0,0,0,39768,-,-,2768,0.10
szalivako,0,0.03,0.00,2,2.7,Python,40,8,0,0,0,0,1,0,0,1040,-,-,6720,0.03
szb640,0,0.00,0.00,4,2.7,Python,32,8,0,0,0,0,2,8,0,1574,-,-,7308,0.00
szekizoli,0,0.00,0.00,13,-,C++,81,0,0,0,0,0,0,0,0,28232,-,-,2492,0.00
tafa,0,0.06,0.00,18,-,C#,67,0,0,0,0,0,0,0,0,4608,-,-,11552,0.02
takonan,-,-,-,8,2.7,Python,44,-,0,-,-,-15,2,-,-,1646,-,Timeout,-,-
tananaev,0,0.04,0.00,27,-,Java,94,0,0,0,0,0,5,72,0,3131,-,-,23588,0.03
tanaysoley,0,0.10,0.01,9,-,Java,86,0,0,0,0,0,10,72,0,1838,-,-,27668,0.07
tanhao,0,0.00,0.00,0,2.7,Python,18,8,0,0,0,0,0,0,0,681,-,-,6740,0.00
tanin47,0,0.04,0.00,13,-,Java,61,0,1,0,0,1,0,72,0,2288,Unknown error,java.io.FileNotFoundException:,23752,0.04
tapan0007,-,-,-,4,-,C++,106,-,0,-,-,-15,7,-,-,22608,-,Timeout,-,-
taptarap,0,0.05,0.00,24,-,Java,62,0,0,0,0,0,2,72,0,2466,-,-,24520,0.04
taurus,0,0.02,0.00,7,3.5,Python,43,0,0,0,0,0,3,0,0,2281,-,-,8492,0.01
tcch,0,0.00,0.00,6,-,C++,54,0,0,0,0,0,6,0,0,51656,-,-,2628,0.00
teleport,0,0.00,0.00,4,-,C++,63,0,0,0,0,0,0,0,0,33432,-,-,2488,0.00
thefacetakt,0,0.00,0.00,2,-,C++,50,0,0,0,0,0,0,0,0,29320,-,-,2348,0.00
thermal,0,0.00,0.00,3,-,C++,43,0,0,0,0,0,1,0,0,11312,-,-,2480,0.00
thinred,0,0.00,0.00,7,2.7,Python,25,8,0,0,0,0,1,0,0,1292,-,-,6700,0.00
thundercracker,0,0.00,0.00,16,-,C++,49,0,0,0,0,0,1,0,0,8080,-,-,2276,0.00
tigger,0,0.00,0.00,16,-,C++,75,0,0,0,0,0,6,0,0,22360,-,-,2628,0.00
tigranh,0,0.00,0.00,7,-,C++,44,0,0,0,0,0,6,0,0,32728,-,-,2636,0.00
timdumol,0,3.05,0.00,20,-,C++,103,0,0,0,0,0,1,0,0,10024,-,-,2524,3.04
timrau,0,0.00,0.00,2,-,C++,57,0,0,0,0,0,0,0,0,31960,-,-,2636,0.00
tkociumaka,0,0.00,0.00,9,-,C++,64,0,0,0,0,0,0,0,0,37584,-,-,2508,0.00
tobielf,-,-,-,7,-,C++,61,-,1,-,-,-1,0,-,-,-,not declared,-,-,-
tommek,0,0.00,0.00,13,-,C++,65,0,0,0,0,0,2,0,0,11056,-,-,2584,0.00
tomoto,-,-,-,13,-,Java,55,-,0,-,-,0,1,-,-,2164,-,-,-,-
tonyk,0,0.00,0.00,11,-,C++,49,0,0,0,0,0,0,0,0,9912,-,-,2376,0.00
toony,-,-,-,11,-,C#,63,-,0,-,-,1,1,-,-,5120,""""""""""""""""""""""""""""""": Unexpected symbol `)'""""""""""""""", expecting `,"""""""""""""""' or ` ' """"""""""""""""""""""""""""""",: System.IO.DirectoryNotFoundException
torenord,0,0.01,0.00,8,2.7,Python,20,8,0,0,0,0,0,0,0,1089,-,-,7024,0.00
torfe,-,-,-,19,-,C#,145,-,-1,-,-,-1,0,-,-,-,Unknown,-,-,-
totoroXD,0,0.00,0.00,4,-,C++,50,0,0,0,0,0,4,0,0,16896,-,-,2624,0.00
tpablo,0,0.04,0.00,32,2.7,Python,132,16,0,0,0,2,2,0,0,7333,-,Unknown,22316,0.04
trainsick,0,0.00,0.00,5,-,C,37,0,0,0,0,0,7,0,0,9280,-,-,1420,0.00
trauzti,0,0.02,0.00,8,2.7,Python,33,8,0,0,0,0,28,0,0,1473,-,-,6968,0.00
trevorjoker,0,0.00,0.00,14,-,C++,86,0,0,0,0,134,0,0,0,18256,-,underflow error reading the file,2616,0.00
trinion,0,2.79,0.00,19,-,C++,110,0,0,0,0,0,4,0,0,9880,-,-,2356,2.78
triveni692,0,0.00,0.00,0,-,C++,22,0,0,0,0,0,0,0,0,10912,-,-,2376,0.00
trold,0,0.05,0.00,7,-,Java,75,0,0,0,0,1,0,72,0,2524,-,java.lang.ArrayIndexOutOfBoundsException:,23560,0.04
truckski,0,0.00,0.00,6,-,C++,56,0,0,0,0,0,5,0,0,9456,-,-,2364,0.00
trungpham90,0,0.04,0.00,39,-,Java,232,0,0,0,0,0,7,80,0,2545,-,-,24332,0.03
tsiki,0,0.01,0.00,9,2.7,Python,23,8,0,0,0,0,2,0,0,898,-,-,6784,0.00
tsuyo,0,0.04,0.00,12,-,Java,85,0,0,0,0,1,0,72,0,2531,-,java.io.FileNotFoundException:,23700,0.03
ttim,0,0.03,0.00,19,-,Java,114,0,0,0,0,1,2,72,0,666,-,java.io.FileNotFoundException:,23668,0.03
ttrkaya,0,4.85,3.02,15,-,C++,69,0,0,0,0,0,2,137320,0,20496,-,-,2500,1.80
tubo28,0,0.00,0.00,2,-,C++,67,0,0,0,0,0,6,0,0,28968,-,-,2752,0.00
tucasa,0,0.01,0.00,3,2.7,Python,19,8,0,0,0,0,7,0,0,1207,-,-,6648,0.00
tuweiliu,0,0.00,0.00,7,-,C++,96,0,1,0,0,127,0,0,0,-,Unknown error,Command not found,1416,0.00
tyamgin,0,0.00,0.00,5,-,C++,66,0,0,0,0,0,54,0,0,38400,-,-,2772,0.00
ufo008ahw,0,0.00,0.00,8,-,C++,49,0,0,0,0,0,0,0,0,17712,-,-,2476,0.00
uhateme,0,0.00,0.00,24,-,C++,95,0,0,0,0,0,33,0,0,35152,-,-,2332,0.00
ulna,0,0.00,0.00,4,-,C++,72,0,1,0,0,127,0,0,0,-,Unknown error,Command not found,1276,0.00
ulrikdem,0,0.00,0.00,3,-,C++,36,0,0,0,0,0,0,0,0,33512,-,-,2656,0.00
ulzha,0,0.00,0.00,7,-,C++,23,0,0,0,0,0,1,0,0,9936,-,-,2508,0.00
urusant,-,-,-,6,-,C++,111,-,0,-,-,-15,1,-,-,48096,-,Timeout,-,-
usaxena95,0,0.00,0.00,0,-,C++,37,0,0,0,0,0,14,0,0,10952,-,-,2464,0.00
vahid,0,0.07,0.00,9,-,Java,54,0,0,0,0,0,10,80,0,2090,-,-,27916,0.09
vaibhav123,-,-,-,6,-,C++,57,-,0,-,-,-15,11,-,-,9824,-,Timeout,-,-
valero,-,-,-,20,-,Java,142,-,0,-,-,-15,5,-,-,3711,-,Timeout,-,-
vanche,0,9.64,0.00,11,-,C++,59,0,0,0,0,0,2,0,0,37080,-,-,2352,9.64
vanchope,0,0.04,0.00,88,-,Java,414,0,0,0,0,1,92,72,0,4259,-,java.io.FileNotFoundException:,24264,0.03
vanjo9800,0,0.00,0.00,0,-,C++,83,0,0,0,0,0,0,0,0,24688,-,-,2496,0.00
vanyarubin,0,0.00,0.00,14,-,C++,110,0,0,0,0,0,2,0,0,50848,-,-,2552,0.00
varkor,0,0.03,0.00,8,2.7,Python,56,8,0,0,0,0,0,8,0,2216,-,-,8232,0.02
vaxyzek,-,-,-,10,2.7,Python,46,-,0,-,-,1,6,-,-,1821,-,File or Dir not found,-,-
vdzm,0,0.04,0.00,8,-,Java,109,0,0,0,0,1,5,72,0,1625,-,java.lang.NullPointerException,25508,0.04
venk13,0,0.00,0.00,3,-,C++,59,0,1,0,0,127,1,0,0,-,Unknown error,Command not found,1388,0.00
verschlafen,0,0.01,0.00,12,-,C++,75,0,0,0,0,0,0,0,0,44832,-,-,2612,0.00
vgao,-,-,-,4,-,C++,40,-,1,-,-,-1,0,-,-,-,expected primary-expression,-,-,-
viivalerio,0,0.01,0.00,23,-,C++,91,0,0,0,0,0,6,0,0,42936,-,-,2620,0.01
vijayarsenal10,0,0.00,0.00,16,-,C++,193,0,0,0,0,0,2,0,0,35624,-,-,2652,0.00
vishalkarve15,0,0.00,0.00,6,-,C++,51,0,0,0,0,0,0,0,0,17808,-,-,2580,0.00
visitorIKC,0,7.90,0.00,1,-,C++,74,0,0,0,0,0,5,0,0,10632,-,-,2512,7.89
vitux,0,1.39,0.00,4,2.7,Python,28,8,0,0,0,0,0,0,0,1202,-,-,6788,1.38
viz27,0,0.00,0.00,1,-,C++,51,0,0,0,0,0,0,0,0,9968,-,-,2332,0.00
vjumanji,0,0.00,0.00,8,-,C++,52,0,0,0,0,0,2,0,0,23512,-,-,2728,0.00
