user_id,blanks,coments,language,cloc
TakanashiRikka,18,0,C++,105
cedriclin,7,0,C++,82
SaveVMK,1,0,java,40
MKLOL,5,0,C++,31
aurinegro,1,0,C++,34
FatalEagle,6,0,C++,45
Ljq,1,0,Python,39
Dukkha,1,0,java,33
winger,26,0,java,107
yzyz,7,0,C++,82
jchen314,25,0,java,97
jbaldus,1,0,Python,38
phirasit,9,0,Python,71
haoranxu510,1,0,C++,21
gauravjs,10,0,Python,70
Subscheme,2,3,Python,87
waltz,9,0,C++,41
Salls,18,0,Python,105
liutianren,1,0,Python,38
wwt15,5,0,C++,40
lichenkoh,14,15,C++,31
rowdark,9,0,Python,116
OliverHallam,6,0,C#,52
Schneck,7,0,java,75
jmzhao,16,13,Python,31
waterfalls,9,1,C++,85
zhouyuc1,3,0,Python,21
lwchkg,9,1,C++,85
alexwice,20,0,Python,145
rafaeldaigo,25,0,C++,105
camypaper,20,0,C#,145
Endagorion,7,2,Python,97
gizzywump,9,0,Python,55
Bossle,10,0,C++,71
AntiForest,2,3,C++,49
Stilwell,1,0,C++,34
jonathanasdf,1,0,C++,37
lyoz,2,0,C++,25
eduardische,1,0,Python,17
ASotelo,2,3,java,35
asi1024,17,0,C++,115
royf,26,0,Python,118
darkKelvin,14,15,C++,40
vovanhuy22000,1,0,C++,17
xiaowuc1,10,0,java,70
akulsareen,7,0,C++,71
Celicath,4,0,C++,27
EscapeSequence,1,0,Python,31
MauricioC,1,0,C++,33
ZhSh,26,0,C++,107
UpDownDOTA,2,0,C++,25
cgy4ever,2,3,Python,58
OnionPringles,13,0,C++,63
mystic,17,11,C#,71
ilackthatsuperpower,2,3,C++,35
Vytis,1,0,Python,21
jcvb,5,0,C++,40
olafm,17,0,java,105
anari,4,0,Python,27
zholnin,1,0,Python,21
ctunoku,17,13,java,47
xyz111,2,3,C++,56
FittySpence,5,2,Python,87
RalphFurmaniak,5,0,Python,31
qwerty787788,6,0,java,45
ballonguy,17,0,C++,115
darnoc,7,0,Python,71
kiwijam,1,0,Python,52
danielf,9,0,C++,55
nathanajah,2,3,C++,56
izrak,25,0,Python,97
zajac,14,0,C++,67
tcooke,6,1,Python,70
alex1770,2,3,Python,53
sevenkplus,1,0,Python,52
ImBarD,9,0,C++,41
maxitg,25,0,C++,105
Nicolas16,1,0,C++,21
marcoskwkm,10,0,C,48
HellKitsune123,14,13,C++,40
alkjash,19,9,Python,71
exod40,17,0,C++,105
lbj,6,3,Python,50
Ragnar,5,1,C++,81
etotheipi,18,0,Python,77
Tellmarch,14,0,java,67
tomconerly,1,0,java,34
h4tguy,4,0,Python,33
abc3141,1,0,C++,34
Lewin,1,0,java,31
johngs,5,1,java,81
dnkywin,26,0,Python,118
anttil,10,0,C++,71
abuss,7,2,Python,97
vibhorgoel,15,15,C++,47
achan1058,6,1,C++,70
vlecomte,1,0,C++,21
burunduk3,7,0,Python,54
halucinka,9,0,Python,76
savinov,19,0,Python,79
mrauen,10,0,Python,48
azhai,7,0,C++,75
Itu,4,0,java,33
