user_id,avg_memory,wall_clock,system_time,blanks,language,compiler_version,cloc,nbr_file_in,compiled,swap_main_memory,avg_RAM,exit_code,comments,nbr_file_out,nbr_page_faults,exe_size,compile_error_msg,run_error_msg,max_RAM,user_time
0x42,0,0.10,0.01,39,Java,-,115,0,0,0,0,0,1,72,0,3060,-,-,25440,0.08
<<<<<<< HEAD
1nadequacy,0,3.08,0.07,22,C++,-,105,0,0,0,0,0,0,309328,0,37256,-,-,2640,3.01
ACube,0,0.00,0.00,156,C++,-,109,0,0,0,0,0,3,0,0,34968,-,-,2768,0.00
AHdoc,0,0.00,0.00,113,C++,-,93,0,0,0,0,0,1,0,0,19120,-,-,2328,0.00
AIMag,0,0.00,0.00,129,C++,-,92,0,0,0,0,136,0,0,0,60296,-,-,2316,0.00
AIQINGXING,0,0.00,0.00,143,C++,-,123,0,0,0,0,0,0,0,0,13576,-,-,2604,0.00
Acev,0,0.00,0.00,289,C++,-,185,0,0,0,0,0,6,0,0,54608,-,-,2516,0.00
Ahbong,0,0.00,0.00,5,C++,-,71,0,0,0,0,0,1,0,0,10112,-,-,2276,0.00
Ahyangyi,0,0.00,0.00,21,C++,-,89,0,0,0,0,0,2,0,0,41136,-,-,2408,0.00
AlTimin,0,0.01,0.00,13,C++,-,115,0,0,0,0,0,0,0,0,41328,-,-,2732,0.00
Aleksi,0,0.00,0.00,19,C++,-,112,0,0,0,0,0,9,0,0,39480,-,-,2584,0.00
AlexLin,0,0.00,0.00,165,C++,-,129,0,0,0,0,0,2,0,0,14672,-,-,2624,0.00
Alexander86,0,0.00,0.00,8,C++,-,97,0,0,0,0,0,0,0,0,57784,-,-,2656,0.00
AlexanderS,0,0.04,0.00,23,Java,-,142,0,0,0,0,1,0,64,0,3206,-,-,21328,0.03
Alias,0,0.00,0.00,192,C++,-,159,0,0,0,0,0,0,0,0,35168,-,-,2556,0.00
Altynai,-,-,-,-,C++,-,-,-,1,-,-,-1,-,-,-,-,": stdafx.h: No such file or directory
 #include ""stdafx.h""
                    ",-,-,-
Amoa400,0,0.00,0.00,83,C++,-,67,0,0,0,0,0,0,0,0,10336,-,-,2440,0.00
Amtep,0,0.00,0.00,16,C++,-,134,0,0,0,0,0,0,0,0,57480,-,: 3 Case #2,2684,0.00
Amtrix,0,0.00,0.00,15,C++,-,100,0,0,0,0,0,8,0,0,40872,-,-,2652,0.00
Anarivu,0,0.06,0.00,151,C++,-,99,0,0,0,0,0,0,1512,0,29576,-,-,2624,0.04
Anton92nd,0,0.00,0.00,192,C++,-,165,0,0,0,0,0,0,0,0,12896,-,-,2816,0.00
Ants,0,0.00,0.00,120,C++,-,90,0,0,0,0,0,6,0,0,14424,-,-,2668,0.00
Anuta,0,0.01,0.00,112,C++,-,92,0,0,0,0,0,0,0,0,10664,-,-,2544,0.00
Arcturus,-,-,-,174,C++,-,145,-,1,-,-,-1,5,-,-,-,": conio.h: No such file or directory
 #include <conio.h>
                    
c",-,-,-
Arkchar,0,1.52,0.02,17,C++,-,167,0,0,0,0,0,12,0,0,69616,-,-,100572,1.27
Assaron,0,0.00,0.00,33,C++,-,96,0,0,0,0,0,6,0,0,68640,-,-,2588,0.00
Atol,0,0.00,0.00,18,C++,-,119,0,0,0,0,0,7,0,0,30528,-,-,2772,0.00
Azrle,0,0.00,0.00,108,C++,-,86,0,0,0,0,0,0,0,0,15472,-,-,2460,0.00
BaturaDima,-,-,-,358,C++,-,123,-,4,-,-,-1,183,-,-,-,: /home/useruser/datacollection/solutions_1485488_0/C++/BaturaDima/GOOGLE: No su,-,-,-
Bellnox,0,0.00,0.00,5,C++,-,94,0,0,0,0,0,0,0,0,36848,-,-,2384,0.00
Blazerfrost,0,0.02,0.00,25,Python,2.7,67,0,0,0,0,0,19,8,0,2244,-,-,7004,0.02
BobobUnicorn,0,0.20,0.00,24,Java,-,106,0,0,0,0,0,27,72,0,2655,-,-,35940,0.19
Borisp,-,-,-,146,C++,-,134,-,1,-,-,-1,0,-,-,-,": ‘memset’ was not declared in this scope
   memset(vis, false, sizeof(vis))",-,-,-
Capp,0,0.06,0.00,11,Python,2.7,60,0,0,0,0,0,5,0,0,1799,-,-,6708,0.06
CaptainAhmadi,-,-,-,246,C++,-,125,-,1,-,-,-1,31,-,-,-,": ‘memset’ was not declared in this scope
   memset(d,-1, sizeof d) 
      ",-,-,-
Carber,0,3.54,0.07,121,C++,-,106,0,0,0,0,0,0,227352,0,34648,-,-,2592,3.46
Cenadar,0,0.00,0.00,18,C++,-,114,0,0,0,0,0,3,0,0,36728,-,-,2624,0.00
ChevalierMalFet,0,0.25,0.00,11,Python,2.7,119,0,0,0,0,0,2,8,0,4371,-,-,7180,0.25
ChrisLin,-,-,-,164,C++,-,123,-,1,-,-,-1,3,-,-,-,": stdafx.h: No such file or directory
 #include ""stdafx.h""
                    ",-,-,-
Cifko,-,-,-,160,C++,-,131,-,1,-,-,-1,0,-,-,-,": pasting ""INPUT_FILE_NAME"" and """".in"""" does not give a valid preprocessing toke",-,-,-
ClusterWing,0,0.02,0.00,10,Python,2.7,57,0,0,0,0,0,0,0,0,2173,-,-,6872,0.02
Cocular,0,0.00,0.00,13,C++,-,94,0,0,0,0,0,1,0,0,34544,-,-,2508,0.00
Commandos,0,0.00,0.00,7,C++,-,154,0,0,0,0,0,1,0,0,54776,-,-,2648,0.00
Conan630,0,0.00,0.00,93,C++,-,76,0,0,0,0,0,2,0,0,14768,-,-,2456,0.00
Corea,0,0.00,0.00,16,C++,-,92,0,0,0,0,0,0,0,0,37008,-,-,2452,0.00
