user_id,blanks,coments,language,cloc
Jonick,7,1,C++,57
linguo,7,0,Python,45
Connector,9,0,C++,54
ib18,11,0,C++,59
FloppyCat,3,0,C++,56
paulocezar,10,0,C++,68
bogdan2412,11,0,C++,87
yep,23,10,C++,129
QuJun,8,15,C++,99
buko,11,6,C++,68
JohnSmith,11,0,C++,87
razor00,50,4,C++,174
alabax,2,0,C++,49
machy,13,1,C++,69
davidepallotti,16,7,C++,98
oceanjack,35,16,C++,151
burne,2,0,C++,31
Mikekin,4,0,C++,52
Jeru,9,0,C++,66
Redbug,56,6,java,228
hirak99,2,0,C#,117
coquelicot,10,0,C++,62
pavelz,14,1,java,79
GunnERs,11,0,C++,66
GeKa,9,0,C++,53
Weasel,3,0,Python,36
chavit92,10,0,java,121
fuseidenamida,11,6,C++,68
Efyx,8,15,C++,99
0806580124,11,0,C++,96
gzgqllxh,2,4,C++,107
sourspinach,3,4,C++,98
ycx,20,1,C++,103
KainanWang,16,0,C++,104
Scooooooorpio,8,0,C++,52
partisan,9,0,C++,54
Cesar1000,6,0,Python,76
lua,3,10,Python,84
AdrianKuegel,8,0,C++,52
Blakman,8,12,C++,75
dpustulka,9,0,C++,53
beingryu,27,7,C++,84
burdakovd,35,16,java,151
rayafjyblue,2,0,C++,49
PhilipPV,6,0,C++,28
DAle,16,4,C++,101
tbischel,9,1,C#,63
Tan909090909090,2,0,C++,31
mengpq,44,4,C++,160
Yao,10,0,C,45
KOTEHOK,23,10,C++,129
Taehyun,16,0,C++,120
olalia,4,0,C++,52
DarLam,15,0,java,122
delta4d,10,0,C++,43
treert,7,0,C++,43
hmao5,6,0,java,51
buda,10,0,C++,62
Presley,2,0,C++,63
tek1031,3,4,C++,98
AS1,11,0,C++,95
lakhask,0,0,C++,97
SummerDAway,3,0,C++,30
MaxBuzz,8,0,java,66
Boreas,15,0,C++,123
Ignat,44,4,C++,160
nyama,9,0,C++,107
vdave,26,11,C++,106
strawberry,5,0,C++,44
JanKuipers,6,0,C++,46
kyuridenamida,7,0,C++,43
udalov,19,4,C++,51
rockaustin,3,3,C++,51
mystic,10,0,java,68
hirosegolf,8,0,C++,66
Andfive,10,0,C++,121
Crush,72,105,C++,157
Garyzx,3,0,C++,30
monik,5,0,C++,44
graham,13,10,Python,62
shimps,2,0,C++,49
NoNoNo,23,6,C++,103
hpc,8,12,C++,75
papaya,7,0,C++,83
Ratmir15,12,12,java,148
LiuKe,11,0,C++,66
AdrianRoos,47,4,C++,160
semiexp,2,4,C++,107
latsyrc,16,0,C++,104
tudosev,6,0,C++,43
rrk275,10,0,C++,45
meret,3,0,C++,56
