5670465267826688_0 java darnley 7 0 94
5670465267826688_0 java Tellmarch 14 0 82
5670465267826688_0 java kyc 5 5 85
5670465267826688_0 java Dukkha 1 0 63
5670465267826688_0 java ctunoku 12 1 117
5670465267826688_0 java xs0 18 0 86
5670465267826688_0 java miguelmaurizio 46 1 205
5670465267826688_0 java rkleberhoff 16 7 105
5670465267826688_0 java t93 8 0 68
5670465267826688_0 java UltraSuperboy 18 17 135
5670465267826688_0 java ProjectYoung 10 0 138
5670465267826688_1 java darnley 7 0 94
5670465267826688_1 java Tellmarch 14 0 82
5670465267826688_1 java kyc 5 5 85
5670465267826688_1 java Dukkha 1 0 63
5670465267826688_1 java ctunoku 12 1 136
5670465267826688_1 java xs0 18 0 86
5670465267826688_1 java miguelmaurizio 46 1 205
5670465267826688_1 java rkleberhoff 16 7 105
5670465267826688_1 java t93 8 0 69
5670465267826688_1 java UltraSuperboy 19 21 150
5670465267826688_1 java ProjectYoung 10 0 138
5686275109552128_1 java darnley 5 0 59
5686275109552128_1 java Tellmarch 8 0 57
5686275109552128_1 java kyc 4 0 30
5686275109552128_1 java Dukkha 1 0 31
5686275109552128_1 java xDanielx 4 0 37
5686275109552128_1 java ctunoku 6 1 73
5686275109552128_1 java xs0 9 0 51
5686275109552128_1 java miguelmaurizio 24 1 112
5686275109552128_1 java rkleberhoff 9 5 54
5686275109552128_1 java UltraSuperboy 6 10 26
5686275109552128_1 java ProjectYoung 7 0 51
5639104758808576_1 java darnley 5 0 59
5639104758808576_1 java Tellmarch 8 0 48
5639104758808576_1 java kyc 2 0 27
5639104758808576_1 java Dukkha 2 0 25
5639104758808576_1 java ctunoku 5 1 74
5639104758808576_1 java xs0 7 0 40
5639104758808576_1 java miguelmaurizio 22 1 100
5639104758808576_1 java rkleberhoff 9 5 47
5639104758808576_1 java UltraSuperboy 4 0 23
5639104758808576_1 java ProjectYoung 7 0 47
5658571765186560_1 java darnley 5 0 83
5658571765186560_1 java Tellmarch 9 0 48
5658571765186560_1 java kyc 5 0 47
5658571765186560_1 java Dukkha 1 17 40
5658571765186560_1 java ctunoku 7 1 81
5658571765186560_1 java xs0 19 7 56
5658571765186560_1 java miguelmaurizio 47 8 265
5658571765186560_1 java rkleberhoff 13 5 83
5658571765186560_1 java t93 24 11 189
5658571765186560_1 java UltraSuperboy 6 98 49
5658571765186560_1 java ProjectYoung 5 0 39
5686275109552128_0 java darnley 5 0 59
5686275109552128_0 java Tellmarch 8 0 57
5686275109552128_0 java kyc 4 0 30
5686275109552128_0 java Dukkha 1 0 31
5686275109552128_0 java xDanielx 4 0 37
5686275109552128_0 java ctunoku 6 1 73
5686275109552128_0 java xs0 9 0 51
5686275109552128_0 java miguelmaurizio 24 1 112
5686275109552128_0 java rkleberhoff 9 5 54
5686275109552128_0 java UltraSuperboy 6 10 26
5686275109552128_0 java ProjectYoung 7 0 51
5658571765186560_0 java darnley 5 0 66
5658571765186560_0 java Tellmarch 9 0 46
5658571765186560_0 java kyc 5 0 47
5658571765186560_0 java Dukkha 1 17 40
5658571765186560_0 java ctunoku 8 1 75
5658571765186560_0 java xs0 19 7 56
5658571765186560_0 java miguelmaurizio 47 8 265
5658571765186560_0 java rkleberhoff 13 5 83
5658571765186560_0 java t93 24 11 189
5658571765186560_0 java UltraSuperboy 5 23 40
5658571765186560_0 java ProjectYoung 5 0 39
5639104758808576_0 java darnley 5 0 59
5639104758808576_0 java Tellmarch 8 0 48
5639104758808576_0 java kyc 2 0 27
5639104758808576_0 java Dukkha 2 0 25
5639104758808576_0 java ctunoku 5 0 74
5639104758808576_0 java xs0 7 0 40
5639104758808576_0 java miguelmaurizio 22 1 100
5639104758808576_0 java rkleberhoff 9 5 47
5639104758808576_0 java UltraSuperboy 4 0 23
5639104758808576_0 java ProjectYoung 7 0 47
5670465267826688_0 C++ AntiForest 13 3 84
5670465267826688_0 C++ Nicolas16 20 11 140
5670465267826688_0 C++ climpet 28 0 128
5670465267826688_0 C++ Tyg3R 10 5 98
5670465267826688_0 C++ iridescent 4 1 36
5670465267826688_0 C++ Fly33 17 0 136
5670465267826688_0 C++ ishraq 22 2 112
5670465267826688_0 C++ achan1058 9 1 86
5670465267826688_0 C++ NExPlain 4 0 101
5670465267826688_0 C++ shik 14 2 111
5670465267826688_0 C++ DanilC 13 4 158
5670465267826688_0 C++ TrueBamboo 4 0 69
5670465267826688_0 C++ kevinsogo 6 10 109
5670465267826688_0 C++ SovietUnion 0 2 83
5670465267826688_0 C++ fullpower 7 3 83
5670465267826688_0 C++ Savlik 12 0 112
5670465267826688_0 C++ bmerry 15 2 89
5670465267826688_0 C++ phire 23 0 108
5670465267826688_0 C++ DrBubbles 30 65 79
5670465267826688_0 C++ pflueger 15 16 72
5670465267826688_0 C++ mezei 15 6 99
5670465267826688_0 C++ kmjp 18 1 76
5670465267826688_0 C++ durt 8 4 77
5670465267826688_0 C++ assy 9 1 112
5670465267826688_0 C++ apiad 1 1 41
5670465267826688_0 C++ Josse 11 3 102
5670465267826688_0 C++ ponyopoppo 9 3 127
5670465267826688_0 C++ littlefriend 0 2 68
5670465267826688_0 C++ ICastro 9 8 233
5670465267826688_0 C++ Fdg 8 8 64
5670465267826688_0 C++ phidnight 1 0 70
5670465267826688_0 C++ sokian 33 0 202
5670465267826688_0 C++ prezcoin 4 1 76
5670465267826688_0 C++ yesenarman 17 0 78
5670465267826688_0 C++ peter50216 2 6 90
5670465267826688_0 C++ UminchuR 11 8 129
5670465267826688_0 C++ Dembel 12 0 89
5670465267826688_0 C++ thocevar 8 1 94
5670465267826688_0 C++ pandamonium 0 0 63
5670465267826688_0 C++ dmute 8 2 75
5670465267826688_0 C++ DEGwer 0 3 91
5670465267826688_0 C++ rantd 8 0 66
5670465267826688_0 C++ azaky 24 22 160
5670465267826688_0 C++ fagu 6 0 56
5670465267826688_0 C++ SamanSami 4 0 77
5670465267826688_0 C++ ksun48 3 8 78
5670465267826688_0 C++ Mister 1 0 54
5670465267826688_0 C++ LazyAnna 15 0 136
5670465267826688_0 C++ namonakiacc 4 0 122
5670465267826688_0 C++ treebeard 8 15 57
5670465267826688_0 C++ saffah 11 3 106
5670465267826688_0 C++ ZhSh 26 2 128
5670465267826688_0 C++ alanubi 8 4 160
5670465267826688_0 C++ ctzsm 5 27 106
5670465267826688_0 C++ 551100kk 1 0 42
5670465267826688_0 C++ BSBandme 20 11 251
5670465267826688_0 C++ yswtt 7 0 78
5670465267826688_0 C++ ilackthatsuperpower 42 24 149
5670465267826688_0 C++ JayXon 14 0 90
5670465267826688_0 C++ a00012025 3 0 48
5670465267826688_0 C++ math314 16 1 89
5670465267826688_0 C++ Ragnar 13 8 81
5670465267826688_0 C++ shindannin 50 8 194
5670465267826688_0 C++ Toby 14 5 85
5670465267826688_0 C++ tailed 6 7 59
5670465267826688_0 C++ Anta0 2 0 94
5670465267826688_0 C++ Merkurev 15 0 84
5670465267826688_0 C++ azariamuh 21 3 104
5670465267826688_0 C++ FatalEagle 11 1 97
5670465267826688_0 C++ mamekin 11 0 96
5670465267826688_0 C++ kcm1700 7 0 76
5670465267826688_0 C++ BunchOfLines 15 7 145
5670465267826688_1 C++ AntiForest 13 4 86
5670465267826688_1 C++ Nicolas16 20 11 141
5670465267826688_1 C++ climpet 28 0 128
5670465267826688_1 C++ Tyg3R 10 5 98
5670465267826688_1 C++ iridescent 4 1 36
5670465267826688_1 C++ Fly33 17 0 136
5670465267826688_1 C++ ishraq 22 2 112
5670465267826688_1 C++ achan1058 9 1 86
5670465267826688_1 C++ NExPlain 4 0 108
5670465267826688_1 C++ shik 14 2 111
5670465267826688_1 C++ DanilC 13 4 158
5670465267826688_1 C++ TrueBamboo 4 0 69
5670465267826688_1 C++ kevinsogo 6 10 109
5670465267826688_1 C++ SovietUnion 0 2 83
5670465267826688_1 C++ fullpower 7 3 83
5670465267826688_1 C++ Savlik 12 0 113
