user_id,avg_memory,wall_clock,system_time,blanks,compiler_version,language,cloc,nbr_file_in,compiled,swap_main_memory,avg_RAM,exit_code,comments,nbr_file_out,nbr_page_faults,exe_size,max_RAM,user_time
MrBearUA,0,0.00,0.00,18,-,C++,30,0,0,0,0,0,8,0,0,10176,2580,0.00
MrCool,0,0.00,0.00,5,-,C++,33,0,0,0,0,0,0,0,0,10800,2496,0.00
MrMoe,0,0.00,0.00,12,3.5,Python,11,0,0,0,0,2,1,0,0,-,7156,0.00
Mudream,0,0.00,0.00,3,-,C++,19,0,0,0,0,0,0,0,0,7344,2272,0.00
Mukmukk,0,0.00,0.00,3,-,C++,19,0,0,0,0,136,0,0,0,10936,2404,0.00
Muniao,0,0.00,0.00,1,-,C++,21,0,0,0,0,0,0,0,0,8192,2608,0.00
Murka,-,-,-,10,-,C++,39,-,1,-,-,-1,3,-,-,-,-,-
Myrthan,0,0.00,0.00,2,-,C++,16,0,0,0,0,0,0,0,0,8296,2724,0.00
Myth5,0,0.00,0.00,6,-,C++,38,0,0,0,0,0,0,0,0,10040,2612,0.00
NGG,0,0.00,0.00,2,2.7,Python,30,8,0,0,0,0,2,0,0,-,6380,0.00
NMZL,0,0.00,0.00,2,2.7,Python,14,0,0,0,0,0,0,0,0,-,6528,0.00
NTheo,-,-,-,2,-,C++,37,-,0,-,-,-15,1,-,-,11968,-,-
NVAL,0,0.00,0.00,5,-,C++,48,0,0,0,0,0,2,0,0,8672,2680,0.00
Nadafy,0,0.02,0.00,8,-,C#,48,0,0,0,0,0,0,8,0,4096,10540,0.02
Naing,0,0.00,0.00,5,-,C++,59,0,1,0,0,127,0,0,0,-,1416,0.00
NauT1LuS,0,0.08,0.01,10,-,Java,44,0,0,0,0,0,21,64,0,2093,21360,0.06
NegiMagnet,0,0.00,0.00,2,-,C++,31,0,0,0,0,0,0,0,0,9992,2480,0.00
Nergal,-,-,-,48,-,C++,107,-,1,-,-,-1,17,-,-,-,-,-
