user_id,avg_memory,wall_clock,system_time,blanks,language,compiler_version,cloc,nbr_file_in,compiled,swap_main_memory,avg_RAM,exit_code,comments,nbr_file_out,nbr_page_faults,exe_size,max_RAM,user_time
551100kk,0,0.00,0.00,2,C++,-,49,0,0,0,0,0,2,0,0,40440,2696,0.00
ACMonster,-,-,-,10,C++,-,114,-,0,-,-,-15,1,-,-,18720,-,-
ARechitsky,0,0.05,0.00,22,Java,-,142,0,0,0,0,1,5,64,0,1612,21892,0.04
AcmerArthur,0,0.00,0.00,1,C++,-,66,0,0,0,0,0,0,8,0,18888,2532,0.00
AlexFetisov,0,0.04,0.00,27,Java,-,226,0,0,0,0,1,60,64,0,1628,21692,0.04
Alexander86,-,-,-,8,C++,-,85,-,0,-,-,-15,0,-,-,59024,-,-
Anta0,-,-,-,10,C++,-,188,-,0,-,-,-15,7,-,-,78248,-,-
AntiForest,0,0.00,0.00,22,C++,-,99,0,0,0,0,0,16,0,0,38344,2624,0.00
AnyFire,0,0.00,0.00,16,C++,-,59,0,0,0,0,0,0,0,0,22280,2484,0.00
Astro75,-,-,-,7,C++,-,93,-,0,-,-,-15,15,-,-,39984,-,-
BSBandme,-,-,-,24,C++,-,276,-,1,-,-,-1,43,-,-,-,-,-
Bounciness,-,-,-,17,C++,-,69,-,0,-,-,-15,6,-,-,34984,-,-
Boxer,-,-,-,9,C++,-,76,-,0,-,-,-15,3,-,-,50632,-,-
Burunduk1,-,-,-,6,C++,-,40,-,0,-,-,-15,9,-,-,19344,-,-
CaseyRoberts711,-,-,-,23,C++,-,136,-,0,-,-,-15,43,-,-,61112,-,-
Celicath,0,0.00,0.00,17,C++,-,123,0,1,0,0,127,1,0,0,-,1432,0.00
Csirke,-,-,-,33,C++,-,114,-,0,-,-,-15,2,-,-,42176,-,-
Cypi,-,-,-,9,Python,2.7,45,-,0,-,-,-15,0,-,-,-,-,-
DCLXVI,-,-,-,27,C++,-,223,-,0,-,-,-15,2,-,-,51736,-,-
DEGwer,-,-,-,0,C++,-,111,-,1,-,-,-1,0,-,-,-,-,-
EbTech,-,-,-,4,C++,-,64,-,0,-,-,-15,0,-,-,38312,-,-
EmK,-,-,-,34,C#,System.Numerics,178,-,0,-,-,-15,19,-,-,7168,-,-
EricDLee,-,-,-,5,Python,2.7,46,-,0,-,-,-15,4,-,-,-,-,-
Erop,-,-,-,37,C++,-,189,-,1,-,-,-1,0,-,-,-,-,-
Eryx,-,-,-,37,C++,-,138,-,1,-,-,-1,20,-,-,-,-,-
EternalAnswer,0,0.28,0.02,5,C++,-,63,0,0,0,0,0,1,129112,0,17824,2620,0.25
Etienne,-,-,-,10,C++,-,62,-,0,-,-,-15,0,-,-,22384,-,-
Eureka6174,-,-,-,2,C++,-,66,-,0,-,-,-15,1,-,-,18912,-,-
Felix,-,-,-,12,C++,-,82,-,0,-,-,-15,2,-,-,50352,-,-
FinaleVawait,-,-,-,5,C++,-,68,-,0,-,-,-15,5,-,-,20968,-,-
Fly33,-,-,-,16,C++,-,93,-,1,-,-,-1,0,-,-,-,-,-
Flydutchman,-,-,-,6,C++,-,77,-,0,-,-,-15,1,-,-,18616,-,-
GGed,-,-,-,8,C++,-,76,-,0,-,-,-15,0,-,-,18344,-,-
Gluk,-,-,-,13,C++,-,102,-,1,-,-,-1,1,-,-,-,-,-
Grzesiu,-,-,-,13,Python,2.7,30,-,0,-,-,-15,8,-,-,-,-,-
HYEA,-,-,-,0,C++,-,67,-,0,-,-,-15,1,-,-,17200,-,-
HellKitsune123,0,0.00,0.00,6,C++,-,68,0,0,0,0,134,0,0,0,21840,2676,0.00
HiltonLange,-,-,-,13,C#,-,151,-,1,-,-,-1,5,-,-,-,-,-
Hogloid,-,-,-,23,C++,-,107,-,0,-,-,-15,1,-,-,26712,-,-
HolyMason,0,0.16,0.15,4,C++,-,87,0,0,0,0,0,0,0,0,19728,2904,0.00
Hyperbolic,0,0.00,0.00,0,C++,-,84,0,0,0,0,0,5,0,0,18832,2228,0.00
JAPLJ,-,-,-,14,C++,-,116,-,0,-,-,-15,3,-,-,21984,-,-
JiK,-,-,-,41,C++,-,177,-,1,-,-,-1,34,-,-,-,-,-
JongMan,-,-,-,31,C++,-,97,-,0,-,-,-15,10,-,-,40984,-,-
Josse,-,-,-,9,C++,-,120,-,0,-,-,-15,2,-,-,57600,-,-
JunMaillard,-,-,-,8,C++,-,57,-,0,-,-,-15,0,-,-,7696,-,-
Junkbot,-,-,-,16,C++,-,71,-,0,-,-,-15,2,-,-,39936,-,-
KennyHORROR,0,0.00,0.00,11,C++,-,152,0,0,0,0,0,5,0,0,55280,2640,0.00
KomarovAndrey,-,-,-,19,Java,-,122,-,0,-,-,-15,14,-,-,3007,-,-
Krazul,-,-,-,14,C++,-,78,-,0,-,-,-15,0,-,-,33408,-,-
Kuros,0,0.00,0.00,12,C++,-,80,0,0,0,0,0,1,0,0,19408,2624,0.00
LLH,-,-,-,6,C++,-,48,-,0,-,-,-15,16,-,-,18160,-,-
LayCurse,-,-,-,30,C++,-,117,-,0,-,-,-15,16,-,-,29888,-,-
LeBron,0,0.00,0.00,12,C++,-,110,0,0,0,0,134,16,0,0,80216,2520,0.00
Lewin,0,0.04,0.00,19,Java,-,109,0,0,0,0,1,0,64,0,2896,21340,0.04
LiXunhuan,-,-,-,2,C++,-,71,-,0,-,-,-15,23,-,-,21880,-,-
MRain,-,-,-,12,C++,-,91,-,0,-,-,-15,6,-,-,41944,-,-
MTSranger,-,-,-,13,C++,-,120,-,0,-,-,-15,22,-,-,40224,-,-
Manro,-,-,-,9,C++,-,101,-,0,-,-,-15,28,-,-,100680,-,-
Mathlover,0,0.28,0.02,0,C++,-,90,0,0,0,0,0,0,120928,0,19304,2600,0.25
MauricioC,-,-,-,15,C++,-,67,-,0,-,-,-15,0,-,-,23016,-,-
MaximKalinin,-,-,-,13,C++,-,95,-,0,-,-,-15,1,-,-,43008,-,-
MiSawa,-,-,-,6,C++,-,141,-,0,-,-,-15,15,-,-,91904,-,-
MichaelLevin,0,0.00,0.00,14,C++,-,191,0,0,0,0,0,34,0,0,56808,2536,0.00
Milesian,-,-,-,17,C++,-,176,-,0,-,-,-15,13,-,-,22128,-,-
MiminoCoder,-,-,-,21,C++,-,133,-,0,-,-,-15,1,-,-,69496,-,-
MiroB,-,-,-,3,C++,-,89,-,0,-,-,-15,0,-,-,55960,-,-
Mister,-,-,-,1,C++,-,56,-,0,-,-,-15,0,-,-,23344,-,-
Mperv,-,-,-,9,C#,-,75,-,1,-,-,-1,1,-,-,-,-,-
Multifarious,-,-,-,7,C++,-,131,-,0,-,-,-15,0,-,-,50440,-,-
NAFIS,0,0.00,0.00,16,C++,-,84,0,0,0,0,134,20,0,0,23760,2788,0.00
NALP,-,-,-,56,C++,-,256,-,0,-,-,-15,7,-,-,80224,-,-
NPeasy,-,-,-,12,C++,-,82,-,0,-,-,-15,0,-,-,23456,-,-
Nicolas16,-,-,-,23,C++,-,141,-,0,-,-,-15,9,-,-,37816,-,-
Ostap,-,-,-,8,C++,-,70,-,0,-,-,-15,0,-,-,9840,-,-
PalmPTSJ,-,-,-,13,C++,-,157,-,1,-,-,-1,9,-,-,-,-,-
Phil217,0,0.04,0.00,16,Java,-,113,0,0,0,0,1,8,64,0,2475,21448,0.03
QiuZhiyue,0,0.27,0.02,1,C++,-,69,0,0,0,0,0,4,120944,0,19232,2856,0.25
Rawnblade,-,-,-,26,Java,-,152,-,0,-,-,-15,36,-,-,3313,-,-
Rezwan4029,0,0.00,0.00,23,C++,-,162,0,0,0,0,0,14,0,0,22392,2584,0.00
Rongqi,-,-,-,6,C++,-,64,-,1,-,-,-1,0,-,-,-,-,-
RsEnts,0,0.00,0.00,7,C++,-,58,0,0,0,0,0,0,0,0,14456,2660,0.00
Rubanenko,0,0.00,0.00,5,C++,-,57,0,0,0,0,0,0,0,0,32832,2384,0.00
STEP5,-,-,-,11,C++,-,84,-,0,-,-,-15,3,-,-,40176,-,-
Scooooooorpio,-,-,-,25,C++,-,105,-,1,-,-,-1,7,-,-,-,-,-
Scorpy,0,0.00,0.00,18,C++,-,106,0,0,0,0,0,0,0,0,23712,2628,0.00
Sharph,-,-,-,12,C++,-,74,-,0,-,-,-15,2,-,-,44864,-,-
SkyDec,-,-,-,8,C++,-,71,-,0,-,-,-15,2,-,-,18496,-,-
SmileIJP,-,-,-,21,C++,-,73,-,0,-,-,-15,0,-,-,56616,-,-
SoEnLit,-,-,-,11,C++,-,91,-,0,-,-,-15,5,-,-,18728,-,-
Stilwell,0,0.00,0.00,3,C++,-,82,0,0,0,0,0,0,0,0,19216,2300,0.00
Swrrt,0,0.00,0.00,0,C++,-,46,0,0,0,0,0,0,0,0,9856,2536,0.00
T1024,-,-,-,5,C++,-,50,-,0,-,-,-15,1,-,-,9928,-,-
TankEngineer,-,-,-,9,C++,-,100,-,0,-,-,-15,9,-,-,46600,-,-
