user_id,blanks,coments,language,cloc
edemo,56,4,Python,218
BNieuwenhuizen,29,1,C++,276
yarrr,24,2,java,88
Sharph,17,0,C++,52
Balajiganapathi,8,3,C++,53
JohnSmith,10,0,C++,74
tokoharu,9,0,C++,77
natsugiri,12,0,C++,116
AngryBacon,7,3,C++,66
hpmv,19,6,Python,153
Jonasz,17,0,C++,52
demidenko,47,25,C++,309
wook,31,40,C++,203
strapahuulius,24,2,C++,87
romanandreev,9,0,C++,77
netkuba,35,2,C++,141
devjoe,22,0,Python,92
tmt514,2,0,C++,43
AlvinChow,31,40,C#,203
krijgertje,12,0,C++,113
ogiekako,18,5,java,134
maciejk,18,5,C++,134
squahtx,10,0,C++,74
STEP5,5,8,C++,101
SeeBees,23,2,java,91
Soultaker,22,5,C++,146
fiver,22,6,C#,141
Binnie,33,63,Python,165
Sfairat,19,6,C++,153
Miceren,9,3,C++,53
otacon,28,0,Python,123
ashmelev,32,22,C++,166
YOBA,48,25,Python,318
vedg,24,2,C++,87
TankEngineer,11,0,C++,113
Lunarmony,60,25,C++,193
csegura,25,13,C++,102
royf,16,6,Python,179
l521530,33,47,C++,181
dreamoon,18,3,C++,80
mikhailOK,12,0,java,99
hamadu,11,3,java,68
barryd,30,5,Python,273
xiaowuc1,12,0,java,116
abryant,4,0,java,128
vlada,60,25,Python,193
Lukasz16a,7,17,C++,360
tkociumaka,4,0,C++,128
Tenyoku,32,22,C++,166
chEEtah,11,3,C++,68
doudouille,15,3,C++,101
jchen314,7,0,java,71
nirhershko,7,17,Python,360
pieguy,24,2,C++,88
MauricioC,13,1,C++,91
sdya,29,22,C++,162
gojira,18,5,C++,126
Maryann,9,0,C#,57
olalia,16,0,C++,178
cgy4ever,4,0,C++,46
bmerry,1,2,C++,29
davidv,4,0,C++,46
Snuke,30,5,C++,273
paulliu,25,22,java,189
CatalinT,12,0,C++,113
levlam,25,13,C++,102
Huziwara,2,0,C++,43
SnapDragon,24,2,C++,81
kyuridenamida,28,0,C++,123
surwdkgo,28,16,C++,114
radeye,11,3,C++,48
vot,11,0,java,113
Nicolas16,15,11,C++,73
Griffon,19,0,java,92
sohelH,1,4,C++,60
GGed,12,0,C++,99
indifferent,29,22,C#,162
Tellmarch,14,11,java,73
woodpecker112358,14,0,C++,113
Fcdkbear,18,5,C++,126
KennyHORROR,7,0,C++,71
jkud,1,4,Python,60
jxwuyi,3,0,C++,37
mugurelionut,16,7,C++,71
SmartSchizo,16,9,C++,71
kennyChiu,22,0,C++,92
d6d0d1a8,9,0,C++,63
dolphinigle,19,0,C++,92
Xhark,8,0,C++,83
Alexander86,25,22,C++,189
ryuuga,29,1,Python,282
meret,23,2,C++,91
pivizz,13,1,C#,91
