user_id,penalty,points,rank
...Johniel,8078,70,642
...T...,5729,33,2217
..M..,9697,70,801
..test,3562,33,1929
.Dragon.,8903,77,458
.Erumaru,8752,47,1612
.o948,4053,33,1983
00dnvtmf,6777,100,180
0o0zt,8313,100,254
0rang3,6458,70,552
0x00000000,8169,56,1060
0xb0c5,6335,56,959
1.jatekos,6926,70,574
11122976,7480,67,833
15joeybloom,1092,23,2896
1NCID3R,7929,67,837
1saac,2848,37,1703
2007,6326,47,1386
2shraaf,7479,47,1519
317070,1637,33,1813
3190m,7615,33,2508
4xel,9206,56,1122
4yn,709,23,2812
6eJIa9IzZzTeHb,9578,70,793
8163264128,1303,23,3014
916852,5434,65,870
ACube,5335,100,104
AISarkin,4419,100,62
AJ721,7343,100,211
AK93,3999,47,1197
ALOHA.Brcps,10123,33,2794
AMR.KELEG,1177,23,2935
ARechitsky,5284,77,346
ASotelo,7501,70,609
AStepanov,8182,58,890
Abscp,6228,47,1381
Action,9512,70,791
Adensur,4985,33,2095
Afazhou,7702,35,1795
Agentchuck,7880,33,2546
Agu1729,8170,47,1580
Ahyangyi,3530,100,24
Aida,8720,47,1608
Ajlohr,3682,56,904
Al.Cash,3139,100,12
Alamin,7203,33,2424
Alaska,7424,33,2467
Alcarinquo,2391,33,1835
Aleksei,5941,70,528
Alex.Baranau,9384,100,313
Alex.CHS,4064,70,494
AlexDinaro,4823,33,2075
AlexFetisov,9699,77,481
AlexSand,8460,70,683
AlexTolstov,4019,47,1200
AlexeiTruhin,7962,33,2556
Alf,5460,67,814
Alicen,5438,33,2172
Alireza.bh,7080,70,585
Alvee9,8651,33,2665
Alwahsh,5843,47,1342
Amir.bh,3392,47,1173
Amirnasr,7962,100,233
Amoto,1290,23,2999
Amr.Magdy,8093,33,2575
Ananya,8159,70,650
AnatolyTolstobrov,10661,77,487
Anci3nt,5537,33,2189
Andrei6184,9904,65,879
Andreikkaa,9265,70,774
Andres.Unt,1023,23,2868
Angor,8702,100,275
Anjupiter,8535,56,1085
AnonymousBunny,8500,77,436
Anta0,2313,100,3
Anton.Karmanov,4020,70,491
Antoniuk,7320,70,603
Anupam14,4752,33,2065
AravindaDP,8103,33,2578
ArbokEkans,3163,33,1895
ArcTech,1298,23,3006
ArcaNoYoru,8112,33,2583
Arcey,7472,47,1518
Archimedean,2816,33,1862
Arcturus,8048,100,236
Areseye,6522,33,2333
Aries512,4077,47,1204
Arilato,2692,33,1857
Arkadiy,8836,35,1806
ArnaudDenoyelle,1142,23,2918
Arshu,9025,47,1637
Artifere,6459,70,553
Arton,5061,33,2109
Asocasno,6416,33,2320
Astrae,8177,33,2591
Astro75,7722,56,1037
Atol,5744,47,1328
Atropine,7413,35,1793
Auenwald,9448,70,788
AugustusLi,8063,47,1574
Augustyn,9091,70,760
