user_id,blanks,coments,language,cloc
DjinnKahn,9,10,C++,66
pjsdream,5,0,C++,25
LayCurse,2,0,C,59
cedriclin,5,2,C++,70
stubbscroll,14,0,C,104
Zhuojie,8,0,C++,127
dwahler,7,0,C++,42
goffrie,3,5,C++,153
LinesPrower,7,0,C++,77
msg555,21,5,C++,154
a9108,3,0,C++,44
goryinyich,4,0,C++,51
Pasqual45,10,0,C++,185
RuanYongliu,14,0,C++,59
Naonao,2,0,java,59
ZhouErjin,9,0,C++,177
otis,5,0,C++,25
pawelparys,8,0,C++,52
Burunduk1,11,0,C++,58
rudradevbasak,3,1,C++,38
y3eadgbe,3,5,C++,43
dahlukeh,1,2,C,91
ONP,7,0,C++,29
tmt514,10,0,C++,42
dancho,10,0,C++,185
misof,4,0,C++,74
HiltonLange,4,0,C#,69
thinfaifai,9,0,C++,69
squark,9,0,C++,40
aropan,1,0,C++,55
SergeyRogulenko,2,1,C++,69
Maryann,10,0,C++,93
TripleM,0,0,C++,32
kmod,10,0,Python,65
MRoizner,10,0,C++,84
drazil,21,5,C++,154
SuBaRaSi,8,0,C++,67
EbTech,6,16,C++,83
royf,8,0,Python,42
SceneTree,7,0,C++,59
scottai,6,4,C++,86
falcon112358,15,0,Python,64
gabrielportal,0,1,C++,66
jaehyunp,11,0,C++,58
xiaowuc1,7,0,java,90
fagu,2,0,C++,44
omeometo,3,1,C++,43
Celicath,0,11,C++,140
SkidanovAlexander,4,0,C++,80
VArtem,14,0,java,104
SVKzemco,3,1,C++,38
Plagapong,2,15,C++,193
pieguy,0,0,C++,62
eMBe,16,0,Python,77
twds,4,0,java,74
kevinsogo,1,2,java,91
dzhulgakov,2,0,C++,26
cgy4ever,6,4,C++,94
Tilps,8,1,C#,44
ush,2,2,C++,24
ploh,28,3,C++,141
jackchen92,8,2,C++,59
Saeed,66,5,C++,197
Kriiii,3,0,C++,25
CaseyRoberts711,3,0,C++,26
tanonev,8,0,java,67
vpj,5,0,C++,71
hhb,3,5,C++,43
EmK,7,0,C++,90
SnapDragon,22,10,C++,151
danielf,23,0,C++,157
nathanajah,24,2,C++,192
Jimbly,7,0,C++,29
surwdkgo,1,0,C++,24
bwps,7,0,C++,59
radeye,0,0,java,62
gregstoll,7,0,Python,74
peter50216,9,0,C++,40
sevenkplus,1,0,C++,49
ErickW,10,0,C++,42
jpaulson,2,2,java,62
Merkurev,4,1,C++,64
WSX,3,0,C#,65
dj3500,7,0,C++,83
nika,33,56,C++,128
tomconerly,4,0,java,51
Murphy,7,0,C++,42
pasin30055,8,0,C++,65
scottwu,1,2,C++,30
W4yneb0t,18,5,C++,175
AEtheReal,3,0,C++,25
Komaki,7,0,C++,77
g201513,7,0,C++,46
jlaire,2,2,C++,62
wata,7,0,java,61
iwi,23,0,C++,157
dzetkulict,7,0,C++,61
kcm1700,16,12,C++,83
ftiasch,0,0,C++,32
domob,2,0,C++,26
williamljb,2,2,C++,24
burunduk3,5,0,Python,45
acrush,4,0,C++,78
Xazker,18,5,java,175
chokudai,3,2,C#,57
tikitikirevenge,1,2,C++,30
venco5,8,0,C++,78
loneknight,3,0,C++,26
chnlich,12,1,C++,77
