user_id,avg_memory,wall_clock,system_time,blanks,language,compiler_version,cloc,nbr_file_in,compiled,swap_main_memory,avg_RAM,exit_code,comments,nbr_file_out,nbr_page_faults,exe_size,max_RAM,user_time
,0,0.00,0.00,1,Python,2.7,61,0,0,0,0,2,0,0,0,-,6172,0.00
00dnvtmf,-,-,-,0,C++,-,98,-,4,-,-,-1,1,-,-,-,-,-
0o0zt,0,0.00,0.00,8,C++,-,157,0,0,0,0,0,3,0,0,21856,2628,0.00
0rang3,0,0.00,0.00,19,C++,-,108,0,0,0,0,134,1,0,0,15640,2556,0.00
0x00000000,0,0.00,0.00,12,C++,-,152,0,0,0,0,0,0,0,0,47240,2660,0.00
0xb0c5,0,0.01,0.00,12,Python,2.7,69,0,0,0,0,0,2,0,0,-,6476,0.00
11122976,0,0.00,0.00,6,C++,-,75,0,0,0,0,0,7,8,0,13056,2480,0.00
15joeybloom,0,0.01,0.00,6,C++,-,67,0,0,0,0,0,0,0,0,8696,2704,0.00
1NCID3R,0,0.00,0.00,20,C++,-,161,0,0,0,0,0,17,0,0,12616,2600,0.00
2007,-,-,-,0,C++,-,86,-,0,-,-,-15,0,-,-,17608,-,-
2shraaf,-,-,-,22,C++,-,69,-,4,-,-,-1,0,-,-,-,-,-
317070,0,0.00,0.00,10,Python,2.7,51,0,0,0,0,2,2,0,0,-,6120,0.00
3190m,0,0.00,0.00,12,Python,3.5,31,0,0,0,0,2,3,0,0,-,7208,0.00
4yn,0,0.00,0.00,3,C++,-,49,0,0,0,0,0,7,0,0,13088,2488,0.00
6eJIa9IzZzTeHb,-,-,-,40,C++,-,202,-,1,-,-,-1,15,-,-,-,-,-
8163264128,0,8.67,0.08,10,Java,-,151,0,0,0,0,0,5,64,0,2900,449284,8.59
916852,-,-,-,8,C++,-,68,-,0,-,-,-15,0,-,-,36744,-,-
AACodeWriter,0,0.00,0.00,10,C++,-,82,0,0,0,0,134,0,0,0,14120,2620,0.00
ACube,0,0.00,0.00,16,C++,-,146,0,0,0,0,0,9,0,0,15376,2700,0.00
AISarkin,0,0.00,0.00,8,C++,-,134,0,0,0,0,0,0,0,0,18664,2652,0.00
AJ721,0,0.00,0.00,5,Python,2.7,136,0,0,0,0,2,5,0,0,-,6200,0.00
AK93,-,-,-,15,C++,-,106,-,0,-,-,-15,0,-,-,15928,-,-
ARechitsky,0,0.04,0.00,19,Java,-,166,0,0,0,0,1,6,64,0,1701,21752,0.04
ASotelo,0,0.04,0.00,2,Java,-,65,0,0,0,0,1,1,64,0,2773,21308,0.04
AStepanov,0,0.00,0.00,14,C++,-,89,0,0,0,0,0,2,0,0,21960,2480,0.00
Abscp,0,0.01,0.00,4,C++,-,70,0,0,0,0,0,1,944,0,10384,2580,0.00
Action,-,-,-,25,C#,-,262,-,1,-,-,-1,0,-,-,-,-,-
Adensur,0,0.00,0.00,1,Python,3.5,40,0,1,0,0,2,0,0,0,-,7276,0.00
Agu1729,0,5.62,3.10,1,C++,-,67,0,0,0,0,0,0,129056,0,12240,2576,0.98
Ahyangyi,0,0.01,0.00,1,C++,-,125,0,0,0,0,0,0,0,0,41224,2640,0.00
Aida,0,0.65,0.00,6,C++,-,111,0,0,0,0,0,8,0,0,15552,2660,0.43
Ajlohr,0,0.04,0.00,10,Java,-,149,0,0,0,0,1,3,64,0,2400,21408,0.04
Alamin,0,0.00,0.00,15,C++,-,185,0,0,0,0,0,7,0,0,14160,2524,0.00
Alaska,-,-,-,4,C++,-,107,-,1,-,-,-1,2,-,-,-,-,-
Alcarinquo,0,0.10,0.00,16,C++,-,73,0,0,0,0,0,0,0,0,10904,2748,0.05
Aleksei,0,0.00,0.00,2,C++,-,86,0,0,0,0,0,0,0,0,13848,2580,0.00
AlexDinaro,0,0.23,0.00,2,C#,-,2,0,0,0,0,0,8,8,0,5632,11152,0.23
AlexFetisov,0,0.04,0.00,33,Java,-,214,0,0,0,0,0,29,64,0,2370,21572,0.04
AlexSand,-,-,-,2,C#,System.Numerics,30,-,0,-,-,1,85,-,-,17408,-,-
AlexTolstov,0,0.15,0.01,24,Java,-,98,0,0,0,0,0,0,64,0,3476,31924,0.15
Alicen,-,-,-,19,C++,-,70,-,0,-,-,-15,0,-,-,19640,-,-
Alvee9,0,0.10,0.02,29,C++,-,102,0,0,0,0,0,0,1584,0,27616,2588,0.02
Alwahsh,0,0.00,0.00,10,C++,-,50,0,0,0,0,134,8,0,0,14088,2528,0.00
Amirnasr,0,0.00,0.00,4,C++,-,133,0,0,0,0,0,2,0,0,16824,2528,0.00
Ananya,0,0.01,0.00,10,Python,2.7,109,0,0,0,0,0,1,0,0,-,6796,0.00
AnatolyTolstobrov,-,-,-,62,C#,-,307,-,0,-,-,1,6,-,-,7680,-,-
Anci3nt,0,0.04,0.00,14,Java,-,69,0,0,0,0,1,14,64,0,2579,21372,0.03
Andrei6184,0,0.00,0.00,2,C++,-,39,0,0,0,0,0,0,8,0,12504,2464,0.00
